chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	P2LL	distance	counts_X	counts_Y	density	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)	-log10(poisson_p-value_peak_x)	-log10(poisson_p-value_peak_y)
chr2	42094388	42096963	chr2	42196485	42198396	"0,255,255"	17	chr2-chr2-23	0.0	17.0	17.0	101765.0	419	152	0.2229157247384026	300.0	300.0	38.156532864978644	96.36075264669282	82.17338543022817
chr2	42493173	42496079	chr2	42663141	42663972	"0,255,255"	17	chr2-chr2-24	0.0	17.0	17.0	168930.5	259	209	0.26759431125942573	300.0	300.0	39.33180134224733	189.0192456109367	148.37855454630304
chr2	30163201	30165718	chr2	30706849	30708883	"0,255,255"	17	chr2-chr2-25	0.0	17.0	17.0	543406.5	315	351	0.2197319141235935	300.0	300.0	33.912403358297794	214.01971109112057	78.44356083334773
chr2	47334599	47336868	chr2	47387049	47390045	"0,255,255"	18	chr2-chr2-26	0.0	18.0	18.0	52813.5	249	207	0.2011060716292557	300.0	300.0	42.47580064703443	128.57997224073583	121.24155512860627
chr2	98412461	98414379	chr2	98514629	98519025	"0,255,255"	17	chr2-chr2-27	0.0	17.0	17.0	103407.0	345	251	0.1583781978423304	300.0	300.0	35.762857276447775	256.4768255046573	88.01985164085806
chr2	177334812	177339304	chr2	177415275	177418948	"0,255,255"	28	chr2-chr2-28	0.0	28.0	28.0	80053.5	320	243	0.20172182812536488	300.0	300.0	66.260133142193	120.72166216902306	159.48830597440787
chr2	24975148	24976030	chr2	25126807	25130015	"0,255,255"	14	chr2-chr2-29	0.0	14.0	14.0	152822.0	203	301	0.20135192257256776	300.0	300.0	30.51722563368042	109.14190349115216	156.10599737889186
chr2	38314829	38316707	chr2	38506506	38509518	"0,255,255"	19	chr2-chr2-30	0.0	19.0	19.0	192244.0	254	343	0.2285576672964394	300.0	300.0	40.79654287771259	173.92280068994052	268.25336921536353
chr2	44476105	44479686	chr2	44952203	44957634	"0,255,255"	20	chr2-chr2-31	0.0	20.0	20.0	477023.0	242	614	0.13054488671006945	300.0	300.0	38.66201057572921	132.9774814810592	274.6480034187449
chr2	105369245	105370216	chr2	105519443	105521497	"0,255,255"	14	chr2-chr2-32	0.0	14.0	14.0	150739.5	212	104	0.27224111184191807	300.0	300.0	36.9603657071432	137.61492765439525	54.554236127686174
chr2	84868664	84870828	chr2	84924854	84925977	"0,255,255"	15	chr2-chr2-33	0.0	15.0	15.0	55669.5	105	421	0.26843714307069044	300.0	300.0	35.403684042835955	10.329119990789454	210.83952654579576
chr2	240060059	240067457	chr2	240141324	240145999	"0,255,255"	28	chr2-chr2-34	0.0	28.0	28.0	79903.5	185	408	0.1364249752873026	300.0	300.0	66.73678341657777	55.405681668860396	226.4762249729207
chr2	42094871	42099111	chr2	42238012	42240179	"0,255,255"	18	chr2-chr2-35	0.0	18.0	18.0	142104.5	560	165	0.1652604131618591	300.0	300.0	37.85690207461097	166.25965397724568	109.47083650693392
chr2	38581317	38585365	chr2	38720611	38728692	"0,255,255"	33	chr2-chr2-36	0.0	33.0	33.0	141310.5	310	473	0.16004422099112794	300.0	300.0	71.0179976270339	140.35822565970477	183.76928286033572
chr2	224929647	224931388	chr2	225000589	225002491	"0,255,255"	15	chr2-chr2-37	0.0	15.0	15.0	71022.5	101	319	0.24220502038796582	300.0	300.0	37.51573403808161	16.573661304402727	137.36900682841159
chr2	72769203	72772979	chr2	72856768	72861596	"0,255,255"	24	chr2-chr2-38	0.0	24.0	24.0	88091.0	222	230	0.1640823596975099	300.0	300.0	59.74017075043955	135.522571676724	121.706600787391
chr2	25989064	25992167	chr2	26142825	26146744	"0,255,255"	26	chr2-chr2-39	0.0	26.0	26.0	154169.0	223	413	0.21780285883515946	300.0	300.0	58.713467702179436	113.95023015300654	286.908324252442
chr2	234287268	234292889	chr2	234498451	234504316	"0,255,255"	30	chr2-chr2-40	0.0	30.0	30.0	211305.0	312	311	0.15363971604968824	300.0	300.0	68.87954427163166	182.93624786547727	124.58026210310435
chr2	147081998	147084799	chr2	147329294	147332887	"0,255,255"	28	chr2-chr2-41	0.0	28.0	28.0	247692.0	332	294	0.25759442080757033	300.0	300.0	63.35536260178821	256.50929991003795	209.76355289356005
chr2	25949436	25953364	chr2	26143219	26146673	"0,255,255"	17	chr2-chr2-42	0.0	17.0	17.0	193546.0	427	402	0.13546463575947898	300.0	300.0	30.60863029951099	300.0	288.95814529045845
chr2	219541152	219543995	chr2	219641631	219643094	"0,255,255"	22	chr2-chr2-43	0.0	22.0	22.0	99789.0	288	197	0.30053821898148175	300.0	300.0	52.87603269369031	92.66856019523924	142.79058010917936
chr2	69558949	69565215	chr2	69711363	69717811	"0,255,255"	27	chr2-chr2-44	0.0	27.0	27.0	152505.0	353	404	0.1249201825304426	300.0	300.0	56.047730940246794	131.76347734471764	97.60208336273384
chr2	119405971	119409244	chr2	119472112	119478016	"0,255,255"	29	chr2-chr2-45	0.0	29.0	29.0	67456.5	366	394	0.18588670072955885	300.0	300.0	60.952986359909566	270.9761111365561	259.0855783447442
chr2	218710889	218711199	chr2	218847714	218848656	"0,255,255"	10	chr2-chr2-46	0.0	10.0	10.0	137141.0	80	350	0.46983646926163974	300.0	300.0	24.001345172295743	43.140550169055494	262.20418620142
chr2	20443305	20444391	chr2	20633434	20637536	"0,255,255"	18	chr2-chr2-47	0.0	18.0	18.0	191637.0	226	283	0.20409087647032212	300.0	300.0	40.72992867896196	116.60702728104428	44.596172557135816
chr2	65063921	65066185	chr2	65185573	65187995	"0,255,255"	17	chr2-chr2-48	0.0	17.0	17.0	121731.0	340	163	0.21340160929929022	300.0	300.0	39.18669265815143	197.89442638283353	101.14147009067985
chr2	134118306	134120355	chr2	134411488	134414125	"0,255,255"	17	chr2-chr2-49	0.0	17.0	17.0	293476.0	496	361	0.21340160929929022	300.0	300.0	30.296372780868573	295.4368561438106	284.63242193009165
chr2	97590758	97592066	chr2	97694655	97700285	"0,255,255"	23	chr2-chr2-50	0.0	23.0	23.0	106058.0	110	393	0.19500448211095672	300.0	300.0	58.82885408414285	83.4260530475135	206.98201571717277
chr2	84495643	84498241	chr2	84864951	84867001	"0,255,255"	17	chr2-chr2-51	0.0	17.0	17.0	369034.0	206	256	0.21514628682798492	300.0	300.0	39.531334738456316	132.2627771552209	106.50414217450336
chr2	147989625	147991330	chr2	148509155	148511187	"0,255,255"	18	chr2-chr2-52	0.0	18.0	18.0	519693.5	233	303	0.2833351530982155	300.0	300.0	39.93396205501009	172.64190125130048	228.6457320333504
chr2	19955608	19956391	chr2	20096359	20098464	"0,255,255"	20	chr2-chr2-53	0.0	20.0	20.0	141412.0	182	254	0.4073651381686793	300.0	300.0	49.09432423408122	162.3844513325161	112.7260076345921
chr2	86219114	86222579	chr2	86365985	86370478	"0,255,255"	25	chr2-chr2-54	0.0	25.0	25.0	147385.0	394	318	0.18479368544721445	300.0	300.0	52.52151154924939	225.44068864563377	170.55022689017414
chr2	230067012	230069887	chr2	230158473	230160494	"0,255,255"	14	chr2-chr2-55	0.0	14.0	14.0	91034.0	229	218	0.1682045268222635	300.0	300.0	31.771868652474122	164.39442435500564	134.70647782417777
chr2	45641668	45645724	chr2	45935979	45939328	"0,255,255"	28	chr2-chr2-56	0.0	28.0	28.0	293957.5	661	426	0.22242521629218154	300.0	300.0	50.08197314106253	300.0	279.4232843918421
chr2	109124666	109129886	chr2	109508748	109511474	"0,255,255"	20	chr2-chr2-57	0.0	20.0	20.0	382835.0	480	355	0.14805820778141782	300.0	300.0	37.403404694008486	300.0	180.1573515337287
chr2	20440804	20447740	chr2	20639094	20643708	"0,255,255"	31	chr2-chr2-58	0.0	31.0	31.0	197129.0	459	451	0.15788132506478583	300.0	300.0	61.0266796659246	170.68842172811296	96.40588149774335
chr2	74713120	74715738	chr2	74875375	74877104	"0,255,255"	19	chr2-chr2-59	0.0	19.0	19.0	161810.5	229	275	0.2571076588634894	300.0	300.0	43.55783991129639	161.33835133458777	172.6701844834747
chr2	69910728	69916619	chr2	70141364	70143723	"0,255,255"	25	chr2-chr2-60	0.0	25.0	25.0	228870.0	543	544	0.17825310894411303	300.0	300.0	42.984516417623716	300.0	300.0
chr2	102019264	102021170	chr2	102239276	102243026	"0,255,255"	20	chr2-chr2-61	0.0	20.0	20.0	220934.0	298	244	0.20800398144115026	300.0	300.0	44.993978389338764	237.9705112334361	117.31154499964143
chr2	84925863	84927101	chr2	85011734	85015429	"0,255,255"	22	chr2-chr2-62	0.0	22.0	22.0	87099.5	522	227	0.2623388548417313	300.0	300.0	45.62098252651185	300.0	113.2225600727822
chr2	8525501	8527667	chr2	8685496	8687828	"0,255,255"	13	chr2-chr2-63	0.0	13.0	13.0	160078.0	217	488	0.17001019061143727	300.0	300.0	24.80155811392656	72.43142525776157	246.0724887422036
chr2	174578082	174578321	chr2	174603265	174603566	"0,255,255"	7	chr2-chr2-64	0.0	7.0	7.0	25214.0	82	93	0.7625271882609279	300.0	300.0	19.859778929884826	45.9205166771398	52.592291159508676
chr2	126528149	126529544	chr2	126776656	126778633	"0,255,255"	19	chr2-chr2-65	0.0	19.0	19.0	248798.0	138	468	0.33144928620391123	300.0	300.0	43.46461173455513	85.48454417126452	300.0
chr2	26844981	26847749	chr2	26941621	26942865	"0,255,255"	17	chr2-chr2-66	0.0	17.0	17.0	95878.0	272	131	0.24925222860829363	300.0	300.0	42.58352782378235	174.14415982695652	69.84829918410611
chr2	20133329	20137891	chr2	20223207	20226117	"0,255,255"	40	chr2-chr2-67	0.0	40.0	40.0	89052.0	310	380	0.3149011025243966	300.0	300.0	93.5419085055259	124.6382464133243	237.48616056065177
chr2	63078973	63079090	chr2	63424619	63426495	"0,255,255"	8	chr2-chr2-68	0.0	8.0	8.0	346525.5	53	127	0.23612052564599012	300.0	300.0	23.5976866989657	32.733770025920414	85.11000206050096
chr2	74690532	74690832	chr2	74876335	74877389	"0,255,255"	8	chr2-chr2-69	0.0	8.0	8.0	186180.0	136	213	0.3475540676606044	300.0	300.0	18.34264813753689	94.21486690497868	113.91804102605428
chr2	235594103	235596100	chr2	235746403	235747896	"0,255,255"	11	chr2-chr2-70	0.0	11.0	11.0	152048.0	169	204	0.18540366345763043	300.0	300.0	25.71568725963807	125.74558956049034	149.05654312005703
chr2	191050732	191052836	chr2	191154340	191155922	"0,255,255"	17	chr2-chr2-71	0.0	17.0	17.0	103347.0	251	141	0.2712967827391411	300.0	300.0	42.61776117386545	185.94889429710102	70.33326303313939
chr2	69025739	69027806	chr2	69306494	69309451	"0,255,255"	22	chr2-chr2-72	0.0	22.0	22.0	281200.0	219	284	0.25758709612544994	300.0	300.0	51.94978175887839	182.0702074378898	211.36118251772274
chr2	172862875	172865456	chr2	172929962	172933627	"0,255,255"	25	chr2-chr2-73	0.0	25.0	25.0	67629.0	168	195	0.23544478847085054	300.0	300.0	67.81761012029935	109.58267516574365	111.6391021219246
chr2	135913390	135918790	chr2	136377691	136379857	"0,255,255"	23	chr2-chr2-74	0.0	23.0	23.0	462684.0	429	346	0.17881854307240522	300.0	300.0	45.760558385058765	289.3853787311899	136.1990855650942
chr2	203483772	203485139	chr2	203813224	203816027	"0,255,255"	15	chr2-chr2-75	0.0	15.0	15.0	330170.0	272	328	0.21159541709193272	300.0	300.0	30.58795521505334	215.1561901378204	219.10844712914817
chr2	73084431	73086254	chr2	73176896	73177592	"0,255,255"	12	chr2-chr2-76	0.0	12.0	12.0	91901.5	265	212	0.28022322803441346	300.0	300.0	25.861755289043483	180.0878580706039	141.57666932079292
chr2	39057864	39061050	chr2	39225696	39230901	"0,255,255"	24	chr2-chr2-77	0.0	24.0	12.0	168841.5	257	585	0.16824748216391075	300.0	300.0	48.09901671718165	140.10688343374332	300.0
chr2	74247523	74250392	chr2	74332527	74335612	"0,255,255"	18	chr2-chr2-78	0.0	18.0	18.0	85112.0	214	342	0.17783397163722395	300.0	300.0	39.65382596543029	92.6971366704534	234.557211766794
chr2	202103836	202106863	chr2	202177303	202179527	"0,255,255"	14	chr2-chr2-79	0.0	14.0	14.0	73065.5	144	322	0.1568328629445443	300.0	300.0	32.26654138776014	65.43875220657561	231.06227408125122
chr2	96858072	96860138	chr2	96958438	96960782	"0,255,255"	17	chr2-chr2-80	0.0	17.0	17.0	100505.0	313	255	0.22675735627584448	300.0	300.0	36.377260004784404	211.41235090795033	82.64223302830146
chr2	46985781	46988693	chr2	47320649	47324477	"0,255,255"	22	chr2-chr2-81	0.0	22.0	22.0	335326.0	373	554	0.1920055743225906	300.0	300.0	40.13800466650386	222.7357663551335	242.2059695006737
chr2	96407118	96409610	chr2	96507661	96509965	"0,255,255"	27	chr2-chr2-82	0.0	27.0	27.0	100449.0	238	826	0.3311582987264485	300.0	300.0	52.32048387826089	154.7242139075272	300.0
chr2	157325866	157328238	chr2	157453270	157455891	"0,255,255"	18	chr2-chr2-83	0.0	18.0	18.0	127528.5	273	197	0.2120615796370982	300.0	300.0	42.136836535817615	176.87546880919143	79.33883101045816
chr2	26604105	26607952	chr2	26744732	26746107	"0,255,255"	14	chr2-chr2-84	0.0	14.0	14.0	139391.0	153	194	0.15770382292642707	300.0	300.0	35.041406792517435	71.02190223952118	122.87243820263276
chr2	151997154	152000505	chr2	152024017	152026086	"0,255,255"	16	chr2-chr2-85	0.0	16.0	16.0	26222.0	168	328	0.17364878509684809	300.0	300.0	36.50993257290537	53.09478780637737	206.6058882114709
chr2	118044002	118047714	chr2	118059773	118062131	"0,255,255"	40	chr2-chr2-86	0.0	40.0	40.0	15094.0	265	327	0.3876344379015308	300.0	300.0	99.22895877973995	70.85439209390273	226.01566746258268
chr2	25342118	25344334	chr2	25375123	25377078	"0,255,255"	13	chr2-chr2-87	0.0	13.0	13.0	32874.5	334	231	0.1833387286910201	300.0	300.0	26.604679960082922	186.9954616192605	111.7924159632337
chr2	162007496	162008857	chr2	162123196	162124108	"0,255,255"	15	chr2-chr2-88	0.0	15.0	15.0	115475.5	128	141	0.3881886886376416	300.0	300.0	41.37328876008488	80.16624306816259	79.71972512465581
chr2	230941326	230948328	chr2	230983505	230988803	"0,255,255"	40	chr2-chr2-89	0.0	40.0	13.333333333333334	41327.0	437	797	0.1912960193546579	300.0	300.0	73.93687138031974	73.58832920576558	300.0
chr2	85728233	85731334	chr2	85811267	85816405	"0,255,255"	21	chr2-chr2-90	0.0	21.0	21.0	84052.5	310	330	0.14993252154177733	300.0	300.0	44.460773681470066	208.21390523840583	75.0645572723018
chr2	201859391	201860824	chr2	202177364	202178718	"0,255,255"	13	chr2-chr2-91	0.0	13.0	13.0	317933.5	218	286	0.27438314939728914	300.0	300.0	27.83031394197657	116.0005479149636	217.66161229939735
chr2	177161944	177166904	chr2	177330777	177335085	"0,255,255"	30	chr2-chr2-92	0.0	30.0	30.0	168507.0	588	410	0.19040847847936113	300.0	300.0	56.60669144866625	300.0	217.48697427487434
chr2	41867362	41871244	chr2	42085057	42089574	"0,255,255"	36	chr2-chr2-93	0.0	36.0	36.0	218012.5	432	527	0.2521308410829935	300.0	300.0	71.69201604236474	238.35900302012163	143.60265311236623
chr2	96468933	96470994	chr2	96507436	96510697	"0,255,255"	27	chr2-chr2-94	0.0	27.0	27.0	39103.0	136	866	0.29842826018264695	300.0	300.0	58.83293045837881	74.41171835996384	300.0
chr2	173027160	173030229	chr2	173208601	173213898	"0,255,255"	17	chr2-chr2-95	0.0	17.0	17.0	182555.0	304	276	0.1195314297366094	300.0	300.0	35.9968985500075	206.91217448454398	134.24584349175254
chr2	96508224	96509701	chr2	96554303	96555425	"0,255,255"	13	chr2-chr2-96	0.0	13.0	13.0	45901.5	622	245	0.2942307954483436	300.0	300.0	22.72525395840849	300.0	141.17860503904677
chr2	75640243	75642623	chr2	75677353	75679268	"0,255,255"	13	chr2-chr2-97	0.0	13.0	13.0	36877.5	207	105	0.17804559659377064	300.0	300.0	33.993914794772444	141.31728020282108	61.88991416770022
chr2	191563406	191568894	chr2	191688650	191692780	"0,255,255"	32	chr2-chr2-98	0.0	32.0	32.0	124565.0	371	313	0.1957114608494316	300.0	300.0	71.78711953900947	118.66656143269698	125.07530243806683
chr2	197801814	197804627	chr2	198127787	198128038	"0,255,255"	9	chr2-chr2-99	0.0	9.0	9.0	324692.0	267	110	0.17278450834334716	300.0	300.0	20.996966810027445	166.18177229708215	71.64287957459032
chr2	84925878	84926231	chr2	84946256	84947090	"0,255,255"	8	chr2-chr2-100	0.0	8.0	8.0	20618.5	346	86	0.39645173345615703	300.0	300.0	18.28165570924314	165.28113287166622	29.498142069890594
chr2	231685782	231688336	chr2	231712560	231716068	"0,255,255"	17	chr2-chr2-101	0.0	17.0	17.0	27255.0	155	423	0.16496204902284298	300.0	300.0	37.933110265276085	19.609527914603216	230.97468572120926
chr2	128062326	128064318	chr2	128233388	128235577	"0,255,255"	11	chr2-chr2-102	0.0	11.0	11.0	171160.5	238	131	0.15476172816721603	300.0	300.0	26.220918949820174	173.9476397143481	81.39055862112465
chr2	72892832	72895936	chr2	72972470	72974827	"0,255,255"	17	chr2-chr2-103	0.0	17.0	17.0	79264.5	307	138	0.1831166345314913	300.0	300.0	41.25654882078027	210.13992345367117	74.36442720138857
chr2	119752988	119753806	chr2	119826240	119826561	"0,255,255"	9	chr2-chr2-104	0.0	9.0	9.0	73003.5	194	49	0.46480398030203307	300.0	300.0	25.617041083155264	136.89484482640927	17.20413629724277
chr2	108396667	108397227	chr2	108582135	108584229	"0,255,255"	10	chr2-chr2-105	0.0	10.0	10.0	186235.0	61	331	0.22164101714980144	300.0	300.0	25.506443569227912	40.030803931028345	205.60715795666172
chr2	217650879	217651171	chr2	217713467	217713883	"0,255,255"	7	chr2-chr2-106	0.0	7.0	7.0	62650.0	48	202	0.5815885334193519	300.0	300.0	19.160249183651786	37.6081766096387	151.7381112449269
chr2	62456631	62458790	chr2	62772681	62776823	"0,255,255"	26	chr2-chr2-107	0.0	26.0	26.0	317041.5	525	309	0.2427252300810172	300.0	300.0	52.07549645083674	300.0	136.4738798789595
chr2	159034879	159036328	chr2	159118160	159119568	"0,255,255"	10	chr2-chr2-108	0.0	10.0	10.0	83260.5	60	297	0.20589263546222364	300.0	300.0	26.06126509120434	29.413206386125108	229.91188298756649
chr2	219402933	219403770	chr2	219530278	219531989	"0,255,255"	7	chr2-chr2-109	0.0	7.0	7.0	127782.0	117	249	0.16160309327350905	300.0	300.0	15.69213692251161	75.07379876581582	129.16727887840707
chr2	176138608	176140749	chr2	176637976	176639439	"0,255,255"	14	chr2-chr2-110	0.0	14.0	14.0	499029.0	319	193	0.22850426285288628	300.0	300.0	30.474267670285585	171.15184440280575	139.89345851992283
chr2	96857716	96860562	chr2	96947149	96951603	"0,255,255"	19	chr2-chr2-111	0.0	19.0	19.0	90237.0	366	289	0.15310232781912173	300.0	300.0	39.149575654806924	261.3477062504368	90.46334974753991
chr2	215454037	215455167	chr2	215918349	215921257	"0,255,255"	12	chr2-chr2-112	0.0	12.0	12.0	465201.0	130	425	0.1748098839570796	300.0	300.0	25.99610241985904	87.77887523686579	245.3273213332605
chr2	70862002	70862137	chr2	70919781	70920221	"0,255,255"	7	chr2-chr2-113	0.0	7.0	7.0	57931.5	50	76	0.7161124898450454	300.0	300.0	22.07617728273036	19.265976161270128	47.589165491676674
chr2	231611489	231613989	chr2	231670874	231677959	"0,255,255"	33	chr2-chr2-114	0.0	33.0	11.0	61677.5	449	564	0.2025223115703068	300.0	300.0	62.89074344358844	276.75292788864954	222.293956980612
chr2	84494610	84496775	chr2	84631200	84631443	"0,255,255"	9	chr2-chr2-115	0.0	9.0	9.0	135629.0	220	61	0.21985537108140185	300.0	300.0	24.190228476681668	154.45532318152786	44.714528479988
chr2	237673012	237674982	chr2	237743023	237748005	"0,255,255"	21	chr2-chr2-116	0.0	21.0	21.0	71517.0	266	367	0.17768901682720126	300.0	300.0	44.90846981687805	162.43016625317887	196.28552894270578
chr2	75640622	75640836	chr2	76599669	76600040	"0,255,255"	6	chr2-chr2-117	0.0	6.0	6.0	959125.5	127	130	0.6033182148877672	300.0	300.0	14.61504223223682	104.21176495974161	127.93866068570104
chr2	119641629	119642024	chr2	119659539	119661037	"0,255,255"	11	chr2-chr2-118	0.0	11.0	11.0	18461.5	108	159	0.3418165797502009	300.0	300.0	29.15973596372019	79.48999176133542	115.52729181669028
chr2	85266004	85266786	chr2	85285399	85286385	"0,255,255"	9	chr2-chr2-119	0.0	9.0	9.0	19497.0	66	250	0.29944102577150206	300.0	300.0	23.35330647023084	34.73438422418478	200.97557102199863
chr2	108604408	108613212	chr2	108635130	108637744	"0,255,255"	38	chr2-chr2-120	0.02	38.0	38.0	27627.0	485	390	0.19576931040104897	300.0	300.0	79.7652049265706	101.92316141583888	295.715232289892
chr2	218406173	218407228	chr2	218465443	218466313	"0,255,255"	10	chr2-chr2-121	0.0	10.0	10.0	59177.5	258	73	0.30557675818990804	300.0	300.0	25.767180021017197	196.84611567835054	36.93035192931622
chr2	109545938	109548333	chr2	109736059	109737465	"0,255,255"	17	chr2-chr2-122	0.0	17.0	17.0	189626.5	255	104	0.26308864540291343	300.0	300.0	44.90629881623732	163.7918796693636	73.5765654483669
chr2	199979896	199980672	chr2	200481377	200484022	"0,255,255"	12	chr2-chr2-123	0.0	12.0	12.0	502415.5	151	240	0.20633800392244595	300.0	300.0	28.20996752329151	91.12613601981383	87.9816816546123
chr2	30207796	30211765	chr2	30706952	30712081	"0,255,255"	22	chr2-chr2-124	0.0	22.0	22.0	499736.0	460	664	0.1422419840552056	300.0	300.0	36.348182793514006	230.86986560406828	290.8149124908355
chr2	172804758	172807869	chr2	172929602	172932286	"0,255,255"	15	chr2-chr2-125	0.0	15.0	15.0	124630.5	156	170	0.15226106803681783	300.0	300.0	38.74066483460271	86.0069775495988	105.41445576963812
chr2	160109219	160112439	chr2	160210136	160211136	"0,255,255"	15	chr2-chr2-126	0.0	15.0	15.0	99807.0	252	142	0.209088362387052	300.0	300.0	36.730421679521	182.21251494578132	95.51062398079054
chr2	230822991	230825283	chr2	230984713	230987420	"0,255,255"	11	chr2-chr2-127	0.0	11.0	11.0	161929.5	334	523	0.12943764462235052	300.0	300.0	17.855570127103725	200.46587880449357	252.18553079682232
chr2	231516999	231518793	chr2	231556182	231558222	"0,255,255"	11	chr2-chr2-128	0.0	11.0	11.0	39306.0	187	241	0.16876859297525568	300.0	300.0	24.405947811079905	104.94146000123716	98.5666191433514
chr2	68357954	68366647	chr2	68438942	68444055	"0,255,255"	39	chr2-chr2-129	0.0	39.0	39.0	79198.0	530	464	0.1661681524055291	300.0	300.0	77.68903557111896	206.2570705524419	190.36912254329079
