loopId	chrA	startA	endA	chrB	startB	endB	distance
loopId175	chr14	71323283	71328283	chr14	71403283	71408283	80000
loopId176	chr14	71933283	71938283	chr14	71968283	71973283	35000
loopId177	chr14	71133283	71143283	chr14	71743283	71753283	610000
loopId178	chr14	71143283	71148283	chr14	71318283	71323283	175000
loopId179	chr11	66692529	66697529	chr11	66832529	66837529	140000
loopId180	chr11	67077529	67082529	chr11	67162529	67167529	85000
loopId181	chr1	166070763	166080763	chr1	166170763	166180763	100000
loopId182	chr11	6603770	6608770	chr11	6673769	6678769	69999
loopId183	chr11	67347529	67352529	chr11	67382529	67387529	35000
loopId184	chr11	67392529	67402529	chr11	67482529	67492529	90000
loopId185	chr11	67262529	67267529	chr11	67312529	67317529	50000
loopId186	chr11	67262529	67267529	chr11	67382529	67387529	120000
loopId187	chr1	167260763	167270763	chr1	167340763	167350763	80000
loopId188	chr11	67572529	67577529	chr11	67612529	67617529	40000
loopId189	chr13	95402746	95407746	chr13	95477746	95482746	75000
loopId190	chr1	39194328	39199328	chr1	39259328	39264328	65000
loopId191	chr7	77125683	77130683	chr7	77245683	77250683	120000
loopId192	chr7	77125683	77130683	chr7	77330683	77335683	205000
loopId193	chr7	75660682	75665682	chr7	75760682	75765682	100000
loopId194	chr7	76175682	76180682	chr7	76315683	76320683	140001
loopId195	chr7	74075670	74085670	chr7	74175670	74185670	100000
loopId196	chr7	74205670	74210670	chr7	74400670	74405670	195000
loopId197	chr7	76500683	76510683	chr7	77000683	77010683	500000
loopId198	chr7	77120683	77130683	chr7	102739553	102749553	25618870
loopId199	chr7	76460683	76470683	chr7	76960683	76970683	500000
loopId200	chr7	76480683	76490683	chr7	76980683	76990683	500000
loopId201	chr22	37538993	37543993	chr22	37588993	37593993	50000
loopId202	chr10	80450244	80460244	chr10	80500244	80510244	50000
loopId203	chr10	80470244	80475244	chr10	80505244	80510244	35000
loopId204	chr10	77395242	77400242	chr10	77710242	77715242	315000
loopId205	chr10	77410242	77415242	chr10	77490242	77495242	80000
loopId206	chr10	77250242	77255242	chr10	77640242	77645242	390000
loopId207	chr10	77390242	77400242	chr10	77640242	77650242	250000
loopId208	chr10	77645242	77650242	chr10	77710242	77715242	65000
loopId209	chr10	8058037	8068037	chr10	8128037	8138037	70000
loopId210	chr10	77490242	77495242	chr10	77640242	77645242	150000
loopId211	chr10	77490242	77495242	chr10	77710242	77715242	220000
loopId212	chr5	151050439	151060439	chr5	151160439	151170439	110000
loopId213	chr2	54572863	54577863	chr2	54632863	54637863	60000
loopId214	chr2	54522863	54527863	chr2	54702863	54707863	180000
loopId215	chr2	47852861	47862861	chr2	48102861	48112861	250000
loopId216	chr2	47717861	47722861	chr2	47752861	47757861	35000
loopId217	chr2	47332861	47337861	chr2	47387861	47392861	55000
loopId218	chr2	47172861	47177861	chr2	47307861	47312861	135000
loopId219	chr2	54522863	54527863	chr2	54632863	54637863	110000
loopId220	chr2	54522863	54527863	chr2	54567863	54572863	45000
loopId221	chr2	53967863	53972863	chr2	54567863	54572863	600000
loopId222	chr2	48107861	48112861	chr2	48417861	48422861	310000
loopId223	chr17	63917640	63922640	chr17	64127640	64132640	210000
loopId224	chr17	63952640	63962640	chr17	64012640	64022640	60000
loopId225	chr17	63442639	63452639	chr17	63592638	63602640	150000
loopId226	chr17	63622640	63632640	chr17	63692640	63702640	70000
loopId227	chr1	75724315	75734315	chr1	75784315	75794315	60000
loopId228	chr17	63912640	63917640	chr17	64017640	64022640	105000
loopId229	chr17	6106680	6111680	chr17	6156680	6161680	50000
loopId230	chr17	62052639	62062639	chr17	62102639	62112639	50000
loopId231	chr17	62422639	62427639	chr17	62477639	62482639	55000
loopId232	chr17	6161680	6166680	chr17	6221680	6226680	60000
loopId233	chr2	230900285	230905285	chr2	230985285	230990285	85000
loopId234	chr2	230855285	230865285	chr2	230915285	230925285	60000
loopId235	chr2	230945285	230950285	chr2	230980285	230985285	35000
loopId236	chr2	230915285	230925285	chr2	231045285	231055286	130000
loopId237	chr2	231225287	231235287	chr2	231295287	231305287	70000
loopId238	chr2	231225287	231230287	chr2	231400289	231405289	175002
loopId239	chr2	231510289	231515289	chr2	231600289	231605289	90000
loopId240	chr2	231300287	231305287	chr2	231390289	231395289	90002
loopId241	chr6	154238866	154243866	chr6	154278866	154283866	40000
loopId242	chr2	231610289	231615289	chr2	231670289	231675290	60000
loopId243	chr6	154673866	154678866	chr6	155168866	155173866	495000
loopId244	chr6	154728866	154733866	chr6	154803866	154808866	75000
loopId245	chr6	15249769	15259769	chr6	15449769	15459769	200000
loopId246	chr6	152558865	152568865	chr6	152628865	152638865	70000
loopId247	chr6	15324769	15329769	chr6	15439769	15444769	115000
loopId248	chr6	154153865	154158865	chr6	154273866	154278866	120001
loopId249	chr1	23688510	23693510	chr1	23743510	23748510	55000
loopId250	chr12	39621198	39626198	chr12	39686198	39691198	65000
loopId251	chr12	38666198	38671198	chr12	38901198	38906198	235000
loopId252	chr1	238586700	238596700	chr1	238646700	238656700	60000
loopId253	chr12	3880834	3890834	chr12	4270834	4280834	390000
loopId254	chr12	38906198	38911198	chr12	39101198	39106198	195000
loopId255	chr1	23543509	23553509	chr1	23743510	23753510	200001
loopId256	chr1	23543509	23548509	chr1	23633510	23638510	90001
loopId257	chr12	38346198	38356198	chr12	38906198	38916198	560000
loopId258	chr12	38321198	38326198	chr12	38901198	38906198	580000
loopId259	chr4	105593843	105598843	chr4	105658843	105663843	65000
loopId260	chr4	105518843	105523843	chr4	105663843	105668843	145000
loopId261	chr4	105058843	105063843	chr4	105468843	105473843	410000
loopId262	chr4	105058843	105063843	chr4	105303843	105308843	245000
loopId263	chr4	105518843	105523843	chr4	105593843	105598843	75000
loopId264	chr4	105143843	105148843	chr4	105468843	105473843	325000
loopId265	chr4	10583376	10588376	chr4	11413376	11418376	830000
loopId266	chr4	10583376	10588376	chr4	10728376	10733376	145000
loopId267	chr4	105058843	105063843	chr4	105138843	105143843	80000
loopId268	chr4	104968843	104978843	chr4	105058843	105068843	90000
loopId269	chrX	67610158	67620158	chrX	67690158	67700158	80000
loopId270	chr5	32539894	32544894	chr5	32579894	32584894	40000
loopId271	chr5	32484894	32489894	chr5	32609894	32614894	125000
loopId272	chr12	7857404	7862404	chr12	7992404	7997404	135000
loopId273	chr5	26844891	26849891	chr5	26879891	26884891	35000
loopId274	chr5	21489891	21499891	chr5	34179895	34189895	12690004
loopId275	chr5	209885	219885	chr5	1589885	1599885	1380000
loopId276	chr5	20929891	20939891	chr5	34259895	34269895	13330004
loopId277	chr5	32484894	32489894	chr5	32584894	32589894	100000
loopId278	chr5	32269894	32279894	chr5	32319894	32329894	50000
loopId279	chr5	32229894	32239894	chr5	32319894	32329894	90000
loopId280	chr5	319885	329885	chr5	429885	439885	110000
loopId281	chr8	41702482	41707482	chr8	41827482	41832482	125000
loopId282	chr8	41262481	41267481	chr8	41297481	41302481	35000
loopId283	chr8	38767482	38772482	chr8	38817482	38822482	50000
loopId284	chr8	38722482	38727482	chr8	38767482	38772482	45000
loopId285	chr8	39892481	39902481	chr8	39962481	39972481	70000
loopId286	chr8	39682481	39692481	chr8	39952481	39962481	270000
loopId287	chr8	38177482	38182482	chr8	38382482	38387482	205000
loopId288	chr8	38117482	38122482	chr8	38382482	38387482	265000
loopId289	chr8	38407482	38412482	chr8	38717482	38722482	310000
loopId290	chr8	38317482	38322482	chr8	38382482	38387482	65000
loopId291	chr16	29608679	29618679	chr16	87866394	87876394	58257715
loopId292	chr16	29608679	29613679	chr16	29658679	29663679	50000
loopId293	chr16	29588679	29598679	chr16	30328679	30338679	740000
loopId294	chr16	29288679	29298679	chr16	88256394	88266394	58967715
loopId295	chr16	30648679	30653679	chr16	30693679	30698679	45000
loopId296	chr16	30423679	30428679	chr16	30533679	30538679	110000
loopId297	chr16	29813679	29818679	chr16	29848679	29853679	35000
loopId298	chr16	29743679	29748679	chr16	29783679	29788679	40000
loopId299	chr5	136069311	136074311	chr5	136104311	136109311	35000
loopId300	chr5	137139311	137144311	chr5	137199311	137204311	60000
loopId301	chr16	30958679	30968679	chr16	31068679	31078679	110000
loopId302	chr16	30843679	30848679	chr16	30918679	30923679	75000
loopId303	chr5	134294309	134304309	chr5	134584310	134594310	290001
loopId304	chr5	134524309	134529310	chr5	134574310	134579310	50001
loopId305	chr5	134099309	134104309	chr5	134134309	134139309	35000
loopId306	chr5	134174309	134184309	chr5	134284309	134294309	110000
loopId307	chr10	44124552	44134552	chr10	44304552	44314552	180000
loopId308	chr10	44034552	44039552	chr10	44299552	44304552	265000
loopId309	chr10	44304552	44309552	chr10	44379552	44384552	75000
loopId310	chr10	44259552	44264552	chr10	44304552	44309552	45000
loopId311	chr10	45249552	45254552	chr10	45459552	45464552	210000
loopId312	chr10	44929552	44934552	chr10	44969552	44974552	40000
loopId313	chr10	45464552	45474552	chr10	45574552	45584552	110000
loopId314	chr10	45454552	45464552	chr10	45664552	45674552	210000
loopId315	chr10	48211957	48216957	chr10	48281957	48286957	70000
loopId316	chr10	45704552	45714552	chr10	50050240	50060240	4345688
loopId317	chr9	72365084	72375084	chr9	72525084	72535084	160000
loopId318	chr9	72280084	72285084	chr9	72590084	72595084	310000
loopId319	chr9	72275084	72280084	chr9	72820084	72825084	545000
loopId320	chr9	72205084	72210084	chr9	72270084	72275084	65000
loopId321	chr9	72145084	72155084	chr9	72195084	72205084	50000
loopId322	chr9	72035084	72040084	chr9	72270084	72275084	235000
loopId323	chr9	72035084	72040084	chr9	72155084	72160084	120000
loopId324	chr9	7120000	7125000	chr9	7295000	7300000	175000
loopId325	chr9	74765084	74775084	chr9	75085084	75095084	320000
loopId326	chr9	73105084	73115084	chr9	73175084	73185084	70000
loopId327	chr18	58532768	58537768	chr18	58652768	58657768	120000
loopId328	chr18	58532768	58537768	chr18	58567768	58572768	35000
loopId329	chr18	58492768	58497768	chr18	58762768	58767768	270000
loopId330	chr18	58397768	58402768	chr18	58492768	58497768	95000
loopId331	chr18	58047768	58052768	chr18	58112768	58117768	65000
loopId332	chr18	57752768	57757768	chr18	57837768	57842768	85000
loopId333	chr18	57612768	57622768	chr18	57832768	57842768	220000
loopId334	chr18	57077769	57082769	chr18	57437768	57442768	359999
loopId335	chr18	58557768	58562768	chr18	58652768	58657768	95000
loopId336	chr18	58532768	58537768	chr18	58762768	58767768	230000
loopId337	chrX	120561145	120566145	chrX	120596145	120601145	35000
loopId338	chrX	120246145	120251145	chrX	120301145	120306145	55000
loopId339	chrX	11791881	11796881	chrX	13071881	13076881	1280000
loopId340	chrX	11791881	11796881	chrX	11906881	11911881	115000
loopId341	chrX	119616037	119621037	chrX	119726037	119731037	110000
loopId342	chrX	119516037	119526037	chrX	119746037	119756037	230000
loopId343	chrX	11721880	11726881	chrX	11766881	11771881	45001
loopId344	chrX	11531880	11536880	chrX	11906881	11911881	375001
loopId345	chrX	11741881	11751881	chrX	13081881	13091881	1340000
loopId346	chrX	118351037	118356037	chrX	118421037	118426037	70000
loopId347	chr11	9513453	9518453	chr11	9608453	9613453	95000
loopId348	chr11	95831836	95836836	chr11	96386836	96391836	555000
loopId349	chr11	94266834	94276834	chr11	94466834	94476834	200000
loopId350	chr11	94516834	94521834	chr11	94601834	94606834	85000
loopId351	chr11	94546834	94551834	chr11	94581834	94586834	35000
loopId352	chr11	95066836	95071836	chr11	95146836	95151836	80000
loopId353	chr11	9458453	9468453	chr11	9508453	9518453	50000
loopId354	chr11	95151836	95156836	chr11	95701836	95706836	550000
loopId355	chr11	95151836	95156836	chr11	95761836	95766836	610000
loopId356	chr11	95546836	95556836	chr11	95696836	95706836	150000
loopId357	chr14	58498282	58503282	chr14	58793282	58798282	295000
loopId358	chr14	58633282	58643282	chr14	59023282	59033282	390000
loopId359	chr6	43772263	43777263	chr6	43992263	43997263	220000
loopId360	chr6	43767263	43772263	chr6	44072263	44077263	305000
loopId361	chr14	58793282	58798282	chr14	59023282	59028282	230000
loopId362	chr14	59123282	59128282	chr14	59443282	59448282	320000
loopId363	chr14	59128282	59133282	chr14	59203282	59208282	75000
loopId364	chr14	59128282	59133282	chr14	59243282	59248282	115000
loopId365	chr1	45514328	45519328	chr1	45549328	45554328	35000
loopId366	chr14	60193282	60198282	chr14	60328282	60333282	135000
loopId367	chr16	10596143	10606143	chr16	10726143	10736143	130000
loopId368	chr6	44262263	44267263	chr6	44337263	44342263	75000
loopId369	chr6	44172263	44182263	chr6	44222263	44232263	50000
loopId370	chr16	10521143	10526143	chr16	10911143	10916143	390000
loopId371	chr5	122294305	122304305	chr5	122404305	122414305	110000
loopId372	chr5	123414306	123424306	chr5	123524306	123534306	110000
loopId373	chr16	10311143	10316143	chr16	10506143	10511143	195000
loopId374	chr5	123449306	123454306	chr5	123514306	123519306	65000
loopId375	chr3	142021158	142026158	chr3	142276158	142281158	255000
loopId376	chr20	11269352	11279352	chr20	11539352	11549352	270000
loopId377	chr20	11219352	11224352	chr20	11259352	11264352	40000
loopId378	chr20	11109352	11119352	chr20	11259352	11269352	150000
loopId379	chr20	10669352	10674352	chr20	11544352	11549352	875000
loopId380	chr20	10669352	10674352	chr20	11264352	11269352	595000
loopId381	chr20	10669352	10674352	chr20	11204352	11209352	535000
loopId382	chr20	10549352	10554352	chr20	11539352	11544352	990000
loopId383	chr20	10549352	10554352	chr20	11269352	11274352	720000
loopId384	chr20	10474352	10479352	chr20	11274352	11279352	800000
loopId385	chr20	10359352	10364352	chr20	10474352	10479352	115000
loopId386	chr3	53375973	53385973	chr3	53545973	53555973	170000
loopId387	chr3	53380973	53385973	chr3	53700973	53705973	320000
loopId388	chr3	53130984	53135984	chr3	53195984	53200984	65000
loopId389	chr3	5298315	5308315	chr3	5418314	5428314	119999
loopId390	chr3	52410984	52415984	chr3	52450984	52455984	40000
loopId391	chr3	53130984	53135984	chr3	53165984	53170984	35000
loopId392	chr3	52045984	52055984	chr3	52135984	52145984	90000
loopId393	chr3	52285984	52290984	chr3	52340984	52345984	55000
loopId394	chr3	52000984	52005984	chr3	52035984	52040984	35000
loopId395	chr3	52000984	52005984	chr3	52120984	52125984	120000
loopId396	chr7	94005688	94010688	chr7	94040688	94045688	35000
loopId397	chr7	94650688	94660688	chr7	95500688	95510688	850000
loopId398	chr7	95505688	95510688	chr7	95680688	95685688	175000
loopId399	chr7	95715688	95720688	chr7	95865688	95870688	150000
loopId400	chr7	920363	925364	chr7	955364	960364	35001
loopId401	chr7	98020688	98030688	chr7	98160688	98170688	140000
loopId402	chr7	98430688	98440688	chr7	98832377	98842377	401689
loopId403	chr7	98792377	98797377	chr7	98832377	98837377	40000
loopId404	chr7	99032377	99042377	chr7	99322377	99332377	290000
loopId405	chr7	99992377	99997377	chr7	100077377	100082377	85000
loopId406	chr1	116377378	116382378	chr1	116557378	116562378	180000
loopId407	chr10	74585242	74590242	chr10	75010242	75015242	425000
loopId408	chr10	74830242	74840242	chr10	74970242	74980242	140000
loopId409	chr10	74265242	74270242	chr10	74585242	74590242	320000
loopId410	chr10	74265242	74270242	chr10	75020242	75025242	755000
loopId411	chr10	74265242	74270242	chr10	75110242	75115242	845000
loopId412	chr10	74585242	74590242	chr10	74820242	74825242	235000
loopId413	chr10	7523038	7528038	chr10	7688037	7693037	164999
loopId414	chr10	73950242	73960242	chr10	74000242	74010242	50000
loopId415	chr10	73955242	73960242	chr10	74080242	74085242	125000
loopId416	chr10	74240242	74250242	chr10	75010242	75020242	770000
loopId417	chr5	157162989	157172989	chr5	157212989	157222990	50000
loopId418	chr5	157252990	157257990	chr5	157307992	157312992	55002
loopId419	chr17	67373884	67383884	chr17	67573884	67583884	200000
loopId420	chr17	67373884	67383884	chr17	67633884	67643884	260000
loopId421	chr17	66253882	66258882	chr17	66713882	66718882	460000
loopId422	chr17	66253882	66263882	chr17	66563882	66573882	310000
loopId423	chr17	65228882	65233882	chr17	66703882	66708882	1475000
loopId424	chr1	75904315	75909315	chr1	75979315	75984315	75000
loopId425	chr17	67368884	67373884	chr17	67713884	67718884	345000
loopId426	chr17	67373884	67378884	chr17	67683884	67688884	310000
loopId427	chr17	66703882	66708882	chr17	67648884	67653884	945002
loopId428	chr17	66713882	66718882	chr17	66903883	66908883	190001
loopId429	chr6	157458968	157463968	chr6	157763968	157768968	305000
loopId430	chr6	157463968	157468968	chr6	157663968	157668968	200000
loopId431	chr6	157318968	157323968	chr6	157383968	157388968	65000
loopId432	chr6	157318968	157323968	chr6	157458968	157463968	140000
loopId433	chr6	156678866	156688866	chr6	157018866	157028866	340000
loopId434	chr6	15769769	15779769	chr6	15889769	15899769	120000
