loopId	typeAnchorA	typeAnchorB	nearestDistanceToGeneAnchorA	nearestDistanceToGeneAnchorB	nearestTargetGeneAnchorA	nearestTargetGeneAnchorB
loop_chr17-chr17-7279|activate_100m|loop_chr17-chr17-6698|resting_100m	Enhancer	Promoter	4286	1898	chr17:40092793-40100589|-|NR1D1	chr17:40092793-40100589|-|NR1D1
loop_chr17-chr17-7281|activate_100m|loop_chr17-chr17-6856|resting_100m	Enhancer	Enhancer	4007	5385	chr17:30803654-30804077|+|AC127024.6	chr17:30803654-30804077|+|AC127024.6
loop_chr17-chr17-7337|activate_100m|loop_chr17-chr17-6625|resting_100m	Enhancer	Enhancer	26909	27548	chr17:35018660-35018991|+|AC004223.4	chr17:35073831-35074374|-|AC004223.2
loop_chr17-chr17-7364|activate_100m|loop_chr17-chr17-6688|resting_100m	Enhancer	Enhancer	18218	16219	chr17:67457023-67457290|-|RN7SL756P	chr17:67457023-67457290|-|RN7SL756P
loop_chr17-chr17-7371|activate_100m|loop_chr17-chr17-6602|resting_100m	Enhancer	Enhancer	6480	8604	chr17:74274234-74314884|+|DNAI2	chr17:74274234-74314884|+|DNAI2
loop_chr17-chr17-7382|activate_100m|loop_chr17-chr17-6719|resting_100m	Enhancer	Enhancer	4095	5491	chr17:58166982-58171411|+|OR4D2	chr17:58166982-58171411|+|OR4D2
loop_chr17-chr17-7386|activate_100m|loop_chr17-chr17-6748|resting_100m	Enhancer	Enhancer	3159	4761	chr17:57989042-57994850|-|AC015813.1	chr17:57989042-57994850|-|AC015813.1
loop_chr17-chr17-7410|activate_100m|loop_chr17-chr17-6752|resting_100m	Enhancer	Enhancer	20690	18777	chr17:17759154-17770821|-|RAI1-AS1	chr17:17759154-17770821|-|RAI1-AS1
loop_chr17-chr17-7417|activate_100m|loop_chr17-chr17-6627|resting_100m	Enhancer	Promoter	9587	0	chr17:41688885-41692668|+|EIF1	chr17:41688885-41692668|+|EIF1
loop_chr17-chr17-7456|activate_100m|loop_chr17-chr17-6673|resting_100m	Promoter	Promoter	0	1542	chr17:5501400-5584531|-|NLRP1	chr17:5501400-5584531|-|NLRP1
loop_chr17-chr17-7486|activate_100m|loop_chr17-chr17-6653|resting_100m	Enhancer	Enhancer	4435	9406	chr17:40597113-40598585|-|AC004585.2	chr17:40597113-40598585|-|AC004585.2
loop_chr17-chr17-7488|activate_100m|loop_chr17-chr17-6610|resting_100m	Enhancer	Enhancer	38024	39835	chr17:39057019-39113190|+|RDM1P5	chr17:39057019-39113190|+|RDM1P5
loop_chr17-chr17-7579|activate_100m|loop_chr17-chr17-6639|resting_100m	Enhancer	Promoter	3126	0	chr17:77444704-77447167|+|AC111170.3	chr17:77444704-77447167|+|AC111170.3
loop_chr17-chr17-7591|activate_100m|loop_chr17-chr17-6632|resting_100m	Promoter	Promoter	1479	0	chr17:76671942-76673658|+|AC005837.1	chr17:76671942-76673658|+|AC005837.1
loop_chr17-chr17-7596|activate_100m|loop_chr17-chr17-6636|resting_100m	Promoter	Enhancer	0	4855	chr17:64002594-64020634|-|ICAM2	chr17:64002594-64020634|-|ICAM2
loop_chr17-chr17-7599|activate_100m|loop_chr17-chr17-7073|resting_100m	Enhancer	Enhancer	16955	18855	chr17:19755244-19756207|+|AC005722.1	chr17:19755244-19756207|+|AC005722.1
loop_chr17-chr17-7614|activate_100m|loop_chr17-chr17-6738|resting_100m	Enhancer	Enhancer	7035	3419	chr17:40113215-40115442|-|AC068669.1	chr17:40113215-40115442|-|AC068669.1
loop_chr17-chr17-7639|activate_100m|loop_chr17-chr17-6679|resting_100m	Promoter	Promoter	0	1905	chr17:59784813-59785035|+|AC040904.1	chr17:59784813-59785035|+|AC040904.1
loop_chr17-chr17-7643|activate_100m|loop_chr17-chr17-6695|resting_100m	Promoter	Promoter	0	0	chr17:7686071-7703502|+|WRAP53	chr17:7661779-7687550|-|TP53
loop_chr17-chr17-7683|activate_100m|loop_chr17-chr17-6775|resting_100m	Enhancer	Enhancer	4184	7035	chr17:40092793-40100589|-|NR1D1	chr17:40113215-40115442|-|AC068669.1
loop_chr17-chr17-7693|activate_100m|loop_chr17-chr17-6741|resting_100m	Promoter	Enhancer	332	2785	chr17:8056225-8057621|-|AC129492.3	chr17:8056225-8057621|-|AC129492.3
loop_chr17-chr17-7750|activate_100m|loop_chr17-chr17-6743|resting_100m	Enhancer	Enhancer	15452	13961	chr17:80801640-80805632|-|AC016245.1	chr17:80801640-80805632|-|AC016245.1
loop_chr17-chr17-7760|activate_100m|loop_chr17-chr17-6723|resting_100m	Promoter	Enhancer	1035	4282	chr17:77959240-78108835|+|TNRC6C	chr17:77959240-78108835|+|TNRC6C
loop_chr17-chr17-7778|activate_100m|loop_chr17-chr17-6692|resting_100m	Enhancer	Enhancer	41544	35420	chr17:39835037-39836080|-|KRT8P34	chr17:39835037-39836080|-|KRT8P34
loop_chr17-chr17-7811|activate_100m|loop_chr17-chr17-6885|resting_100m	Enhancer	Enhancer	9714	14243	chr17:40597113-40598585|-|AC004585.2	chr17:40597113-40598585|-|AC004585.2
loop_chr17-chr17-7814|activate_100m|loop_chr17-chr17-6687|resting_100m	Enhancer	Enhancer	5311	6825	chr17:48830988-48865245|+|CALCOCO2	chr17:48830988-48865245|+|CALCOCO2
loop_chr17-chr17-7872|activate_100m|loop_chr17-chr17-6685|resting_100m	Promoter	Promoter	0	0	chr17:49361165-49366115|+|AC091180.2	chr17:49294565-49362473|-|ZNF652
loop_chr17-chr17-7889|activate_100m|loop_chr17-chr17-6667|resting_100m	Promoter	Promoter	810	541	chr17:76752912-76753015|+|RNU6-97P	chr17:76752912-76753015|+|RNU6-97P
loop_chr17-chr17-7956|activate_100m|loop_chr17-chr17-6661|resting_100m	Promoter	Promoter	464	1415	chr17:45247954-45268393|+|MAP3K14-AS1	chr17:45245186-45251129|-|AC008105.2
loop_chr17-chr17-7977|activate_100m|loop_chr17-chr17-6618|resting_100m	Enhancer	Enhancer	23221	21347	chr17:78795653-78840887|-|USP36	chr17:78795653-78840887|-|USP36
loop_chr17-chr17-8055|activate_100m|loop_chr17-chr17-6691|resting_100m	Enhancer	Enhancer	17394	16048	chr17:49834239-49836454|+|AC027801.4	chr17:49834239-49836454|+|AC027801.4
loop_chr17-chr17-8177|activate_100m|loop_chr17-chr17-6823|resting_100m	Enhancer	Promoter	2535	1372	chr17:77879027-77884087|-|LINC01973	chr17:77879027-77884087|-|LINC01973
loop_chr17-chr17-8196|activate_100m|loop_chr17-chr17-6805|resting_100m	Enhancer	Enhancer	6461	5023	chr17:29621617-29622254|-|AC104564.2	chr17:29621617-29622254|-|AC104564.2
loop_chr17-chr17-8231|activate_100m|loop_chr17-chr17-6712|resting_100m	Enhancer	Enhancer	33352	23154	chr17:78674048-78782297|-|CYTH1	chr17:78674048-78782297|-|CYTH1
loop_chr17-chr17-8313|activate_100m|loop_chr17-chr17-6791|resting_100m	Enhancer	Enhancer	11809	6671	chr17:82101470-82212813|-|CCDC57	chr17:82101470-82212813|-|CCDC57
loop_chr17-chr17-8534|activate_100m|loop_chr17-chr17-6773|resting_100m	Promoter	Promoter	0	0	chr17:48892765-48895871|+|ATP5MC1	chr17:48908407-48929056|+|UBE2Z
loop_chr17-chr17-8676|activate_100m|loop_chr17-chr17-6978|resting_100m	Enhancer	Enhancer	12874	16791	chr17:19755244-19756207|+|AC005722.1	chr17:19755244-19756207|+|AC005722.1
loop_chr17-chr17-8721|activate_100m|loop_chr17-chr17-7719|resting_100m	Enhancer	Enhancer	22703	20634	chr17:35073831-35074374|-|AC004223.2	chr17:35073831-35074374|-|AC004223.2
loop_chr17-chr17-8906|activate_100m|loop_chr17-chr17-7433|resting_100m	Enhancer	Enhancer	4753	2367	chr17:8140472-8156360|-|AC129492.1	chr17:8140472-8156360|-|AC129492.1
loop_chr17-chr17-9011|activate_100m|loop_chr17-chr17-7162|resting_100m	Enhancer	Enhancer	15879	3465	chr17:67457023-67457290|-|RN7SL756P	chr17:67471489-67471585|-|MIR548D2
loop_chr17-chr17-9033|activate_100m|loop_chr17-chr17-6709|resting_100m	Enhancer	Promoter	5950	0	chr17:39953263-39977766|+|GSDMA	chr17:39980807-39997959|+|PSMD3
loop_chr17-chr17-6603|resting_100m	Enhancer	Enhancer	8385	6920	chr17:14210488-14217922|+|AC005224.1	chr17:14210488-14217922|+|AC005224.1
loop_chr17-chr17-6604|resting_100m	Enhancer	Enhancer	38904	39960	chr17:49708334-49720060|+|AC015795.1	chr17:49710332-49788592|-|FAM117A
loop_chr17-chr17-6612|resting_100m	Enhancer	Enhancer	35852	37723	chr17:39057019-39113190|+|RDM1P5	chr17:39057019-39113190|+|RDM1P5
loop_chr17-chr17-6615|resting_100m	Promoter	Enhancer	1035	5595	chr17:68267026-68291127|-|SLC16A6	chr17:68267026-68291127|-|SLC16A6
loop_chr17-chr17-6617|resting_100m	Enhancer	Enhancer	3557	2337	chr17:31303770-31314105|-|EVI2B	chr17:31303770-31314105|-|EVI2B
loop_chr17-chr17-6624|resting_100m	Enhancer	Promoter	2011	0	chr17:59362665-59363278|+|AC091059.2	chr17:59362665-59363278|+|AC091059.2
loop_chr17-chr17-6633|resting_100m	Promoter	Enhancer	0	3682	chr17:50862223-50867978|-|TOB1	chr17:50862223-50867978|-|TOB1
loop_chr17-chr17-6634|resting_100m	Enhancer	Enhancer	12092	13400	chr17:68424451-68424548|-|MIR635	chr17:68424451-68424548|-|MIR635
loop_chr17-chr17-6635|resting_100m	Promoter	Promoter	296	1542	chr17:78250346-78250932|-|AC087645.3	chr17:78250346-78250932|-|AC087645.3
loop_chr17-chr17-6641|resting_100m	Promoter	Promoter	761	1180	chr17:63610772-63611184|-|AC046185.2	chr17:63610772-63611184|-|AC046185.2
loop_chr17-chr17-6651|resting_100m	Enhancer	Enhancer	35502	39886	chr17:39057019-39113190|+|RDM1P5	chr17:39057019-39113190|+|RDM1P5
loop_chr17-chr17-6655|resting_100m	Promoter	Promoter	132	1208	chr17:41688885-41692668|+|EIF1	chr17:41688885-41692668|+|EIF1
loop_chr17-chr17-6664|resting_100m	Enhancer	Promoter	2563	1282	chr17:63695888-63700685|-|LIMD2	chr17:63695888-63700685|-|LIMD2
loop_chr17-chr17-6669|resting_100m	Enhancer	Enhancer	4769	3546	chr17:47209035-47223679|+|MYL4	chr17:47209035-47223679|+|MYL4
loop_chr17-chr17-6674|resting_100m	Enhancer	Enhancer	7143	8441	chr17:73202968-73203431|-|AC097641.2	chr17:73202968-73203431|-|AC097641.2
loop_chr17-chr17-6676|resting_100m	Enhancer	Enhancer	4115	2852	chr17:57600856-57608412|-|AC007431.1	chr17:57600856-57608412|-|AC007431.1
loop_chr17-chr17-6680|resting_100m	Enhancer	Enhancer	3337	2150	chr17:20999596-21043760|-|USP22	chr17:20999596-21043760|-|USP22
loop_chr17-chr17-6684|resting_100m	Enhancer	Enhancer	3897	2679	chr17:63695888-63700685|-|LIMD2	chr17:63695888-63700685|-|LIMD2
loop_chr17-chr17-6689|resting_100m	Enhancer	Enhancer	13283	15529	chr17:19904302-19977828|-|AKAP10	chr17:19904302-19977828|-|AKAP10
loop_chr17-chr17-6690|resting_100m	Enhancer	Enhancer	19648	22101	chr17:68512032-68551319|+|PRKAR1A	chr17:68557516-68582577|+|AC079210.1
loop_chr17-chr17-6701|resting_100m	Enhancer	Enhancer	6911	5624	chr17:68188547-68189165|+|AC005332.7	chr17:68188547-68189165|+|AC005332.7
loop_chr17-chr17-6705|resting_100m	Enhancer	Enhancer	2789	4313	chr17:77959240-78108835|+|TNRC6C	chr17:77959240-78108835|+|TNRC6C
loop_chr17-chr17-6707|resting_100m	Promoter	Promoter	1469	509	chr17:78250346-78250932|-|AC087645.3	chr17:78248493-78254416|-|THA1P
loop_chr17-chr17-6714|resting_100m	Enhancer	Enhancer	31436	38798	chr17:49708334-49720060|+|AC015795.1	chr17:49708334-49720060|+|AC015795.1
loop_chr17-chr17-6715|resting_100m	Enhancer	Enhancer	17128	12630	chr17:66212033-66229415|-|APOH	chr17:66267743-66267848|+|RNA5SP444
loop_chr17-chr17-6717|resting_100m	Enhancer	Enhancer	6449	10345	chr17:29716279-29716685|-|RPL21P123	chr17:29716279-29716685|-|RPL21P123
loop_chr17-chr17-6720|resting_100m	Promoter	Enhancer	1101	2276	chr17:10697594-10711233|+|ADPRM	chr17:10697594-10711233|+|ADPRM
loop_chr17-chr17-6721|resting_100m	Promoter	Promoter	1412	0	chr17:62910021-62968549|-|AC005972.3	chr17:62910021-62968549|-|AC005972.3
loop_chr17-chr17-6725|resting_100m	Enhancer	Enhancer	10722	9386	chr17:14210488-14217922|+|AC005224.1	chr17:14210488-14217922|+|AC005224.1
loop_chr17-chr17-6728|resting_100m	Promoter	Promoter	648	810	chr17:32007988-32053504|+|LRRC37B	chr17:32007988-32053504|+|LRRC37B
loop_chr17-chr17-6734|resting_100m	Enhancer	Enhancer	3780	30071	chr17:47831670-47837719|+|LRRC46	chr17:59281130-59281343|+|SNRPGP17
loop_chr17-chr17-6737|resting_100m	Enhancer	Enhancer	16081	9766	chr17:40597113-40598585|-|AC004585.2	chr17:40597113-40598585|-|AC004585.2
loop_chr17-chr17-6750|resting_100m	Promoter	Promoter	0	1402	chr17:47896150-47928957|+|SP2,chr17:47891255-47895812|-|AC018521.5	chr17:47896150-47928957|+|SP2
loop_chr17-chr17-6756|resting_100m	Enhancer	Enhancer	8013	9505	chr17:77396984-77397054|-|MIR4316	chr17:77396984-77397054|-|MIR4316
loop_chr17-chr17-6757|resting_100m	Enhancer	Enhancer	5762	4546	chr17:30782684-30824692|-|CRLF3	chr17:30782684-30824692|-|CRLF3
loop_chr17-chr17-6758|resting_100m	Enhancer	Enhancer	15959	13658	chr17:49834239-49836454|+|AC027801.4	chr17:49834239-49836454|+|AC027801.4
loop_chr17-chr17-6759|resting_100m	Enhancer	Enhancer	3584	7243	chr17:41688885-41692668|+|EIF1	chr17:41688885-41692668|+|EIF1
loop_chr17-chr17-6767|resting_100m	Promoter	Enhancer	1940	4446	chr17:68267026-68291127|-|SLC16A6	chr17:68267026-68291127|-|SLC16A6
loop_chr17-chr17-6768|resting_100m	Promoter	Enhancer	0	2130	chr17:7306999-7312463|+|EIF5A	chr17:7306999-7312463|+|EIF5A
loop_chr17-chr17-6769|resting_100m	Enhancer	Enhancer	3146	2486	chr17:28944796-28945394|+|AC024267.5	chr17:28905250-28951518|-|PHF12
loop_chr17-chr17-6771|resting_100m	Enhancer	Enhancer	25858	28540	chr17:66302613-66810743|+|PRKCA	chr17:66302613-66810743|+|PRKCA
loop_chr17-chr17-6774|resting_100m	Enhancer	Enhancer	16437	17797	chr17:27465112-27465541|+|AC069366.2	chr17:27465112-27465541|+|AC069366.2
loop_chr17-chr17-6779|resting_100m	Enhancer	Enhancer	5053	3297	chr17:76202644-76202796|-|ATP5MGP6	chr17:76202644-76202796|-|ATP5MGP6
loop_chr17-chr17-6787|resting_100m	Enhancer	Enhancer	27300	2233	chr17:49288346-49288454|-|MIR6129	chr17:49370740-49476988|+|AC091180.5
loop_chr17-chr17-6789|resting_100m	Promoter	Enhancer	770	2112	chr17:50478860-50485974|+|RSAD1	chr17:50478860-50485974|+|RSAD1
loop_chr17-chr17-6790|resting_100m	Enhancer	Enhancer	9150	7894	chr17:68095068-68095757|+|FBXO36P1	chr17:68095068-68095757|+|FBXO36P1
loop_chr17-chr17-6795|resting_100m	Enhancer	Enhancer	16580	18265	chr17:16893198-16893429|-|AL353996.1	chr17:16893198-16893429|-|AL353996.1
loop_chr17-chr17-6798|resting_100m	Promoter	Enhancer	187	2923	chr17:5501400-5584531|-|NLRP1	chr17:5501400-5584531|-|NLRP1
loop_chr17-chr17-6802|resting_100m	Enhancer	Enhancer	7424	9683	chr17:77089417-77089497|+|MIR6516	chr17:77089417-77089497|+|MIR6516
loop_chr17-chr17-6804|resting_100m	Enhancer	Enhancer	21746	24143	chr17:40597113-40598585|-|AC004585.2	chr17:40597113-40598585|-|AC004585.2
loop_chr17-chr17-6809|resting_100m	Promoter	Promoter	0	1897	chr17:67717936-67744531|+|NOL11	chr17:67717936-67744531|+|NOL11
loop_chr17-chr17-6811|resting_100m	Enhancer	Enhancer	24709	16924	chr17:74417594-74417704|-|RNA5SP448	chr17:74417594-74417704|-|RNA5SP448
loop_chr17-chr17-6818|resting_100m	Enhancer	Enhancer	6456	8152	chr17:58335976-58336022|-|MIR4736	chr17:58345178-58353093|-|SUPT4H1
loop_chr17-chr17-6821|resting_100m	Enhancer	Enhancer	9619	7258	chr17:41688885-41692668|+|EIF1	chr17:41688885-41692668|+|EIF1
loop_chr17-chr17-6822|resting_100m	Enhancer	Enhancer	2525	2307	chr17:17303335-17347663|+|NT5M	chr17:17303335-17347663|+|NT5M
loop_chr17-chr17-6824|resting_100m	Enhancer	Enhancer	24154	35446	chr17:82829434-82840022|-|ZNF750	chr17:82918282-82918785|+|AC087222.1
loop_chr17-chr17-6826|resting_100m	Enhancer	Enhancer	41757	39903	chr17:78674048-78782297|-|CYTH1	chr17:78674048-78782297|-|CYTH1
loop_chr17-chr17-6827|resting_100m	Promoter	Promoter	1864	514	chr17:27456470-27626438|+|KSR1	chr17:27456470-27626438|+|KSR1
loop_chr17-chr17-6832|resting_100m	Enhancer	Enhancer	36772	33414	chr17:78674048-78782297|-|CYTH1	chr17:78674048-78782297|-|CYTH1
loop_chr17-chr17-6834|resting_100m	Enhancer	Enhancer	31611	34090	chr17:49708334-49720060|+|AC015795.1	chr17:49708334-49720060|+|AC015795.1
loop_chr17-chr17-6835|resting_100m	Promoter	Promoter	363	1902	chr17:41754604-41786711|-|JUP	chr17:41754604-41786711|-|JUP
loop_chr17-chr17-6836|resting_100m	Promoter	Promoter	141	1275	chr17:42270517-42272683|-|AC099811.1	chr17:42270517-42272683|-|AC099811.1
loop_chr17-chr17-6842|resting_100m	Enhancer	Enhancer	53588	55368	chr17:68267026-68291127|-|SLC16A6	chr17:68267026-68291127|-|SLC16A6
loop_chr17-chr17-6847|resting_100m	Enhancer	Promoter	2634	784	chr17:77373818-77377236|-|AC111182.1	chr17:77373818-77377236|-|AC111182.1
loop_chr17-chr17-6853|resting_100m	Enhancer	Enhancer	5945	8089	chr17:43360041-43361361|-|AC109326.1	chr17:43360041-43361361|-|AC109326.1
loop_chr17-chr17-6854|resting_100m	Enhancer	Enhancer	36247	39903	chr17:39057019-39113190|+|RDM1P5	chr17:39057019-39113190|+|RDM1P5
loop_chr17-chr17-6858|resting_100m	Enhancer	Promoter	6157	0	chr17:1779485-1829881|-|SMYD4	chr17:1829984-1899554|+|RPA1,chr17:1779485-1829881|-|SMYD4
loop_chr17-chr17-6859|resting_100m	Enhancer	Enhancer	22939	16340	chr17:67457023-67457290|-|RN7SL756P	chr17:67457023-67457290|-|RN7SL756P
loop_chr17-chr17-6873|resting_100m	Enhancer	Enhancer	31462	39620	chr17:49708334-49720060|+|AC015795.1	chr17:49710332-49788592|-|FAM117A
loop_chr17-chr17-6874|resting_100m	Enhancer	Enhancer	3519	2200	chr17:67471489-67471585|+|MIR548AA2	chr17:67471489-67471585|+|MIR548AA2
loop_chr17-chr17-6877|resting_100m	Enhancer	Enhancer	22562	19216	chr17:20290257-20290358|+|RNU6-1057P	chr17:20290257-20290358|+|RNU6-1057P
loop_chr17-chr17-6881|resting_100m	Enhancer	Enhancer	4755	3449	chr17:40553769-40565472|-|CCR7	chr17:40553769-40565472|-|CCR7
loop_chr17-chr17-6882|resting_100m	Enhancer	Enhancer	5489	4325	chr17:78674048-78782297|-|CYTH1	chr17:78674048-78782297|-|CYTH1
loop_chr17-chr17-6888|resting_100m	Enhancer	Enhancer	33324	30535	chr17:78674048-78782297|-|CYTH1	chr17:78674048-78782297|-|CYTH1
loop_chr17-chr17-6889|resting_100m	Promoter	Enhancer	0	2484	chr17:8140472-8156360|-|AC129492.1	chr17:8140472-8156360|-|AC129492.1
loop_chr17-chr17-6890|resting_100m	Enhancer	Promoter	2553	1334	chr17:48196680-48196786|-|RNU6-1152P	chr17:48196680-48196786|-|RNU6-1152P
loop_chr17-chr17-6891|resting_100m	Promoter	Enhancer	228	5014	chr17:29140483-29155489|+|AC024619.3	chr17:29140483-29155489|+|AC024619.3
loop_chr17-chr17-6894|resting_100m	Enhancer	Enhancer	7420	12011	chr17:68424451-68424548|-|MIR635	chr17:68424451-68424548|-|MIR635
loop_chr17-chr17-6895|resting_100m	Enhancer	Enhancer	27444	26153	chr17:49710332-49788592|-|FAM117A	chr17:49710332-49788592|-|FAM117A
loop_chr17-chr17-6898|resting_100m	Enhancer	Enhancer	17151	18399	chr17:18908279-18908865|+|AC090286.2	chr17:18908279-18908865|+|AC090286.2
loop_chr17-chr17-6899|resting_100m	Enhancer	Enhancer	9476	8358	chr17:65051909-65053308|+|AC037487.2	chr17:65051909-65053308|+|AC037487.2
loop_chr17-chr17-6900|resting_100m	Enhancer	Enhancer	73884	72440	chr17:51502488-51503233|-|RPL7P48	chr17:51502488-51503233|-|RPL7P48
loop_chr17-chr17-6903|resting_100m	Enhancer	Enhancer	21765	20467	chr17:2962248-2965895|-|AC015921.1	chr17:2962248-2965895|-|AC015921.1
loop_chr17-chr17-6914|resting_100m	Enhancer	Enhancer	8653	4388	chr17:14210488-14217922|+|AC005224.1	chr17:14210488-14217922|+|AC005224.1
loop_chr17-chr17-6916|resting_100m	Enhancer	Enhancer	8517	9666	chr17:50281577-50287855|-|TMEM92-AS1	chr17:50281577-50287855|-|TMEM92-AS1
loop_chr17-chr17-6917|resting_100m	Enhancer	Enhancer	15977	14834	chr17:40597113-40598585|-|AC004585.2	chr17:40597113-40598585|-|AC004585.2
loop_chr17-chr17-6921|resting_100m	Enhancer	Enhancer	35183	22950	chr17:67457023-67457290|-|RN7SL756P	chr17:67457023-67457290|-|RN7SL756P
loop_chr17-chr17-6925|resting_100m	Enhancer	Enhancer	9723	24620	chr17:77089417-77089497|+|MIR6516	chr17:77152561-77152674|-|RNU4-47P
loop_chr17-chr17-6935|resting_100m	Enhancer	Enhancer	19740	24015	chr17:35192520-35194523|-|SLC35G3	chr17:35192520-35194523|-|SLC35G3
loop_chr17-chr17-6938|resting_100m	Enhancer	Enhancer	6444	9262	chr17:39839369-39839524|-|AC090844.1	chr17:39839369-39839524|-|AC090844.1
loop_chr17-chr17-6944|resting_100m	Promoter	Promoter	1107	705	chr17:17178414-17178749|+|RN7SL775P	chr17:17181504-17183257|+|AC055811.4
loop_chr17-chr17-6947|resting_100m	Enhancer	Enhancer	26135	24422	chr17:49710332-49788592|-|FAM117A	chr17:49710332-49788592|-|FAM117A
loop_chr17-chr17-6948|resting_100m	Enhancer	Enhancer	46404	48696	chr17:64002594-64020634|-|ICAM2	chr17:64039142-64130819|-|ERN1
loop_chr17-chr17-6950|resting_100m	Promoter	Promoter	1961	0	chr17:76038775-76072517|-|SRP68	chr17:76038775-76072517|-|SRP68
loop_chr17-chr17-6951|resting_100m	Enhancer	Enhancer	8126	9333	chr17:28802444-28802822|+|RPL31P58	chr17:28802444-28802822|+|RPL31P58
loop_chr17-chr17-6955|resting_100m	Promoter	Promoter	0	298	chr17:38851524-38851659|-|SNORA21B	chr17:38852863-38852994|-|SNORA21
loop_chr17-chr17-6957|resting_100m	Enhancer	Enhancer	6634	3762	chr17:77469068-77471045|+|AC111170.2	chr17:77469068-77471045|+|AC111170.2
loop_chr17-chr17-6959|resting_100m	Enhancer	Enhancer	5145	2096	chr17:8140472-8156360|-|AC129492.1	chr17:8140472-8156360|-|AC129492.1
loop_chr17-chr17-6965|resting_100m	Promoter	Promoter	612	1728	chr17:35243071-35273655|+|SLFN5	chr17:35243071-35273655|+|SLFN5
loop_chr17-chr17-6968|resting_100m	Enhancer	Enhancer	16711	17941	chr17:39737938-39747291|+|GRB7	chr17:39737938-39747291|+|GRB7
loop_chr17-chr17-6969|resting_100m	Promoter	Enhancer	333	2347	chr17:65635537-66192133|-|CEP112	chr17:65635537-66192133|-|CEP112
loop_chr17-chr17-6970|resting_100m	Promoter	Promoter	193	1404	chr17:42270517-42272683|-|AC099811.1	chr17:42270517-42272683|-|AC099811.1
loop_chr17-chr17-6976|resting_100m	Enhancer	Enhancer	34160	38520	chr17:49708334-49720060|+|AC015795.1	chr17:49708334-49720060|+|AC015795.1
loop_chr17-chr17-6983|resting_100m	Promoter	Promoter	0	215	chr17:49708334-49720060|+|AC015795.1	chr17:49710332-49788592|-|FAM117A
loop_chr17-chr17-6987|resting_100m	Enhancer	Enhancer	21643	23157	chr17:67377281-67697261|+|PITPNC1	chr17:67377281-67697261|+|PITPNC1
loop_chr17-chr17-6988|resting_100m	Promoter	Promoter	1242	0	chr17:2384073-2401104|-|MNT	chr17:2384073-2401104|-|MNT
loop_chr17-chr17-6989|resting_100m	Enhancer	Enhancer	30564	54232	chr17:14374139-14421026|+|AC022816.1	chr17:14374139-14421026|+|AC022816.1
loop_chr17-chr17-6996|resting_100m	Promoter	Enhancer	857	4322	chr17:79991944-79992841|-|AC116025.2	chr17:79991944-79992841|-|AC116025.2
loop_chr17-chr17-6998|resting_100m	Promoter	Promoter	260	795	chr17:45051610-45109016|+|NMT1	chr17:45051610-45109016|+|NMT1
loop_chr17-chr17-6999|resting_100m	Promoter	Promoter	0	0	chr17:59151136-59151221|-|MIR301A	chr17:59109857-59155248|-|SKA2,chr17:59155499-59203834|+|PRR11
loop_chr17-chr17-7001|resting_100m	Enhancer	Enhancer	28750	29958	chr17:66302613-66810743|+|PRKCA	chr17:66302613-66810743|+|PRKCA
