Promoter	PromoterTarget	directEnhancer	indirectEnhancer	directPromoter	indirectPromoter	directEnhancerHub	indirectEnhancerHub
chr10:14384451-14384771|Promoter	chr10:14383200-14383277|-|MIR4293	chr10:14385912-14386817|Enhancer	chr10:14396413-14397387|Enhancer,chr10:14390227-14390361|Enhancer,chr10:14409202-14409577|Enhancer	chr10:14382157-14382475|Promoter			chr10:14409202-14409577|Enhancer
chr10:14661766-14661979|Promoter	chr10:14663395-14663494|-|RNA5SP302	chr10:14659342-14660504|Enhancer	chr10:14665224-14665790|Enhancer,chr10:14572350-14572652|Enhancer,chr10:14560065-14562399|Enhancer,chr10:14605260-14605846|Enhancer,chr10:14645163-14645602|Enhancer,chr10:14607762-14607951|Enhancer,chr10:14582797-14585135|Enhancer		chr10:14664321-14664726|Promoter		chr10:14605260-14605846|Enhancer
chr10:14664321-14664726|Promoter	chr10:14663395-14663494|-|RNA5SP302	chr10:14659342-14660504|Enhancer	chr10:14665224-14665790|Enhancer,chr10:14572350-14572652|Enhancer,chr10:14560065-14562399|Enhancer,chr10:14605260-14605846|Enhancer,chr10:14645163-14645602|Enhancer,chr10:14607762-14607951|Enhancer,chr10:14582797-14585135|Enhancer		chr10:14661766-14661979|Promoter		chr10:14605260-14605846|Enhancer
chr10:15167102-15167521|Promoter	chr10:15105770-15168693|-|NMT2	chr10:15164063-15164819|Enhancer					
chr10:1738328-1739219|Promoter	chr10:1177313-1737525|-|ADARB2	chr10:1740857-1741342|Enhancer	chr10:1742272-1742387|Enhancer				
chr10:22227482-22227644|Promoter	chr10:22225698-22226024|+|PSME2P6	chr10:22228998-22229274|Enhancer	chr10:22222412-22223022|Enhancer				
chr10:22259495-22260004|Promoter	chr10:22257786-22258548|+|AL158211.1	chr10:22263798-22264536|Enhancer					
chr10:22693475-22693929|Promoter	chr10:22693953-22694639|-|AL390318.1	chr10:22682718-22683664|Enhancer	chr10:22629900-22631063|Enhancer,chr10:22646308-22646525|Enhancer,chr10:22687928-22688491|Enhancer,chr10:22648582-22649393|Enhancer				chr10:22629900-22631063|Enhancer
chr10:23692582-23693541|Promoter	chr10:23694746-24547848|+|KIAA1217			chr10:23696265-23697005|Promoter			
chr10:23696265-23697005|Promoter	chr10:23694746-24547848|+|KIAA1217			chr10:23692582-23693541|Promoter			
chr10:27099553-27099620|Promoter	chr10:27004116-27100498|-|ANKRD26			chr10:27101506-27101634|Promoter			
chr10:27101506-27101634|Promoter	chr10:27004116-27100498|-|ANKRD26			chr10:27099553-27099620|Promoter			
chr10:27503998-27504105|Promoter	chr10:27504174-27542237|+|RAB18	chr10:27500152-27500369|Enhancer					
chr10:28668811-28669009|Promoter	chr10:28667919-28668025|+|RNU6-1067P	chr10:28672522-28673727|Enhancer					
chr10:31601251-31601554|Promoter	chr10:31602862-31606214|+|AL161935.1	chr10:31600220-31600419|Enhancer					
chr10:33115656-33115824|Promoter	chr10:33096257-33116672|-|IATPR	chr10:33120520-33121228|Enhancer	chr10:33125598-33126846|Enhancer,chr10:33142647-33143651|Enhancer,chr10:33136557-33137424|Enhancer,chr10:33134179-33134517|Enhancer,chr10:33153389-33154023|Enhancer				chr10:33136557-33137424|Enhancer
chr10:33685372-33685374|Promoter	chr10:33684755-33687064|+|AL450313.1	chr10:34612126-34612128|Enhancer					
chr10:35135561-35135653|Promoter	chr10:35135443-35135502|+|RNU7-77P			chr10:35136684-35137060|Promoter			
chr10:35136684-35137060|Promoter	chr10:35135443-35135502|+|RNU7-77P			chr10:35135561-35135653|Promoter			
chr10:35337817-35338011|Promoter	chr10:35314552-35336401|-|AL117336.2	chr10:35340001-35340143|Enhancer					
chr10:3782911-3784081|Promoter	chr10:3775996-3785281|-|KLF6	chr10:3852237-3852792|Enhancer	chr10:3867224-3868232|Enhancer,chr10:3846916-3848316|Enhancer				chr10:3846916-3848316|Enhancer
chr10:4243831-4243938|Promoter	chr10:4201141-4243912|-|LINC00702	chr10:4246957-4247231|Enhancer					
chr10:42639725-42639728|Promoter	chr10:42589107-42638570|-|ZNF33B	chr10:43079235-43079239|Enhancer					
chr10:42872254-42872261|Promoter	chr10:42871521-42874060|+|LINC02623	chr10:43556509-43556511|Enhancer					
chr10:43415533-43415659|Promoter	chr10:43417249-43417438|-|SNORD3J	chr10:43414400-43414423|Enhancer					
chr10:43740944-43741262|Promoter	chr10:43741437-43742350|-|ELOCP30	chr10:43737800-43740125|Enhancer					
chr10:50628904-50630079|Promoter	chr10:50629532-50631075|-|SHQ1P1	chr10:50637200-50637460|Enhancer					
chr10:55745621-55745971|Promoter	chr10:55746551-55746908|+|AC069545.1	chr10:55742049-55742739|Enhancer					
chr10:5664865-5665978|Promoter	chr10:5638867-5666595|-|ASB13	chr10:5657499-5659405|Enhancer					
chr10:5813716-5814446|Promoter	chr10:5813985-5814441|+|AL596094.1	chr10:5819378-5820342|Enhancer					
chr10:58266107-58267504|Promoter	chr10:58191517-58267894|-|IPMK	chr10:58279036-58281327|Enhancer,chr10:58254623-58255147|Enhancer				chr10:58254623-58255147|Enhancer	
chr10:59907776-59908156|Promoter	chr10:59788747-59906556|-|CCDC6	chr10:59903370-59905431|Enhancer	chr10:59879856-59880131|Enhancer,chr10:59864589-59865322|Enhancer,chr10:59876885-59877934|Enhancer,chr10:59880988-59881745|Enhancer				chr10:59880988-59881745|Enhancer
chr10:6016808-6017124|Promoter	chr10:6017054-6017194|-|RF00397			chr10:6018181-6018714|Promoter			
chr10:6018181-6018714|Promoter	chr10:6017054-6017194|-|RF00397			chr10:6016808-6017124|Promoter			
chr10:6062167-6062867|Promoter	chr10:6010689-6062325|-|IL2RA	chr10:6058181-6059590|Enhancer	chr10:6050890-6051376|Enhancer,chr10:6054902-6055164|Enhancer,chr10:6044348-6045285|Enhancer,chr10:6054451-6054716|Enhancer,chr10:6082925-6084436|Enhancer,chr10:6056029-6057794|Enhancer,chr10:6014750-6014754|Enhancer,chr10:6086498-6086777|Enhancer	chr10:6072692-6073521|Promoter,chr10:6069515-6071260|Promoter			chr10:6056029-6057794|Enhancer
chr10:6069515-6071260|Promoter	chr10:6071514-6071918|-|RPL32P23	chr10:6056029-6057794|Enhancer	chr10:6054902-6055164|Enhancer,chr10:6050890-6051376|Enhancer,chr10:6044348-6045285|Enhancer,chr10:6054451-6054716|Enhancer,chr10:6082925-6084436|Enhancer,chr10:6014750-6014754|Enhancer,chr10:6086498-6086777|Enhancer,chr10:6058181-6059590|Enhancer	chr10:6062167-6062867|Promoter	chr10:6072692-6073521|Promoter		chr10:6058181-6059590|Enhancer
chr10:6072692-6073521|Promoter	chr10:6071514-6071918|-|RPL32P23	chr10:6082925-6084436|Enhancer	chr10:6050890-6051376|Enhancer,chr10:6054902-6055164|Enhancer,chr10:6044348-6045285|Enhancer,chr10:6054451-6054716|Enhancer,chr10:6056029-6057794|Enhancer,chr10:6014750-6014754|Enhancer,chr10:6086498-6086777|Enhancer,chr10:6058181-6059590|Enhancer	chr10:6062167-6062867|Promoter	chr10:6069515-6071260|Promoter		chr10:6058181-6059590|Enhancer
chr10:61014597-61014617|Promoter	chr10:61016275-61026420|+|LINC00845	chr10:61012887-61012961|Enhancer					
chr10:6580919-6582441|Promoter	chr10:6580419-6616397|+|PRKCQ-AS1	chr10:6643865-6644760|Enhancer					
chr10:6617373-6618293|Promoter	chr10:6618716-6625346|+|LINC02648	chr10:6613540-6616224|Enhancer,chr10:6612301-6612917|Enhancer	chr10:6607317-6607651|Enhancer			chr10:6612301-6612917|Enhancer	
chr10:69087938-69088063|Promoter	chr10:69088103-69104805|+|SRGN	chr10:68997476-68998146|Enhancer	chr10:69000326-69000788|Enhancer,chr10:69093023-69093569|Enhancer				chr10:69093023-69093569|Enhancer
chr10:70477278-70477283|Promoter	chr10:70478767-70568450|+|PALD1	chr10:72310814-72310816|Enhancer					
chr10:71736758-71737653|Promoter	chr10:71711701-71737824|-|C10orf105	chr10:71731619-71732078|Enhancer,chr10:71768800-71769080|Enhancer	chr10:71761223-71761352|Enhancer			chr10:71768800-71769080|Enhancer	
chr10:72218383-72218448|Promoter	chr10:72096032-72217134|-|ASCC1	chr10:72162993-72163425|Enhancer	chr10:72163681-72163720|Enhancer,chr10:72164484-72164873|Enhancer				chr10:72164484-72164873|Enhancer
chr10:73772313-73772315|Promoter	chr10:73772276-73776219|+|FUT11	chr10:73769986-73769989|Enhancer					
chr10:73781880-73782047|Promoter	chr10:73782047-73783652|+|CHCHD1	chr10:73779814-73779961|Enhancer					
chr10:73875392-73875884|Promoter	chr10:73812501-73874591|-|CAMK2G	chr10:73857388-73857797|Enhancer	chr10:73861719-73862275|Enhancer				
chr10:75210018-75210020|Promoter	chr10:75210154-75231448|+|VDAC2	chr10:75203149-75203151|Enhancer					
chr10:75641082-75641328|Promoter	chr10:75642476-75643106|+|AL589863.1			chr10:75642175-75642693|Promoter			
chr10:75642175-75642693|Promoter	chr10:75642476-75643106|+|AL589863.1			chr10:75641082-75641328|Promoter			
chr10:79948107-79948111|Promoter	chr10:79937740-79949105|-|SFTPD	chr10:79945942-79945943|Enhancer					
chr10:80204109-80204899|Promoter	chr10:80150889-80205572|-|ANXA11			chr10:80205934-80206037|Promoter			
chr10:80205934-80206037|Promoter	chr10:80150889-80205572|-|ANXA11			chr10:80204109-80204899|Promoter			
chr10:87504500-87504503|Promoter	chr10:87504875-87553461|+|MINPP1	chr10:87386169-87386171|Enhancer					
chr10:89392085-89392135|Promoter	chr10:89392546-89406487|+|IFIT1			chr10:89394139-89394179|Promoter			
chr10:89394139-89394179|Promoter	chr10:89392546-89406487|+|IFIT1			chr10:89392085-89392135|Promoter			
chr10:91908848-91909287|Promoter	chr10:91906589-91909483|-|FGFBP3			chr10:91922389-91923752|Promoter			
chr10:91922389-91923752|Promoter	chr10:91923770-92030325|+|BTAF1			chr10:91908848-91909287|Promoter			
chr10:93481990-93482722|Promoter	chr10:93306429-93482334|-|MYOF	chr10:93462031-93464372|Enhancer					
chr10:96063373-96063939|Promoter	chr10:96064315-96064399|-|MIR3157	chr10:96073709-96075531|Enhancer	chr10:96071623-96072012|Enhancer				
chr10:96514350-96514621|Promoter	chr10:96364608-96513926|-|TLL2	chr10:96518735-96519236|Enhancer					
chr10:96748148-96748555|Promoter	chr10:96750288-96750899|+|RPL13AP5			chr10:96749313-96749677|Promoter			
chr10:96749313-96749677|Promoter	chr10:96750288-96750899|+|RPL13AP5			chr10:96748148-96748555|Promoter			
chr10:97401327-97401497|Promoter	chr10:97401115-97419524|+|AL355490.2	chr10:97433834-97435052|Enhancer	chr10:97414784-97415180|Enhancer,chr10:97411508-97411747|Enhancer,chr10:97418520-97418754|Enhancer,chr10:97406938-97407728|Enhancer,chr10:97435899-97436100|Enhancer,chr10:97412683-97413758|Enhancer,chr10:97428011-97428863|Enhancer,chr10:97422711-97423244|Enhancer	chr10:97426025-97426257|Promoter	chr10:97444139-97445061|Promoter,chr10:97445371-97446183|Promoter		chr10:97422711-97423244|Enhancer
chr10:97426025-97426257|Promoter	chr10:97426191-97433444|+|PGAM1,chr10:97356701-97426074|-|RRP12	chr10:97422711-97423244|Enhancer	chr10:97414784-97415180|Enhancer,chr10:97411508-97411747|Enhancer,chr10:97418520-97418754|Enhancer,chr10:97406938-97407728|Enhancer,chr10:97435899-97436100|Enhancer,chr10:97412683-97413758|Enhancer,chr10:97433834-97435052|Enhancer,chr10:97428011-97428863|Enhancer	chr10:97401327-97401497|Promoter	chr10:97444139-97445061|Promoter,chr10:97445371-97446183|Promoter		chr10:97414784-97415180|Enhancer
chr10:97444139-97445061|Promoter	chr10:97436142-97446017|-|EXOSC1	chr10:97422711-97423244|Enhancer	chr10:97414784-97415180|Enhancer,chr10:97411508-97411747|Enhancer,chr10:97418520-97418754|Enhancer,chr10:97406938-97407728|Enhancer,chr10:97435899-97436100|Enhancer,chr10:97412683-97413758|Enhancer,chr10:97433834-97435052|Enhancer,chr10:97428011-97428863|Enhancer	chr10:97445371-97446183|Promoter	chr10:97401327-97401497|Promoter,chr10:97426025-97426257|Promoter		chr10:97414784-97415180|Enhancer
chr10:97445371-97446183|Promoter	chr10:97446170-97457370|+|ZDHHC16,chr10:97436142-97446017|-|EXOSC1		chr10:97414784-97415180|Enhancer,chr10:97411508-97411747|Enhancer,chr10:97418520-97418754|Enhancer,chr10:97406938-97407728|Enhancer,chr10:97435899-97436100|Enhancer,chr10:97412683-97413758|Enhancer,chr10:97433834-97435052|Enhancer,chr10:97428011-97428863|Enhancer,chr10:97422711-97423244|Enhancer	chr10:97444139-97445061|Promoter	chr10:97401327-97401497|Promoter,chr10:97426025-97426257|Promoter		chr10:97422711-97423244|Enhancer
chr10:97497743-97497876|Promoter	chr10:97458324-97498758|-|MMS19	chr10:97492812-97493527|Enhancer					
chr10:99531829-99532282|Promoter	chr10:99526350-99531177|-|LINC01475			chr10:99532895-99533727|Promoter			
chr10:99532895-99533727|Promoter	chr10:99532942-99536524|+|NKX2-3			chr10:99531829-99532282|Promoter			
chr11:102318381-102318743|Promoter	chr11:102317450-102339403|+|BIRC3	chr11:102320750-102320905|Enhancer					
chr11:10294206-10294472|Promoter	chr11:9778667-10294207|-|SBF2			chr11:10295999-10296395|Promoter			
chr11:10295999-10296395|Promoter	chr11:9778667-10294207|-|SBF2			chr11:10294206-10294472|Promoter			
chr11:103403419-103404209|Promoter	chr11:103402588-103403422|-|MTATP6P15,chr11:103403512-103404167|-|MTCO2P15	chr11:103400009-103400480|Enhancer					
chr11:104608615-104610362|Promoter	chr11:104445868-104609302|-|LINC02552	chr11:104623693-104624910|Enhancer					
chr11:104967500-104967918|Promoter	chr11:104942866-104968574|-|CASP4	chr11:104946745-104947115|Enhancer					
chr11:105517785-105518056|Promoter	chr11:105137721-105516002|-|CARD18	chr11:105518933-105519326|Enhancer	chr11:105520530-105520534|Enhancer				
chr11:10750952-10750954|Promoter	chr11:10751246-10779746|+|CTR9	chr11:10745484-10745488|Enhancer					
chr11:108010820-108010822|Promoter	chr11:108008898-108107761|+|CUL5	chr11:86534404-86534406|Enhancer					
chr11:108222236-108225081|Promoter	chr11:108222832-108369102|+|ATM,chr11:108157215-108222638|-|NPAT	chr11:108196950-108197848|Enhancer	chr11:108218073-108221551|Enhancer,chr11:108199754-108200546|Enhancer,chr11:108204995-108205319|Enhancer				chr11:108199754-108200546|Enhancer
chr11:111417021-111417457|Promoter	chr11:111414242-111418186|-|AP002008.3	chr11:111413793-111414206|Enhancer	chr11:111412210-111412921|Enhancer				
chr11:111446487-111446494|Promoter	chr11:111448450-111475397|+|AP002008.2	chr11:111454033-111454038|Enhancer					
chr11:111513035-111514410|Promoter	chr11:111513439-111513515|+|MIR34C	chr11:111520165-111521593|Enhancer	chr11:111529090-111529356|Enhancer,chr11:111531462-111532459|Enhancer				chr11:111531462-111532459|Enhancer
chr11:112074716-112076094|Promoter	chr11:112064010-112074274|-|PIH1D2			chr11:112085346-112086803|Promoter			
chr11:112085346-112086803|Promoter	chr11:112084800-112086798|-|TIMM8B			chr11:112074716-112076094|Promoter			
chr11:112975247-112976969|Promoter	chr11:112977353-112977420|+|RNU7-187P			chr11:112977818-112978387|Promoter			
chr11:112977818-112978387|Promoter	chr11:112977353-112977420|+|RNU7-187P			chr11:112975247-112976969|Promoter			
chr11:113857265-113857665|Promoter	chr11:113859346-113859449|+|RNU6-1107P			chr11:113858883-113860116|Promoter			
chr11:113858883-113860116|Promoter	chr11:113859346-113859449|+|RNU6-1107P			chr11:113857265-113857665|Promoter			
chr11:116786400-116786909|Promoter	chr11:116773799-116788023|-|ZPR1	chr11:116782857-116783163|Enhancer					
chr11:117016474-117017472|Promoter	chr11:117015897-117015992|+|RNY4P6	chr11:117011076-117011863|Enhancer			chr11:117037360-117037905|Promoter		
chr11:117037360-117037905|Promoter	chr11:117035797-117036051|-|AP000936.3	chr11:117011076-117011863|Enhancer			chr11:117016474-117017472|Promoter		
chr11:117986352-117989226|Promoter	chr11:117986348-118001479|+|IL10RA	chr11:117997463-117998630|Enhancer	chr11:118046094-118048856|Enhancer,chr11:118001308-118002410|Enhancer				chr11:118001308-118002410|Enhancer
chr11:118225011-118225275|Promoter	chr11:118193740-118225094|-|JAML	chr11:118240143-118240852|Enhancer					
chr11:118304348-118304459|Promoter	chr11:118304545-118316175|+|CD3E	chr11:118308751-118309346|Enhancer	chr11:118309847-118309936|Enhancer,chr11:118311599-118311780|Enhancer,chr11:118295844-118296113|Enhancer		chr11:118343328-118343529|Promoter		chr11:118311599-118311780|Enhancer
chr11:118343328-118343529|Promoter	chr11:118338954-118342744|-|CD3D	chr11:118308751-118309346|Enhancer	chr11:118309847-118309936|Enhancer,chr11:118311599-118311780|Enhancer,chr11:118295844-118296113|Enhancer		chr11:118304348-118304459|Promoter		chr11:118311599-118311780|Enhancer
chr11:11842837-11842842|Promoter	chr11:11841423-11959323|+|USP47	chr11:35271237-35271239|Enhancer					
chr11:118883451-118883922|Promoter	chr11:118883766-118897799|+|CXCR5	chr11:118870855-118871315|Enhancer					
chr11:119196803-119197498|Promoter	chr11:119189638-119196769|-|CCDC153	chr11:119202382-119205050|Enhancer					
chr11:119205807-119207770|Promoter	chr11:119206276-119308149|+|CBL	chr11:119217848-119219153|Enhancer	chr11:119220479-119220785|Enhancer,chr11:119217108-119217311|Enhancer				chr11:119217108-119217311|Enhancer
chr11:121046287-121046370|Promoter	chr11:121045739-121113108|+|AP000646.1			chr11:121047525-121047537|Promoter			
chr11:121047525-121047537|Promoter	chr11:121045739-121113108|+|AP000646.1			chr11:121046287-121046370|Promoter			
chr11:121427280-121428130|Promoter	chr11:121426645-121427416|-|AP002365.1	chr11:121431947-121432275|Enhancer					
chr11:122619894-122620962|Promoter	chr11:122618851-122619274|+|AP002469.1	chr11:122621343-122622181|Enhancer					
chr11:122850323-122850890|Promoter	chr11:122751147-122851617|-|AP002762.1			chr11:122852614-122852723|Promoter			
chr11:122852614-122852723|Promoter	chr11:122751147-122851617|-|AP002762.1			chr11:122850323-122850890|Promoter			
chr11:123063487-123063721|Promoter	chr11:123057489-123062335|-|HSPA8	chr11:123080150-123080241|Enhancer					
chr11:123064115-123064228|Promoter	chr11:123057489-123062335|-|HSPA8	chr11:123066248-123066376|Enhancer					
chr11:128522715-128524367|Promoter	chr11:128522390-128522449|+|MIR6090	chr11:128542124-128542798|Enhancer,chr11:128550844-128552165|Enhancer	chr11:128473347-128473975|Enhancer,chr11:128472019-128472765|Enhancer,chr11:128341352-128341521|Enhancer,chr11:128467607-128470955|Enhancer,chr11:128579739-128580734|Enhancer,chr11:128506568-128507603|Enhancer,chr11:128627537-128630575|Enhancer,chr11:128346710-128347182|Enhancer,chr11:128226106-128226504|Enhancer,chr11:128479161-128480143|Enhancer,chr11:128232765-128232911|Enhancer,chr11:128288685-128289751|Enhancer,chr11:128498513-128499651|Enhancer,chr11:128343604-128344718|Enhancer,chr11:128227497-128227793|Enhancer,chr11:128509992-128510175|Enhancer		chr11:128525259-128527458|Promoter	chr11:128550844-128552165|Enhancer	chr11:128288685-128289751|Enhancer
chr11:128525259-128527458|Promoter	chr11:128526142-128530389|+|ETS1-AS1	chr11:128550844-128552165|Enhancer,chr11:128627537-128630575|Enhancer	chr11:128473347-128473975|Enhancer,chr11:128542124-128542798|Enhancer,chr11:128472019-128472765|Enhancer,chr11:128467607-128470955|Enhancer,chr11:128579739-128580734|Enhancer,chr11:128341352-128341521|Enhancer,chr11:128506568-128507603|Enhancer,chr11:128346710-128347182|Enhancer,chr11:128226106-128226504|Enhancer,chr11:128479161-128480143|Enhancer,chr11:128232765-128232911|Enhancer,chr11:128288685-128289751|Enhancer,chr11:128498513-128499651|Enhancer,chr11:128343604-128344718|Enhancer,chr11:128227497-128227793|Enhancer,chr11:128509992-128510175|Enhancer		chr11:128522715-128524367|Promoter	chr11:128627537-128630575|Enhancer	chr11:128288685-128289751|Enhancer
chr11:128686850-128686851|Promoter	chr11:128681240-128686922|-|AP001122.1	chr11:128714204-128714210|Enhancer					
chr11:128696479-128697878|Promoter	chr11:128691672-128696023|-|SENCR	chr11:128754077-128754304|Enhancer					
chr11:134068440-134069111|Promoter	chr11:134068925-134152001|+|JAM3	chr11:134074062-134074760|Enhancer					
chr11:134316790-134316801|Promoter	chr11:134316782-134317088|-|AP000859.1	chr11:78391107-78392326|Enhancer	chr11:78396959-78397800|Enhancer				
chr11:17351962-17353126|Promoter	chr11:17351726-17377341|+|NCR3LG1	chr11:17343564-17344597|Enhancer					
chr11:19198268-19198707|Promoter	chr11:19196775-19281426|+|AC009652.2	chr11:19200857-19201015|Enhancer					
chr11:20364139-20366857|Promoter	chr11:20363685-20383783|+|HTATIP2	chr11:20367375-20367912|Enhancer					
chr11:2140880-2141674|Promoter	chr11:2140517-2148666|+|IGF2-AS	chr11:2142461-2143483|Enhancer	chr11:2143845-2145439|Enhancer,chr11:2077195-2077539|Enhancer				chr11:2077195-2077539|Enhancer
chr11:2149914-2150920|Promoter	chr11:2129112-2149603|-|IGF2	chr11:2151191-2152274|Enhancer					
chr11:236543-238624|Promoter	chr11:215030-236834|-|SIRT3,chr11:236976-252984|+|PSMD13	chr11:266365-267193|Enhancer	chr11:269183-269710|Enhancer				
chr11:28260608-28260882|Promoter	chr11:28261194-28261519|-|RN7SKP158			chr11:28261854-28262409|Promoter			
chr11:28261854-28262409|Promoter	chr11:28261194-28261519|-|RN7SKP158			chr11:28260608-28260882|Promoter			
chr11:33039180-33039513|Promoter	chr11:33039572-33073563|+|TCP11L1	chr11:33043413-33043664|Enhancer					
chr11:33160965-33161537|Promoter	chr11:33084584-33161531|-|CSTF3	chr11:33163751-33163828|Enhancer					
chr11:33722669-33722861|Promoter	chr11:33698261-33722456|-|AL049629.2	chr11:33731990-33732251|Enhancer					
chr11:33878850-33880805|Promoter	chr11:33880643-33881800|+|AC132216.1			chr11:33893734-33894118|Promoter			
chr11:33893734-33894118|Promoter	chr11:33858576-33892076|-|LMO2			chr11:33878850-33880805|Promoter			
chr11:35140144-35140400|Promoter	chr11:35138870-35232402|+|CD44	chr11:35133591-35133959|Enhancer					
chr11:35214782-35215334|Promoter	chr11:35210343-35214985|-|CD44-AS1	chr11:35177642-35179236|Enhancer					
chr11:36289354-36289864|Promoter	chr11:36272292-36289449|-|COMMD9	chr11:36291783-36292600|Enhancer					
chr11:43920811-43920928|Promoter	chr11:43909292-43920926|-|ALKBH3-AS1	chr11:43916844-43917041|Enhancer					
chr11:45771137-45773086|Promoter	chr11:45771432-45772358|+|AC044839.1	chr11:45339762-45340342|Enhancer					
chr11:46119290-46119428|Promoter	chr11:45932566-46121178|-|PHF21A			chr11:46123175-46123447|Promoter			
chr11:46123175-46123447|Promoter	chr11:46123573-46177106|+|AC024475.4			chr11:46119290-46119428|Promoter			
chr11:46331576-46331685|Promoter	chr11:46332905-46380554|+|DGKZ	chr11:46329722-46330051|Enhancer					
chr11:47222428-47222640|Promoter	chr11:47220218-47221751|-|AC018410.2	chr11:47225653-47225803|Enhancer					
chr11:47268904-47269193|Promoter	chr11:47269376-47330031|+|MADD	chr11:47265391-47265585|Enhancer					
chr11:47513535-47513604|Promoter	chr11:47513605-47514889|-|AC090559.2		chr11:47539834-47540584|Enhancer,chr11:47509202-47509548|Enhancer	chr11:47515028-47515787|Promoter			chr11:47509202-47509548|Enhancer
