loopId	typeAnchorA	typeAnchorB	nearestDistanceToGeneAnchorA	nearestDistanceToGeneAnchorB	nearestTargetGeneAnchorA	nearestTargetGeneAnchorB
loop_chr19-chr19-20779|K562_RAD21_17m	Enhancer	Enhancer	31699	32004	chr19:27638483-27640638|-|ERVK-28	chr19:27638483-27640638|-|ERVK-28
loop_chr19-chr19-20780|K562_RAD21_17m	Promoter	Promoter	1020	228	chr19:11377207-11384314|-|EPOR	chr19:11435288-11450968|+|PRKCSH
loop_chr19-chr19-20781|K562_RAD21_17m	Enhancer	Enhancer	10139	7177	chr19:48513207-48513660|-|AC008403.4	chr19:48513207-48513660|-|AC008403.4
loop_chr19-chr19-20787|K562_RAD21_17m	Enhancer	Enhancer	27384	27157	chr19:29448038-29448380|+|AC011474.3	chr19:29448038-29448380|+|AC011474.3
loop_chr19-chr19-20788|K562_RAD21_17m	Enhancer	Enhancer	2160	2485	chr19:48029953-48044053|-|CABP5	chr19:48029953-48044053|-|CABP5
loop_chr19-chr19-20789|K562_RAD21_17m	Enhancer	Enhancer	32312	4547	chr19:38108500-38109533|-|AC011465.1	chr19:38211006-38229714|-|DPF1
loop_chr19-chr19-20791|K562_RAD21_17m	Enhancer	Enhancer	31746	31876	chr19:6772708-6857366|+|VAV1	chr19:6772708-6857366|+|VAV1
loop_chr19-chr19-20793|K562_RAD21_17m	Promoter	Promoter	179	394	chr19:7763149-7769605|+|CLEC4M	chr19:7763149-7769605|+|CLEC4M
loop_chr19-chr19-20795|K562_RAD21_17m	Enhancer	Enhancer	5386	8799	chr19:15145215-15145318|+|RNU6-782P	chr19:15145215-15145318|+|RNU6-782P
loop_chr19-chr19-20796|K562_RAD21_17m	Enhancer	Enhancer	71987	71831	chr19:33796862-33815763|+|KCTD15	chr19:33796862-33815763|+|KCTD15
loop_chr19-chr19-20798|K562_RAD21_17m	Enhancer	Enhancer	6629	6339	chr19:7665717-7666476|+|RPS27AP19	chr19:7665717-7666476|+|RPS27AP19
loop_chr19-chr19-20799|K562_RAD21_17m	Enhancer	Enhancer	6083	6161	chr19:33080880-33130542|+|GPATCH1	chr19:33080880-33130542|+|GPATCH1
loop_chr19-chr19-20800|K562_RAD21_17m	Enhancer	Enhancer	25343	25142	chr19:5782960-5784746|-|PRR22	chr19:5782960-5784746|-|PRR22
loop_chr19-chr19-20801|K562_RAD21_17m	Enhancer	Promoter	2378	0	chr19:45795713-45815308|-|RSPH6A	chr19:45864326-45873797|+|FOXA3
loop_chr19-chr19-20802|K562_RAD21_17m	Promoter	Enhancer	1912	2229	chr19:14566078-14572066|-|NDUFB7	chr19:14886839-14887115|-|OR7A18P
loop_chr19-chr19-20806|K562_RAD21_17m	Promoter	Enhancer	823	7235	chr19:11495544-11495622|-|MIR7974	chr19:11551147-11559236|-|ELOF1
loop_chr19-chr19-20810|K562_RAD21_17m	Promoter	Enhancer	193	3992	chr19:39314651-39320858|-|AC011445.1	chr19:39314651-39320858|-|AC011445.1
loop_chr19-chr19-20812|K562_RAD21_17m	Enhancer	Enhancer	2384	9457	chr19:17207138-17208010|-|AC020913.2	chr19:17226225-17229219|+|OCEL1
loop_chr19-chr19-20813|K562_RAD21_17m	Enhancer	Enhancer	16779	17002	chr19:2717769-2740048|-|AC006538.2	chr19:2717769-2740048|-|AC006538.2
loop_chr19-chr19-20814|K562_RAD21_17m	Enhancer	Enhancer	10190	9885	chr19:52838010-52890375|-|ZNF468	chr19:52838010-52890375|-|ZNF468
loop_chr19-chr19-20815|K562_RAD21_17m	Enhancer	Enhancer	29212	31427	chr19:2360238-2426239|+|TMPRSS9	chr19:2360238-2426239|+|TMPRSS9
loop_chr19-chr19-20816|K562_RAD21_17m	Promoter	Enhancer	897	2496	chr19:1285873-1301431|+|EFNA2	chr19:1285873-1301431|+|EFNA2
loop_chr19-chr19-20817|K562_RAD21_17m	Promoter	Enhancer	555	3239	chr19:50486810-50487638|-|AC020909.2	chr19:50486810-50487638|-|AC020909.2
loop_chr19-chr19-20819|K562_RAD21_17m	Enhancer	Enhancer	3885	2434	chr19:3539154-3544030|+|C19orf71	chr19:3708384-3750813|+|TJP3
loop_chr19-chr19-20820|K562_RAD21_17m	Enhancer	Enhancer	4046	3851	chr19:43553445-43555494|+|L34079.2	chr19:43553445-43555494|+|L34079.2
loop_chr19-chr19-20821|K562_RAD21_17m	Enhancer	Enhancer	27449	5541	chr19:40665905-40690651|-|NUMBL	chr19:40708055-40708163|-|RNU6-195P
loop_chr19-chr19-20822|K562_RAD21_17m	Enhancer	Enhancer	4610	4266	chr19:16324817-16327874|+|KLF2	chr19:16324817-16327874|+|KLF2
loop_chr19-chr19-20823|K562_RAD21_17m	Enhancer	Enhancer	5132	2854	chr19:4502180-4518465|-|PLIN4	chr19:4639516-4655568|+|TNFAIP8L1
loop_chr19-chr19-20825|K562_RAD21_17m	Promoter	Enhancer	475	3445	chr19:55620742-55624601|-|ZNF784	chr19:55635459-55645623|+|ZNF581
loop_chr19-chr19-20827|K562_RAD21_17m	Enhancer	Enhancer	18689	19563	chr19:33796862-33815763|+|KCTD15	chr19:34126973-34127423|+|CHCHD2P3
loop_chr19-chr19-20828|K562_RAD21_17m	Promoter	Promoter	411	409	chr19:19623655-19628930|-|LPAR2	chr19:19623655-19628930|-|LPAR2
loop_chr19-chr19-20829|K562_RAD21_17m	Enhancer	Promoter	4877	427	chr19:47256523-47273701|+|CCDC9	chr19:47256523-47273701|+|CCDC9
loop_chr19-chr19-20830|K562_RAD21_17m	Enhancer	Enhancer	18288	4070	chr19:33796862-33815763|+|KCTD15	chr19:34092561-34093310|-|RPS4XP21
loop_chr19-chr19-20833|K562_RAD21_17m	Enhancer	Enhancer	12740	12499	chr19:11011708-11012006|+|RN7SL192P	chr19:11011708-11012006|+|RN7SL192P
loop_chr19-chr19-20834|K562_RAD21_17m	Enhancer	Enhancer	13079	13606	chr19:42560433-42561750|-|CEACAMP2	chr19:42560433-42561750|-|CEACAMP2
loop_chr19-chr19-20835|K562_RAD21_17m	Enhancer	Enhancer	2576	3067	chr19:39202831-39204266|-|SYCN	chr19:39202831-39204266|-|SYCN
loop_chr19-chr19-20837|K562_RAD21_17m	Enhancer	Enhancer	3396	4585	chr19:4502180-4518465|-|PLIN4	chr19:4502180-4518465|-|PLIN4
loop_chr19-chr19-20838|K562_RAD21_17m	Enhancer	Enhancer	15846	2371	chr19:45187388-45216933|+|AC005779.1	chr19:45251271-45305284|+|MARK4
loop_chr19-chr19-20842|K562_RAD21_17m	Enhancer	Enhancer	39724	11682	chr19:47130829-47210636|+|SAE1	chr19:47220824-47232766|-|BBC3
loop_chr19-chr19-20844|K562_RAD21_17m	Enhancer	Enhancer	12275	12125	chr19:24033405-24129961|+|ZNF254	chr19:24033405-24129961|+|ZNF254
loop_chr19-chr19-20845|K562_RAD21_17m	Enhancer	Enhancer	31471	32479	chr19:8052767-8062646|+|CCL25	chr19:8052767-8062646|+|CCL25
loop_chr19-chr19-20847|K562_RAD21_17m	Enhancer	Enhancer	6508	6267	chr19:46018932-46019049|+|MIR769	chr19:46018932-46019049|+|MIR769
loop_chr19-chr19-20849|K562_RAD21_17m	Promoter	Promoter	72	341	chr19:36014660-36032873|-|CLIP3	chr19:36014660-36032873|-|CLIP3
loop_chr19-chr19-20850|K562_RAD21_17m	Enhancer	Enhancer	8683	8371	chr19:8630671-8638649|+|LINC01862	chr19:8630671-8638649|+|LINC01862
loop_chr19-chr19-20853|K562_RAD21_17m	Promoter	Promoter	906	615	chr19:48145908-48147413|+|AC011466.2	chr19:48145908-48147413|+|AC011466.2
loop_chr19-chr19-20854|K562_RAD21_17m	Promoter	Enhancer	1996	7449	chr19:43553445-43555494|+|L34079.2	chr19:43660500-43660776|-|RN7SL368P
loop_chr19-chr19-20865|K562_RAD21_17m	Enhancer	Enhancer	3165	42792	chr19:45436654-45436704|+|MIR6088	chr19:45527427-45602212|-|OPA3
loop_chr19-chr19-20867|K562_RAD21_17m	Promoter	Promoter	0	0	chr19:53772506-53773280|-|SEPT7P8	chr19:53775599-53775882|+|AC008753.1
loop_chr19-chr19-20868|K562_RAD21_17m	Promoter	Enhancer	0	15630	chr19:47713422-47743134|+|EHD2	chr19:47745546-47757058|+|NOP53
loop_chr19-chr19-20869|K562_RAD21_17m	Enhancer	Enhancer	20176	6600	chr19:50649445-50659310|+|C19orf81	chr19:50790415-50795224|+|ACP4
loop_chr19-chr19-20872|K562_RAD21_17m	Enhancer	Enhancer	9490	9718	chr19:57527325-57557542|+|ZNF549	chr19:57527325-57557542|+|ZNF549
loop_chr19-chr19-20874|K562_RAD21_17m	Enhancer	Enhancer	13567	11611	chr19:38108500-38109533|-|AC011465.1	chr19:38108500-38109533|-|AC011465.1
loop_chr19-chr19-20875|K562_RAD21_17m	Enhancer	Enhancer	21936	23644	chr19:4007736-4039386|+|PIAS4	chr19:4007736-4039386|+|PIAS4
loop_chr19-chr19-20878|K562_RAD21_17m	Promoter	Promoter	1444	0	chr19:3544199-3557569|+|AC005786.3	chr19:3572944-3579083|+|HMG20B
loop_chr19-chr19-20880|K562_RAD21_17m	Enhancer	Enhancer	2579	2724	chr19:58305319-58315663|+|ERVK3-1	chr19:58305319-58315663|+|ERVK3-1
loop_chr19-chr19-20895|K562_RAD21_17m	Promoter	Promoter	1008	954	chr19:999796-1002757|-|AC004528.1	chr19:999796-1002757|-|AC004528.1
loop_chr19-chr19-20897|K562_RAD21_17m	Enhancer	Enhancer	26523	26629	chr19:28602379-28648303|-|AC079466.2	chr19:28602379-28648303|-|AC079466.2
loop_chr19-chr19-20898|K562_RAD21_17m	Enhancer	Enhancer	15784	3873	chr19:248551-251571|-|AC016588.2	chr19:281040-291403|-|PLPP2
loop_chr19-chr19-20905|K562_RAD21_17m	Enhancer	Promoter	7826	1810	chr19:39202831-39204266|-|SYCN	chr19:39314651-39320858|-|AC011445.1
loop_chr19-chr19-20906|K562_RAD21_17m	Promoter	Promoter	1960	528	chr19:11814284-11835201|+|ZNF440	chr19:11814284-11835201|+|ZNF440
loop_chr19-chr19-20911|K562_RAD21_17m	Enhancer	Promoter	5946	0	chr19:55132698-55149206|-|TNNT1	chr19:55154757-55160671|-|AC010327.1,chr19:55158939-55177540|+|AC010327.3
loop_chr19-chr19-20912|K562_RAD21_17m	Promoter	Enhancer	0	3099	chr19:17334920-17342731|+|GTPBP3,chr19:17323223-17334855|-|ANO8	chr19:17334920-17342731|+|GTPBP3
loop_chr19-chr19-20914|K562_RAD21_17m	Enhancer	Enhancer	6266	9229	chr19:56149817-56150490|+|AC024580.1	chr19:56244043-56247482|+|ZSCAN5DP
loop_chr19-chr19-20915|K562_RAD21_17m	Enhancer	Enhancer	28079	7537	chr19:47968046-47992170|-|BSPH1	chr19:48047843-48110817|-|PLA2G4C
loop_chr19-chr19-20916|K562_RAD21_17m	Enhancer	Promoter	3203	0	chr19:48047843-48110817|-|PLA2G4C	chr19:48208086-48255946|-|CARD8
loop_chr19-chr19-20930|K562_RAD21_17m	Enhancer	Enhancer	10542	10310	chr19:6306142-6333629|-|ACER1	chr19:6306142-6333629|-|ACER1
loop_chr19-chr19-20931|K562_RAD21_17m	Enhancer	Enhancer	6213	2962	chr19:11887784-11914329|+|ZNF69	chr19:11887784-11914329|+|ZNF69
loop_chr19-chr19-20932|K562_RAD21_17m	Enhancer	Enhancer	7520	13940	chr19:42428288-42443048|-|CXCL17	chr19:42507304-42528481|-|CEACAM1
loop_chr19-chr19-20934|K562_RAD21_17m	Enhancer	Enhancer	17896	17707	chr19:45039045-45070956|+|CLASRP	chr19:45039045-45070956|+|CLASRP
loop_chr19-chr19-20938|K562_RAD21_17m	Enhancer	Enhancer	3889	15550	chr19:35040506-35066571|+|HPN	chr19:35040506-35066571|+|HPN
loop_chr19-chr19-20949|K562_RAD21_17m	Promoter	Enhancer	0	9195	chr19:7944241-7945400|+|AC010336.8	chr19:8065402-8149592|-|FBN3
loop_chr19-chr19-20951|K562_RAD21_17m	Enhancer	Promoter	6120	1132	chr19:44765148-44765464|+|AC092066.1	chr19:44846175-44889223|+|NECTIN2
loop_chr19-chr19-20955|K562_RAD21_17m	Promoter	Promoter	793	1837	chr19:51194118-51195540|-|AC063977.4	chr19:51257710-51269330|+|SIGLECL1
loop_chr19-chr19-20956|K562_RAD21_17m	Enhancer	Promoter	19744	982	chr19:28509238-28518728|+|AC005616.1	chr19:28491864-28632728|-|AC005394.1
loop_chr19-chr19-20958|K562_RAD21_17m	Enhancer	Promoter	13855	0	chr19:5785140-5791206|-|DUS3L	chr19:5823802-5828324|+|NRTN
loop_chr19-chr19-20959|K562_RAD21_17m	Enhancer	Enhancer	43878	11033	chr19:32243965-32244083|-|RNA5SP472	chr19:32581190-32587453|+|PDCD5
loop_chr19-chr19-20960|K562_RAD21_17m	Enhancer	Enhancer	6671	6810	chr19:48513207-48513660|-|AC008403.4	chr19:48552075-48599425|+|SULT2B1
loop_chr19-chr19-20980|K562_RAD21_17m	Enhancer	Enhancer	16451	18860	chr19:45507479-45526983|+|VASP	chr19:45507479-45526983|+|VASP
loop_chr19-chr19-20981|K562_RAD21_17m	Enhancer	Enhancer	18479	18754	chr19:32345594-32387667|+|ZNF507	chr19:32345594-32387667|+|ZNF507
loop_chr19-chr19-20982|K562_RAD21_17m	Enhancer	Enhancer	9101	5976	chr19:46018932-46019049|+|MIR769	chr19:46018932-46019049|+|MIR769
loop_chr19-chr19-20985|K562_RAD21_17m	Enhancer	Promoter	6761	804	chr19:11887784-11914329|+|ZNF69	chr19:12092843-12140350|-|ZNF20
loop_chr19-chr19-20986|K562_RAD21_17m	Enhancer	Enhancer	14094	4889	chr19:47309861-47322066|+|C5AR1	chr19:47403124-47419523|-|MEIS3
loop_chr19-chr19-20990|K562_RAD21_17m	Promoter	Enhancer	0	9007	chr19:48720585-48740610|-|RASIP1	chr19:48793152-48793258|-|RNU6-317P
loop_chr19-chr19-20991|K562_RAD21_17m	Enhancer	Enhancer	22944	16089	chr19:1752373-1780988|+|ONECUT3	chr19:1782075-1812276|-|ATP8B3
loop_chr19-chr19-20997|K562_RAD21_17m	Enhancer	Enhancer	9961	10189	chr19:45782947-45792845|-|DMWD	chr19:45782947-45792845|-|DMWD
loop_chr19-chr19-21008|K562_RAD21_17m	Enhancer	Enhancer	10436	3059	chr19:46410329-46413662|-|CCDC8	chr19:46424697-46428951|-|PNMA8C
loop_chr19-chr19-21010|K562_RAD21_17m	Enhancer	Enhancer	6042	5544	chr19:44942237-44945496|+|APOC4	chr19:44942237-44945496|+|APOC4
loop_chr19-chr19-21013|K562_RAD21_17m	Enhancer	Enhancer	4641	2728	chr19:50311937-50333515|-|KCNC3	chr19:50311937-50333515|-|KCNC3
loop_chr19-chr19-21014|K562_RAD21_17m	Enhancer	Enhancer	27444	41501	chr19:40576855-40591397|+|SHKBP1	chr19:40593166-40629818|+|LTBP4
loop_chr19-chr19-21020|K562_RAD21_17m	Promoter	Enhancer	0	7372	chr19:40426115-40426702|+|AC010271.2,chr19:40421589-40425992|-|SERTAD1	chr19:40426115-40426702|+|AC010271.2
loop_chr19-chr19-21021|K562_RAD21_17m	Enhancer	Promoter	11849	1660	chr19:10086317-10093243|+|C19orf66	chr19:10251964-10260045|+|MRPL4
loop_chr19-chr19-21033|K562_RAD21_17m	Enhancer	Promoter	4964	1289	chr19:48793152-48793258|-|RNU6-317P	chr19:49067418-49072941|-|KCNA7
loop_chr19-chr19-21036|K562_RAD21_17m	Promoter	Promoter	1064	1387	chr19:52058490-52063703|-|AC011468.1	chr19:52058490-52063703|-|AC011468.1
loop_chr19-chr19-21038|K562_RAD21_17m	Promoter	Promoter	1059	0	chr19:17390509-17394158|-|CCDC194	chr19:17435509-17448668|-|TMEM221
loop_chr19-chr19-21040|K562_RAD21_17m	Enhancer	Enhancer	2033	20553	chr19:14489388-14489609|+|SNRPGP15	chr19:14566078-14572066|-|NDUFB7
loop_chr19-chr19-21043|K562_RAD21_17m	Promoter	Promoter	278	687	chr19:45674932-45675008|-|MIR642B	chr19:45674932-45675008|-|MIR642B
loop_chr19-chr19-21053|K562_RAD21_17m	Enhancer	Enhancer	10652	5526	chr19:15082211-15092970|+|OR1I1	chr19:15145215-15145318|+|RNU6-782P
loop_chr19-chr19-21059|K562_RAD21_17m	Enhancer	Enhancer	5129	2848	chr19:46390515-46390852|-|AC007193.3	chr19:46424697-46428951|-|PNMA8C
loop_chr19-chr19-21097|K562_RAD21_17m	Enhancer	Enhancer	10401	10074	chr19:10350529-10380676|-|TYK2	chr19:10350529-10380676|-|TYK2
loop_chr19-chr19-21098|K562_RAD21_17m	Enhancer	Enhancer	11742	22276	chr19:12995608-13098796|+|NFIX	chr19:13013662-13014511|-|AC138474.1
loop_chr19-chr19-21108|K562_RAD21_17m	Promoter	Enhancer	565	12382	chr19:34837889-34855304|+|AC008555.2	chr19:35014961-35025335|-|AC020907.4
loop_chr19-chr19-21113|K562_RAD21_17m	Enhancer	Enhancer	7544	5426	chr19:361747-376670|-|THEG	chr19:463346-474983|-|ODF3L2
loop_chr19-chr19-21122|K562_RAD21_17m	Promoter	Enhancer	456	5938	chr19:52702813-52735054|-|ZNF611	chr19:53013921-53016122|+|ERVV-1
loop_chr19-chr19-21144|K562_RAD21_17m	Enhancer	Promoter	5090	1849	chr19:13874699-13874808|+|MIR181C	chr19:13874699-13874808|+|MIR181C
loop_chr19-chr19-21166|K562_RAD21_17m	Enhancer	Enhancer	4537	10856	chr19:1822089-1824542|+|AC012615.6	chr19:1815248-1848483|-|REXO1
loop_chr19-chr19-21169|K562_RAD21_17m	Enhancer	Enhancer	4137	2386	chr19:49502432-49502639|-|COX6CP7	chr19:49675897-49688450|+|PRMT1
loop_chr19-chr19-21184|K562_RAD21_17m	Enhancer	Promoter	16204	0	chr19:3804024-3869038|-|ZFR2	chr19:3958453-3971099|-|DAPK3
loop_chr19-chr19-21197|K562_RAD21_17m	Enhancer	Enhancer	12336	12514	chr19:38335775-38370943|+|CATSPERG	chr19:38335775-38370943|+|CATSPERG
loop_chr19-chr19-21199|K562_RAD21_17m	Enhancer	Enhancer	5277	5583	chr19:45795713-45815308|-|RSPH6A	chr19:45795713-45815308|-|RSPH6A
loop_chr19-chr19-21200|K562_RAD21_17m	Enhancer	Enhancer	3656	3195	chr19:1578339-1605445|-|AC005943.1	chr19:1578339-1605445|-|AC005943.1
loop_chr19-chr19-21201|K562_RAD21_17m	Enhancer	Enhancer	14304	14039	chr19:50621977-50639881|-|SYT3	chr19:50621977-50639881|-|SYT3
loop_chr19-chr19-21204|K562_RAD21_17m	Promoter	Promoter	935	1230	chr19:41073804-41074107|-|AC008962.1	chr19:41073804-41074107|-|AC008962.1
loop_chr19-chr19-21205|K562_RAD21_17m	Enhancer	Enhancer	12447	12206	chr19:10133346-10195135|-|DNMT1	chr19:10133346-10195135|-|DNMT1
loop_chr19-chr19-21209|K562_RAD21_17m	Enhancer	Enhancer	15290	14990	chr19:1989401-1990203|+|AC005306.1	chr19:1989401-1990203|+|AC005306.1
loop_chr19-chr19-21210|K562_RAD21_17m	Enhancer	Enhancer	5728	6057	chr19:28437060-28535277|-|AC005381.1	chr19:28437060-28535277|-|AC005381.1
loop_chr19-chr19-21212|K562_RAD21_17m	Enhancer	Enhancer	10314	10069	chr19:38184376-38186265|+|AC011479.3	chr19:38184376-38186265|+|AC011479.3
loop_chr19-chr19-21215|K562_RAD21_17m	Enhancer	Enhancer	4370	4701	chr19:53775599-53775882|+|AC008753.1	chr19:53775599-53775882|+|AC008753.1
loop_chr19-chr19-21218|K562_RAD21_17m	Enhancer	Enhancer	2619	2845	chr19:18173813-18178117|+|IFI30	chr19:18173813-18178117|+|IFI30
