Promoter	PromoterTarget	directEnhancer	indirectEnhancer	directPromoter	indirectPromoter	directEnhancerHub	indirectEnhancerHub
chr10:103191827-103195258|Promoter	chr10:103088017-103193306|-|NT5C2		chr10:103238958-103239767|Enhancer,chr10:102729204-102730400|Enhancer,chr10:103053946-103054094|Enhancer,chr10:102963000-102963995|Enhancer,chr10:103065255-103071349|Enhancer,chr10:103062487-103063407|Enhancer,chr10:102899319-102902346|Enhancer	chr10:103239789-103247303|Promoter	chr10:102834262-102836890|Promoter,chr10:102913744-102920328|Promoter		chr10:103065255-103071349|Enhancer
chr10:103239789-103247303|Promoter	chr10:103245887-103248016|+|RPEL1	chr10:103065255-103071349|Enhancer	chr10:103238958-103239767|Enhancer,chr10:102729204-102730400|Enhancer,chr10:103053946-103054094|Enhancer,chr10:102963000-102963995|Enhancer,chr10:103062487-103063407|Enhancer,chr10:102899319-102902346|Enhancer	chr10:102913744-102920328|Promoter,chr10:103191827-103195258|Promoter	chr10:102834262-102836890|Promoter		chr10:103062487-103063407|Enhancer
chr10:103367487-103369308|Promoter	chr10:103367976-103389065|+|TAF5			chr10:103395652-103399388|Promoter			
chr10:103395652-103399388|Promoter	chr10:103389041-103396492|-|ATP5MD,chr10:103396626-103446294|+|PDCD11			chr10:103367487-103369308|Promoter			
chr10:103449487-103452858|Promoter	chr10:103452846-103462695|+|AL139339.1,chr10:103450196-103450852|+|AL139339.2,chr10:103446786-103452402|-|CALHM2	chr10:103481230-103486259|Enhancer,chr10:103471046-103472531|Enhancer	chr10:103564969-103566059|Enhancer,chr10:103591568-103593066|Enhancer,chr10:103414984-103418789|Enhancer			chr10:103481230-103486259|Enhancer	chr10:103414984-103418789|Enhancer
chr10:104254503-104255372|Promoter	chr10:104254194-104267459|+|GSTO1	chr10:104273914-104275150|Enhancer,chr10:104247122-104247813|Enhancer	chr10:104288237-104293097|Enhancer,chr10:104349615-104352659|Enhancer,chr10:104302190-104308768|Enhancer		chr10:104337506-104338380|Promoter	chr10:104273914-104275150|Enhancer	chr10:104349615-104352659|Enhancer
chr10:104337506-104338380|Promoter	chr10:104309698-104338465|-|ITPRIP	chr10:104349615-104352659|Enhancer	chr10:104273914-104275150|Enhancer,chr10:104288237-104293097|Enhancer,chr10:104247122-104247813|Enhancer,chr10:104302190-104308768|Enhancer		chr10:104254503-104255372|Promoter		chr10:104273914-104275150|Enhancer
chr10:110135843-110139113|Promoter	chr10:110139214-110139426|-|SNRPGP12	chr10:110276831-110281574|Enhancer,chr10:109882250-109885267|Enhancer	chr10:110534542-110537023|Enhancer,chr10:110225985-110227657|Enhancer,chr10:110388142-110390483|Enhancer,chr10:110409449-110417182|Enhancer,chr10:110353344-110358765|Enhancer,chr10:110395904-110396885|Enhancer,chr10:110441616-110441980|Enhancer,chr10:110544737-110548178|Enhancer,chr10:109977546-109979575|Enhancer,chr10:109956295-109958403|Enhancer,chr10:110309662-110315398|Enhancer	chr10:110305234-110306628|Promoter	chr10:110566764-110567833|Promoter,chr10:110496648-110504400|Promoter	chr10:109882250-109885267|Enhancer	chr10:110353344-110358765|Enhancer
chr10:110208334-110209968|Promoter	chr10:110207850-110208591|-|AL360182.2	chr10:110217219-110218537|Enhancer					
chr10:110305234-110306628|Promoter	chr10:110290730-110304951|-|SMNDC1	chr10:110544737-110548178|Enhancer	chr10:110534542-110537023|Enhancer,chr10:110276831-110281574|Enhancer,chr10:110225985-110227657|Enhancer,chr10:110388142-110390483|Enhancer,chr10:110353344-110358765|Enhancer,chr10:110395904-110396885|Enhancer,chr10:110441616-110441980|Enhancer,chr10:109882250-109885267|Enhancer,chr10:110409449-110417182|Enhancer,chr10:109977546-109979575|Enhancer,chr10:109956295-109958403|Enhancer,chr10:110309662-110315398|Enhancer	chr10:110135843-110139113|Promoter	chr10:110566764-110567833|Promoter,chr10:110496648-110504400|Promoter		chr10:110353344-110358765|Enhancer
chr10:110496648-110504400|Promoter	chr10:110497907-110511533|+|DUSP5	chr10:110534542-110537023|Enhancer,chr10:110409449-110417182|Enhancer,chr10:110353344-110358765|Enhancer,chr10:110395904-110396885|Enhancer,chr10:110544737-110548178|Enhancer,chr10:110309662-110315398|Enhancer	chr10:110276831-110281574|Enhancer,chr10:110225985-110227657|Enhancer,chr10:110388142-110390483|Enhancer,chr10:109882250-109885267|Enhancer,chr10:110441616-110441980|Enhancer,chr10:109956295-109958403|Enhancer,chr10:109977546-109979575|Enhancer		chr10:110135843-110139113|Promoter,chr10:110566764-110567833|Promoter,chr10:110305234-110306628|Promoter	chr10:110353344-110358765|Enhancer	chr10:110388142-110390483|Enhancer
chr10:110566764-110567833|Promoter	chr10:110567691-110604636|+|SMC3	chr10:110309662-110315398|Enhancer	chr10:110534542-110537023|Enhancer,chr10:110276831-110281574|Enhancer,chr10:110225985-110227657|Enhancer,chr10:110388142-110390483|Enhancer,chr10:110409449-110417182|Enhancer,chr10:110353344-110358765|Enhancer,chr10:110395904-110396885|Enhancer,chr10:110441616-110441980|Enhancer,chr10:109882250-109885267|Enhancer,chr10:110544737-110548178|Enhancer,chr10:109977546-109979575|Enhancer,chr10:109956295-109958403|Enhancer		chr10:110135843-110139113|Promoter,chr10:110305234-110306628|Promoter,chr10:110496648-110504400|Promoter		chr10:110353344-110358765|Enhancer
chr10:110567981-110568347|Promoter	chr10:110567691-110604636|+|SMC3			chr10:110568386-110568642|Promoter			
chr10:110568386-110568642|Promoter	chr10:110567691-110604636|+|SMC3			chr10:110567981-110568347|Promoter			
chr10:110870828-110878609|Promoter	chr10:110871795-110900006|+|PDCD4,chr10:110869868-110872233|-|PDCD4-AS1	chr10:110802602-110805995|Enhancer,chr10:110744834-110749527|Enhancer	chr10:110671314-110673121|Enhancer,chr10:110609936-110611882|Enhancer,chr10:110889735-110894689|Enhancer,chr10:110841720-110845492|Enhancer,chr10:110771693-110774467|Enhancer,chr10:110723686-110725466|Enhancer			chr10:110744834-110749527|Enhancer	chr10:110841720-110845492|Enhancer
chr10:111075354-111077081|Promoter	chr10:111077163-111080907|+|ADRA2A	chr10:111358459-111360776|Enhancer					
chr10:11319344-11319443|Promoter	chr10:11316834-11319884|-|CELF2-AS1			chr10:11319655-11319916|Promoter			
chr10:11319655-11319916|Promoter	chr10:11316834-11319884|-|CELF2-AS1			chr10:11319344-11319443|Promoter			
chr10:114044110-114044241|Promoter	chr10:114044056-114046908|+|ADRB1			chr10:114044364-114044536|Promoter			
chr10:114044364-114044536|Promoter	chr10:114044056-114046908|+|ADRB1			chr10:114044110-114044241|Promoter			
chr10:114109764-114114323|Promoter	chr10:114111414-114111517|+|RNU6-709P	chr10:113796962-113801752|Enhancer	chr10:114102338-114107094|Enhancer,chr10:113705111-113705579|Enhancer				chr10:114102338-114107094|Enhancer
chr10:114403749-114404903|Promoter	chr10:114294824-114404756|-|AFAP1L2	chr10:114303401-114305245|Enhancer	chr10:114546827-114553901|Enhancer,chr10:114470600-114472925|Enhancer,chr10:114703604-114705685|Enhancer,chr10:114437034-114438175|Enhancer				chr10:114546827-114553901|Enhancer
chr10:11611742-11612193|Promoter	chr10:11453946-11611754|-|USP6NL	chr10:11514053-11518992|Enhancer	chr10:11686262-11686918|Enhancer,chr10:11697959-11699379|Enhancer,chr10:11723951-11730796|Enhancer,chr10:11660981-11664418|Enhancer,chr10:11423779-11427210|Enhancer,chr10:11756593-11759379|Enhancer,chr10:11467437-11474352|Enhancer,chr10:11412064-11413251|Enhancer,chr10:11431873-11434918|Enhancer		chr10:11612385-11613161|Promoter,chr10:11676505-11679409|Promoter		chr10:11723951-11730796|Enhancer
chr10:11612385-11613161|Promoter	chr10:11453946-11611754|-|USP6NL	chr10:11514053-11518992|Enhancer	chr10:11686262-11686918|Enhancer,chr10:11697959-11699379|Enhancer,chr10:11723951-11730796|Enhancer,chr10:11660981-11664418|Enhancer,chr10:11423779-11427210|Enhancer,chr10:11756593-11759379|Enhancer,chr10:11467437-11474352|Enhancer,chr10:11412064-11413251|Enhancer,chr10:11431873-11434918|Enhancer		chr10:11611742-11612193|Promoter,chr10:11676505-11679409|Promoter		chr10:11723951-11730796|Enhancer
chr10:11676505-11679409|Promoter	chr10:11679675-11680514|+|AL512631.1	chr10:11723951-11730796|Enhancer,chr10:11514053-11518992|Enhancer	chr10:11686262-11686918|Enhancer,chr10:11697959-11699379|Enhancer,chr10:11660981-11664418|Enhancer,chr10:11423779-11427210|Enhancer,chr10:11756593-11759379|Enhancer,chr10:11467437-11474352|Enhancer,chr10:11412064-11413251|Enhancer,chr10:11431873-11434918|Enhancer		chr10:11611742-11612193|Promoter,chr10:11612385-11613161|Promoter	chr10:11723951-11730796|Enhancer	chr10:11756593-11759379|Enhancer
chr10:117168111-117171005|Promoter	chr10:117158656-117169059|-|MIR3663HG	chr10:116796393-116799188|Enhancer	chr10:116787291-116790456|Enhancer,chr10:117165484-117166030|Enhancer,chr10:116682209-116683512|Enhancer,chr10:117174416-117177408|Enhancer,chr10:116837064-116837787|Enhancer				chr10:117174416-117177408|Enhancer
chr10:118240802-118241949|Promoter	chr10:118241643-118267710|+|AL354863.1	chr10:117495807-117498719|Enhancer	chr10:117756181-117758541|Enhancer,chr10:117536294-117538097|Enhancer				chr10:117756181-117758541|Enhancer
chr10:119091211-119091342|Promoter	chr10:119093140-119093341|+|AL355598.1	chr10:119090885-119091173|Enhancer					
chr10:119179953-119180105|Promoter	chr10:119167720-119178812|-|PRDX3			chr10:119180132-119181019|Promoter			
chr10:119180132-119181019|Promoter	chr10:119167720-119178812|-|PRDX3			chr10:119179953-119180105|Promoter			
chr10:119206388-119209663|Promoter	chr10:119208531-119211760|+|GRK5-IT1,chr10:119207589-119455619|+|GRK5	chr10:119303767-119309727|Enhancer,chr10:119414731-119417961|Enhancer,chr10:119299527-119300862|Enhancer,chr10:119444184-119449369|Enhancer,chr10:119198303-119198367|Enhancer	chr10:119322281-119322763|Enhancer,chr10:119199084-119199648|Enhancer,chr10:119489622-119490416|Enhancer			chr10:119444184-119449369|Enhancer	chr10:119489622-119490416|Enhancer
chr10:119336696-119336822|Promoter	chr10:119334494-119336182|-|AL583824.1			chr10:119336889-119336984|Promoter			
chr10:119336889-119336984|Promoter	chr10:119334494-119336182|-|AL583824.1			chr10:119336696-119336822|Promoter			
chr10:119543186-119543427|Promoter	chr10:119499817-119542719|-|RGS10			chr10:119595280-119598912|Promoter			
chr10:119560857-119560961|Promoter	chr10:119562101-119562530|-|AC012468.1			chr10:119561026-119561271|Promoter			
chr10:119561026-119561271|Promoter	chr10:119562101-119562530|-|AC012468.1			chr10:119560857-119560961|Promoter			
chr10:119595280-119598912|Promoter	chr10:119571802-119596510|-|TIAL1			chr10:119543186-119543427|Promoter			
chr10:119651943-119652831|Promoter	chr10:119651370-119677819|+|BAG3	chr10:119607881-119608861|Enhancer					
chr10:119724924-119726268|Promoter	chr10:119726048-119829278|+|INPP5F	chr10:119685470-119688788|Enhancer	chr10:119751777-119751884|Enhancer,chr10:119748749-119751671|Enhancer,chr10:119858161-119862091|Enhancer,chr10:119720067-119720961|Enhancer				chr10:119748749-119751671|Enhancer
chr10:12042946-12044559|Promoter	chr10:11920022-12043170|-|UPF2			chr10:12129650-12130453|Promoter			
chr10:120851173-120852947|Promoter	chr10:120761812-120851209|-|WDR11-AS1,chr10:120851362-120909524|+|WDR11	chr10:120824758-120827739|Enhancer					
chr10:12129650-12130453|Promoter	chr10:12129637-12169956|+|SEC61A2			chr10:12042946-12044559|Promoter			
chr10:122699228-122699293|Promoter	chr10:122697709-122699822|-|C10orf120			chr10:122699366-122699548|Promoter			
chr10:122699366-122699548|Promoter	chr10:122697709-122699822|-|C10orf120			chr10:122699228-122699293|Promoter			
chr10:122980376-122981833|Promoter	chr10:122980040-122990392|+|PSTK			chr10:123008534-123008709|Promoter			
chr10:123008534-123008709|Promoter	chr10:122990806-123008817|-|IKZF5			chr10:122980376-122981833|Promoter			
chr10:123129882-123137105|Promoter	chr10:123135962-123139423|+|HMX3	chr10:123272262-123272332|Enhancer,chr10:123042863-123046223|Enhancer,chr10:123552384-123561205|Enhancer	chr10:123390926-123393268|Enhancer,chr10:123401837-123402983|Enhancer,chr10:123380707-123382050|Enhancer			chr10:123552384-123561205|Enhancer	chr10:123401837-123402983|Enhancer
chr10:12347265-12354744|Promoter	chr10:12349482-12835545|+|CAMK1D	chr10:12263200-12265956|Enhancer	chr10:12714151-12714292|Enhancer,chr10:12655593-12657456|Enhancer,chr10:12485116-12485428|Enhancer,chr10:12707747-12711558|Enhancer,chr10:12332021-12334401|Enhancer				chr10:12707747-12711558|Enhancer
chr10:123666214-123666419|Promoter	chr10:123666355-123694607|+|GPR26			chr10:123666535-123666659|Promoter			
chr10:123666535-123666659|Promoter	chr10:123666355-123694607|+|GPR26			chr10:123666214-123666419|Promoter			
chr10:124740242-124746211|Promoter	chr10:124619292-124744378|-|FAM53B	chr10:124647571-124649003|Enhancer,chr10:124538751-124541182|Enhancer,chr10:124717648-124719693|Enhancer,chr10:124529717-124534495|Enhancer	chr10:124825896-124827974|Enhancer,chr10:124569704-124569740|Enhancer,chr10:124565701-124566233|Enhancer			chr10:124538751-124541182|Enhancer	chr10:124565701-124566233|Enhancer
chr10:127905799-127907781|Promoter	chr10:127907061-128085855|+|PTPRE	chr10:128067668-128070062|Enhancer,chr10:128010751-128011586|Enhancer	chr10:128149761-128151789|Enhancer,chr10:128076793-128078975|Enhancer,chr10:128034273-128037732|Enhancer			chr10:128067668-128070062|Enhancer	chr10:128149761-128151789|Enhancer
chr10:12923797-12923892|Promoter	chr10:12924679-12924785|-|RNA5SP300			chr10:12924109-12924309|Promoter			
chr10:12924109-12924309|Promoter	chr10:12924679-12924785|-|RNA5SP300			chr10:12923797-12923892|Promoter			
chr10:130109828-130111605|Promoter	chr10:130063896-130110830|-|C10orf143			chr10:130136297-130137029|Promoter			
chr10:130136297-130137029|Promoter	chr10:130136391-130182881|+|GLRX3			chr10:130109828-130111605|Promoter			
chr10:13099299-13100070|Promoter	chr10:13099449-13138308|+|OPTN,chr10:12896625-13099652|-|CCDC3	chr10:12902331-12903975|Enhancer	chr10:13270907-13274174|Enhancer,chr10:13368644-13368820|Enhancer,chr10:13439498-13444124|Enhancer,chr10:13408639-13410178|Enhancer,chr10:13517856-13518435|Enhancer,chr10:13369328-13374987|Enhancer,chr10:13536501-13538355|Enhancer	chr10:13160785-13161672|Promoter	chr10:13302105-13304793|Promoter		chr10:13439498-13444124|Enhancer
chr10:13160785-13161672|Promoter	chr10:13161554-13211104|+|MCM10	chr10:13439498-13444124|Enhancer	chr10:12902331-12903975|Enhancer,chr10:13270907-13274174|Enhancer,chr10:13368644-13368820|Enhancer,chr10:13408639-13410178|Enhancer,chr10:13517856-13518435|Enhancer,chr10:13369328-13374987|Enhancer,chr10:13536501-13538355|Enhancer	chr10:13099299-13100070|Promoter,chr10:13302105-13304793|Promoter			chr10:13369328-13374987|Enhancer
chr10:132105155-132105343|Promoter	chr10:132104671-132184809|+|JAKMIP3			chr10:132105468-132105571|Promoter			
chr10:132105468-132105571|Promoter	chr10:132104671-132184809|+|JAKMIP3			chr10:132105155-132105343|Promoter			
chr10:132395247-132397812|Promoter	chr10:132397168-132417859|+|PWWP2B	chr10:132452366-132453903|Enhancer	chr10:132387818-132389439|Enhancer				
chr10:132518334-132518556|Promoter	chr10:132511626-132518191|-|AL451069.1			chr10:132518717-132518914|Promoter			
chr10:132518717-132518914|Promoter	chr10:132511626-132518191|-|AL451069.1			chr10:132518334-132518556|Promoter			
chr10:13302105-13304793|Promoter	chr10:13277796-13302412|-|PHYH	chr10:13270907-13274174|Enhancer	chr10:12902331-12903975|Enhancer,chr10:13368644-13368820|Enhancer,chr10:13439498-13444124|Enhancer,chr10:13408639-13410178|Enhancer,chr10:13517856-13518435|Enhancer,chr10:13369328-13374987|Enhancer,chr10:13536501-13538355|Enhancer	chr10:13160785-13161672|Promoter	chr10:13099299-13100070|Promoter		chr10:13439498-13444124|Enhancer
chr10:133069231-133069306|Promoter	chr10:133070929-133131675|+|ADGRA1			chr10:133069368-133069443|Promoter			
chr10:133069368-133069443|Promoter	chr10:133070929-133131675|+|ADGRA1			chr10:133069231-133069306|Promoter			
chr10:133143462-133144058|Promoter	chr10:133144612-133145304|-|RPL5P28	chr10:133495377-133497723|Enhancer	chr10:133437500-133440819|Enhancer		chr10:133520250-133520896|Promoter		
chr10:133246741-133247538|Promoter	chr10:133247511-133247620|-|MIR202	chr10:133218256-133219220|Enhancer					
chr10:133351337-133351580|Promoter	chr10:133345754-133350726|-|AL360181.1	chr10:133329672-133329930|Enhancer					
chr10:133357634-133358914|Promoter	chr10:133355158-133358025|-|FUOM			chr10:133394023-133394639|Promoter	chr10:133379360-133380417|Promoter		
chr10:133379360-133380417|Promoter	chr10:133379261-133391694|+|PAOX			chr10:133394023-133394639|Promoter	chr10:133357634-133358914|Promoter		
chr10:133394023-133394639|Promoter	chr10:133394094-133422520|+|MTG1			chr10:133379360-133380417|Promoter,chr10:133357634-133358914|Promoter			
chr10:133520250-133520896|Promoter	chr10:133520406-133539123|+|CYP2E1	chr10:133437500-133440819|Enhancer	chr10:133495377-133497723|Enhancer		chr10:133143462-133144058|Promoter		
chr10:13528030-13528222|Promoter	chr10:13528516-13530262|+|AL590677.1			chr10:13528290-13528332|Promoter			
chr10:13528290-13528332|Promoter	chr10:13528516-13530262|+|AL590677.1			chr10:13528030-13528222|Promoter			
chr10:1360110-1360240|Promoter	chr10:1361001-1361637|-|AL513304.1			chr10:1360250-1360568|Promoter			
chr10:1360250-1360568|Promoter	chr10:1361001-1361637|-|AL513304.1			chr10:1360110-1360240|Promoter			
chr10:15088395-15088451|Promoter	chr10:15075475-15088776|-|ACBD7			chr10:15088508-15088717|Promoter			
chr10:15088508-15088717|Promoter	chr10:15075475-15088776|-|ACBD7			chr10:15088395-15088451|Promoter			
chr10:15370032-15371092|Promoter	chr10:15211643-15371289|-|FAM171A1	chr10:15210020-15210812|Enhancer					
chr10:16521383-16521415|Promoter	chr10:16513734-16521879|-|C1QL3			chr10:16521651-16521653|Promoter			
chr10:16521651-16521653|Promoter	chr10:16513734-16521879|-|C1QL3			chr10:16521383-16521415|Promoter			
chr10:17236586-17236729|Promoter	chr10:17233325-17234833|-|AL133415.1	chr10:17236911-17236960|Enhancer					
chr10:17616584-17617599|Promoter	chr10:17589032-17617374|-|HACD1	chr10:17742534-17744911|Enhancer	chr10:17607507-17608003|Enhancer				
chr10:17808536-17808618|Promoter	chr10:17809348-17911164|+|MRC1			chr10:17808715-17809098|Promoter			
