Promoter	PromoterTarget	directEnhancer	indirectEnhancer	directPromoter	indirectPromoter	directEnhancerHub	indirectEnhancerHub
chr10:111075354-111077081|Promoter	chr10:111077163-111080907|+|ADRA2A	chr10:111358459-111360776|Enhancer					
chr10:114109764-114114323|Promoter	chr10:114111414-114111517|+|RNU6-709P	chr10:113796962-113801752|Enhancer	chr10:113705111-113705579|Enhancer,chr10:114102338-114107094|Enhancer				chr10:114102338-114107094|Enhancer
chr10:114403749-114404903|Promoter	chr10:114294824-114404756|-|AFAP1L2	chr10:114304097-114305245|Enhancer					
chr10:11676505-11679409|Promoter	chr10:11679675-11680514|+|AL512631.1	chr10:11514053-11518183|Enhancer,chr10:11723951-11730796|Enhancer	chr10:11660981-11664418|Enhancer,chr10:11431873-11434498|Enhancer,chr10:11757484-11759379|Enhancer			chr10:11514053-11518183|Enhancer	chr10:11757484-11759379|Enhancer
chr10:117168111-117171005|Promoter	chr10:117158656-117169059|-|MIR3663HG	chr10:116796393-116799188|Enhancer	chr10:117174725-117177408|Enhancer,chr10:116787291-116790456|Enhancer				chr10:117174725-117177408|Enhancer
chr10:119206388-119209663|Promoter	chr10:119208531-119211760|+|GRK5-IT1,chr10:119207589-119455619|+|GRK5	chr10:119444184-119449369|Enhancer,chr10:119303767-119309727|Enhancer,chr10:119414731-119417961|Enhancer	chr10:119199084-119199648|Enhancer,chr10:119489622-119490416|Enhancer			chr10:119444184-119449369|Enhancer	chr10:119489622-119490416|Enhancer
chr10:119543186-119543427|Promoter	chr10:119499817-119542719|-|RGS10			chr10:119595280-119598912|Promoter			
chr10:119595280-119598912|Promoter	chr10:119571802-119596510|-|TIAL1			chr10:119543186-119543427|Promoter			
chr10:119724924-119726268|Promoter	chr10:119726048-119829278|+|INPP5F	chr10:119685470-119688788|Enhancer	chr10:119720067-119720961|Enhancer,chr10:119748749-119750896|Enhancer				chr10:119748749-119750896|Enhancer
chr10:12042946-12044559|Promoter	chr10:11920022-12043170|-|UPF2			chr10:12129650-12130453|Promoter			
chr10:120851173-120852947|Promoter	chr10:120761812-120851209|-|WDR11-AS1,chr10:120851362-120909524|+|WDR11	chr10:120824758-120827739|Enhancer					
chr10:12129650-12130453|Promoter	chr10:12129637-12169956|+|SEC61A2			chr10:12042946-12044559|Promoter			
chr10:123129882-123137105|Promoter	chr10:123135962-123139423|+|HMX3	chr10:123552384-123561205|Enhancer,chr10:123042863-123046223|Enhancer	chr10:123401837-123402983|Enhancer,chr10:123380707-123382050|Enhancer,chr10:123390926-123393268|Enhancer			chr10:123552384-123561205|Enhancer	chr10:123390926-123393268|Enhancer
chr10:124740242-124746211|Promoter	chr10:124619292-124744378|-|FAM53B	chr10:124538751-124540898|Enhancer,chr10:124717648-124719693|Enhancer,chr10:124532047-124534495|Enhancer,chr10:124647571-124649003|Enhancer				chr10:124647571-124649003|Enhancer	
chr10:127905799-127907669|Promoter	chr10:127907061-128085855|+|PTPRE	chr10:128010751-128011586|Enhancer					
chr10:130109828-130111605|Promoter	chr10:130063896-130110830|-|C10orf143			chr10:130136297-130137029|Promoter			
chr10:130136297-130137029|Promoter	chr10:130136391-130182881|+|GLRX3			chr10:130109828-130111605|Promoter			
chr10:13099532-13100070|Promoter	chr10:12896625-13099652|-|CCDC3	chr10:12902331-12903975|Enhancer					
chr10:133357634-133358914|Promoter	chr10:133355158-133358025|-|FUOM			chr10:133394023-133394639|Promoter	chr10:133379360-133380417|Promoter		
chr10:133379360-133380417|Promoter	chr10:133379261-133391694|+|PAOX			chr10:133394023-133394639|Promoter	chr10:133357634-133358914|Promoter		
chr10:133394023-133394639|Promoter	chr10:133394094-133422520|+|MTG1			chr10:133357634-133358914|Promoter,chr10:133379360-133380417|Promoter			
chr10:21494473-21496817|Promoter	chr10:21496562-21496641|-|MIR1915	chr10:21448388-21450238|Enhancer,chr10:21951791-21954617|Enhancer	chr10:21278824-21278908|Enhancer			chr10:21951791-21954617|Enhancer	
chr10:22714229-22716012|Promoter	chr10:22534854-22714578|-|PIP4K2A	chr10:22765897-22767781|Enhancer					
chr10:24722495-24724876|Promoter	chr10:24583609-24723887|-|ARHGAP21	chr10:24641711-24644850|Enhancer	chr10:24700218-24702104|Enhancer,chr10:24988768-24991683|Enhancer				chr10:24988768-24991683|Enhancer
chr10:26436190-26440441|Promoter	chr10:26438341-26567803|+|APBB1IP	chr10:26334717-26337922|Enhancer	chr10:26554001-26558131|Enhancer				
chr10:26859744-26861528|Promoter	chr10:26746593-26861087|-|ABI1	chr10:26724582-26730245|Enhancer,chr10:26882149-26882364|Enhancer				chr10:26882149-26882364|Enhancer	
chr10:32344903-32349190|Promoter	chr10:32347397-32374488|+|AL391839.1,chr10:32346499-32347179|+|AL391839.2	chr10:32191043-32193723|Enhancer,chr10:32254259-32258194|Enhancer	chr10:32366183-32369594|Enhancer			chr10:32254259-32258194|Enhancer	
chr10:35126832-35128362|Promoter	chr10:35098006-35127020|-|AL392046.1	chr10:35194599-35197184|Enhancer	chr10:35216445-35218694|Enhancer,chr10:35148637-35151697|Enhancer				chr10:35148637-35151697|Enhancer
chr10:3781581-3787073|Promoter	chr10:3775996-3785281|-|KLF6	chr10:3740357-3743729|Enhancer,chr10:3874010-3877450|Enhancer				chr10:3874010-3877450|Enhancer	
chr10:45672254-45673066|Promoter	chr10:45615501-45672752|-|ZFAND4	chr10:45469281-45471035|Enhancer					
chr10:5621015-5626631|Promoter	chr10:5624931-5625126|+|AL365356.2	chr10:5441301-5447816|Enhancer	chr10:5605403-5608496|Enhancer				
chr10:5684544-5686329|Promoter	chr10:5684838-5763740|+|TASOR2	chr10:5628614-5630223|Enhancer					
chr10:59904356-59908104|Promoter	chr10:59788747-59906556|-|CCDC6	chr10:59861649-59867255|Enhancer,chr10:59833675-59834830|Enhancer,chr10:59877747-59881512|Enhancer				chr10:59877747-59881512|Enhancer	
chr10:6072293-6073061|Promoter	chr10:6071514-6071918|-|RPL32P23	chr10:6050874-6053156|Enhancer					
chr10:6088705-6090888|Promoter	chr10:6089034-6117457|+|RBM17	chr10:6401851-6402074|Enhancer					
chr10:6150009-6151888|Promoter	chr10:6152196-6152277|+|MIR3155A	chr10:6107875-6111983|Enhancer	chr10:6162714-6165737|Enhancer				
chr10:61819087-61819621|Promoter	chr10:61781745-61821246|-|LINC02625	chr10:61750991-61752129|Enhancer			chr10:61900440-61902663|Promoter		
chr10:61900440-61902663|Promoter	chr10:61901684-62096944|+|ARID5B	chr10:61750991-61752129|Enhancer			chr10:61819087-61819621|Promoter		
chr10:62816438-62821040|Promoter	chr10:62811996-62819167|-|EGR2	chr10:62609467-62612965|Enhancer,chr10:62631483-62639159|Enhancer,chr10:62614436-62614800|Enhancer	chr10:62593857-62596012|Enhancer,chr10:62655194-62655873|Enhancer,chr10:62708053-62710472|Enhancer,chr10:62680120-62682929|Enhancer			chr10:62609467-62612965|Enhancer	chr10:62680120-62682929|Enhancer
chr10:67695302-67701439|Promoter	chr10:65912523-67696195|-|CTNNA3	chr10:67776378-67780875|Enhancer					
chr10:68721258-68722101|Promoter	chr10:68721144-68792377|+|CCAR1	chr10:68550259-68551149|Enhancer					
chr10:69122948-69124016|Promoter	chr10:69123512-69174412|+|VPS26A	chr10:69003748-69004972|Enhancer					
chr10:70477328-70480299|Promoter	chr10:70478767-70568450|+|PALD1	chr10:70540308-70540731|Enhancer					
chr10:71319082-71319938|Promoter	chr10:71319259-71363385|+|SLC29A3	chr10:71569638-71570257|Enhancer					
chr10:71772402-71774102|Promoter	chr10:71747556-71773520|-|VSIR	chr10:71726034-71728695|Enhancer					
chr10:72272558-72276015|Promoter	chr10:72274915-72275980|-|DDIT4-AS1,chr10:72273924-72276036|+|DDIT4	chr10:72332193-72337377|Enhancer	chr10:72248512-72249259|Enhancer,chr10:72261380-72262154|Enhancer,chr10:72292725-72298832|Enhancer				chr10:72292725-72298832|Enhancer
chr10:73095256-73097130|Promoter	chr10:73007217-73096974|-|P4HA1	chr10:73157602-73159281|Enhancer					
chr10:7409245-7410984|Promoter	chr10:7158624-7411486|-|SFMBT2		chr10:7457699-7458102|Enhancer	chr10:7470903-7472575|Promoter			
chr10:7470903-7472575|Promoter	chr10:7445558-7471942|-|LINC02642	chr10:7457699-7458102|Enhancer		chr10:7409245-7410984|Promoter			
chr10:75235473-75236225|Promoter	chr10:75233969-75236011|-|COMTD1	chr10:75099476-75100315|Enhancer	chr10:74244316-74246058|Enhancer				
chr10:80454499-80455661|Promoter	chr10:80454166-80533124|+|TSPAN14	chr10:80500798-80508852|Enhancer	chr10:80441518-80451798|Enhancer,chr10:80471360-80473895|Enhancer				chr10:80471360-80473895|Enhancer
chr10:80535548-80536150|Promoter	chr10:80529597-80535942|-|AC021028.1	chr10:80596260-80600511|Enhancer					
chr10:88727753-88728848|Promoter	chr10:88727485-88728914|+|KRT8P38	chr10:88808790-88810695|Enhancer	chr10:88563654-88565892|Enhancer,chr10:88687827-88688146|Enhancer				chr10:88687827-88688146|Enhancer
chr10:88878589-88880600|Promoter	chr10:88879734-88975153|+|STAMBPL1		chr10:88834078-88841103|Enhancer,chr10:89209783-89214643|Enhancer,chr10:88982927-88988316|Enhancer,chr10:89027203-89032461|Enhancer	chr10:88931361-88939126|Promoter			chr10:89027203-89032461|Enhancer
chr10:88931361-88939126|Promoter	chr10:88932643-88940340|+|ACTA2-AS1	chr10:88834078-88841103|Enhancer,chr10:89209783-89214643|Enhancer,chr10:88982927-88988316|Enhancer,chr10:89027203-89032461|Enhancer		chr10:88878589-88880600|Promoter		chr10:89027203-89032461|Enhancer	
chr10:89391050-89392894|Promoter	chr10:89392546-89406487|+|IFIT1			chr10:89413793-89415857|Promoter			
chr10:89413793-89415857|Promoter	chr10:89414568-89420997|+|IFIT5,chr10:89213569-89414557|-|LIPA			chr10:89391050-89392894|Promoter			
chr10:89643126-89645316|Promoter	chr10:89645282-89650667|+|AL157400.2,chr10:89644603-89645223|-|AL157400.5			chr10:89700134-89702216|Promoter			
chr10:89700134-89702216|Promoter	chr10:89701610-89774939|+|KIF20B			chr10:89643126-89645316|Promoter			
chr10:89954903-89956326|Promoter	chr10:89915489-89957373|-|LINC01375	chr10:90138141-90139262|Enhancer,chr10:90086701-90088601|Enhancer	chr10:89792156-89793919|Enhancer			chr10:90138141-90139262|Enhancer	
chr10:91162772-91164838|Promoter	chr10:91163012-91284337|+|PCGF5	chr10:91005816-91009646|Enhancer	chr10:90911657-90912274|Enhancer,chr10:91087976-91092280|Enhancer,chr10:91249999-91253884|Enhancer				chr10:91249999-91253884|Enhancer
chr10:92288641-92294360|Promoter	chr10:92046692-92291078|-|CPEB3,chr10:92291167-92353964|+|MARCH5	chr10:92142018-92144022|Enhancer,chr10:92087013-92088160|Enhancer,chr10:92232493-92233444|Enhancer				chr10:92087013-92088160|Enhancer	
chr10:92573429-92576279|Promoter	chr10:92451684-92574076|-|IDE	chr10:92515120-92518548|Enhancer					
chr10:93481329-93483484|Promoter	chr10:93306429-93482334|-|MYOF	chr10:93376023-93377468|Enhancer					
chr10:93702131-93703220|Promoter	chr10:93667883-93702592|-|FRA10AC1	chr10:93815455-93816531|Enhancer					
chr10:95183554-95183885|Promoter	chr10:95183653-95184217|+|PAWRP1	chr10:95235152-95236547|Enhancer					
chr10:95287092-95295791|Promoter	chr10:95237572-95291003|-|PDLIM1	chr10:95362317-95363777|Enhancer,chr10:95241793-95246880|Enhancer	chr10:95208626-95209457|Enhancer,chr10:95133109-95134173|Enhancer			chr10:95241793-95246880|Enhancer	chr10:95133109-95134173|Enhancer
chr10:95693946-95695015|Promoter	chr10:95663396-95694143|-|TCTN3	chr10:95755138-95760443|Enhancer					
chr10:96268703-96271210|Promoter	chr10:96191702-96271540|-|BLNK	chr10:96243485-96245862|Enhancer					
chr10:96273061-96273652|Promoter	chr10:96191702-96271540|-|BLNK	chr10:96287904-96288473|Enhancer					
chr10:96511356-96513973|Promoter	chr10:96364608-96513926|-|TLL2	chr10:96394572-96397444|Enhancer	chr10:96375362-96375784|Enhancer				
chr10:96717345-96722773|Promoter	chr10:96593315-96720514|-|PIK3AP1	chr10:96694400-96697843|Enhancer,chr10:96639556-96643582|Enhancer	chr10:96699950-96703032|Enhancer,chr10:96764593-96766029|Enhancer	chr10:96829733-96832801|Promoter		chr10:96639556-96643582|Enhancer	chr10:96764593-96766029|Enhancer
chr10:96829733-96832801|Promoter	chr10:96832282-96995959|+|LCOR	chr10:96764593-96766029|Enhancer,chr10:96639556-96643582|Enhancer	chr10:96699950-96703032|Enhancer,chr10:96694400-96697843|Enhancer	chr10:96717345-96722773|Promoter		chr10:96639556-96643582|Enhancer	chr10:96694400-96697843|Enhancer
chr10:97686917-97687414|Promoter	chr10:97677424-97687241|-|AVPI1	chr10:97676842-97677254|Enhancer					
chr11:102317110-102318662|Promoter	chr11:102317450-102339403|+|BIRC3	chr11:102288069-102288516|Enhancer	chr11:102495113-102495938|Enhancer				
chr11:102450256-102453131|Promoter	chr11:102452919-102462008|+|AP001830.1,chr11:102396332-102452839|-|TMEM123	chr11:102428896-102430804|Enhancer,chr11:102390785-102391188|Enhancer				chr11:102390785-102391188|Enhancer	
chr11:108219855-108224493|Promoter	chr11:108157215-108222638|-|NPAT,chr11:108222832-108369102|+|ATM	chr11:108136044-108136713|Enhancer,chr11:108648378-108648823|Enhancer				chr11:108648378-108648823|Enhancer	
chr11:110092711-110094390|Promoter	chr11:110093392-110171841|+|ZC3H12C	chr11:109955487-109957045|Enhancer					
chr11:111378063-111380687|Promoter	chr11:111352255-111379275|-|POU2AF1	chr11:111421531-111425316|Enhancer	chr11:111280547-111285450|Enhancer,chr11:111453629-111454962|Enhancer,chr11:111359406-111362125|Enhancer,chr11:111427071-111431377|Enhancer,chr11:111398460-111400743|Enhancer	chr11:111417293-111417774|Promoter	chr11:111446055-111450118|Promoter		chr11:111280547-111285450|Enhancer
chr11:111417293-111417774|Promoter	chr11:111414242-111418186|-|AP002008.3		chr11:111280547-111285450|Enhancer,chr11:111453629-111454962|Enhancer,chr11:111421531-111425316|Enhancer,chr11:111427071-111431377|Enhancer,chr11:111359406-111362125|Enhancer,chr11:111398460-111400743|Enhancer	chr11:111378063-111380687|Promoter	chr11:111446055-111450118|Promoter		chr11:111421531-111425316|Enhancer
chr11:111446055-111450118|Promoter	chr11:111448450-111475397|+|AP002008.2	chr11:111280547-111285450|Enhancer	chr11:111453629-111454962|Enhancer,chr11:111421531-111425316|Enhancer,chr11:111427071-111431377|Enhancer,chr11:111359406-111362125|Enhancer,chr11:111398460-111400743|Enhancer		chr11:111378063-111380687|Promoter,chr11:111417293-111417774|Promoter		chr11:111421531-111425316|Enhancer
chr11:111765244-111767196|Promoter	chr11:111726908-111766427|-|PPP2R1B	chr11:111839430-111841839|Enhancer	chr11:111564739-111567323|Enhancer,chr11:111584730-111587012|Enhancer		chr11:111775732-111777759|Promoter		chr11:111564739-111567323|Enhancer
chr11:111775732-111777759|Promoter	chr11:111768668-111778306|-|AP001781.1	chr11:111839430-111841839|Enhancer,chr11:111564739-111567323|Enhancer	chr11:111584730-111587012|Enhancer		chr11:111765244-111767196|Promoter	chr11:111839430-111841839|Enhancer	
chr11:117817460-117819407|Promoter	chr11:117818443-117821992|+|AP000757.2	chr11:117805603-117809494|Enhancer	chr11:117842258-117846223|Enhancer,chr11:117945018-117952073|Enhancer				chr11:117945018-117952073|Enhancer
chr11:118432949-118439502|Promoter	chr11:118433121-118435206|-|AP001267.2,chr11:118436464-118526832|+|KMT2A	chr11:118488052-118489016|Enhancer					
chr11:118688940-118690362|Promoter	chr11:118688033-118690599|-|TREHP1			chr11:118925340-118930477|Promoter			
chr11:118790487-118793993|Promoter	chr11:118747763-118791164|-|DDX6,chr11:118791254-118793137|+|AP004609.3			chr11:118818652-118822048|Promoter			
chr11:118818652-118822048|Promoter	chr11:118821895-118822084|+|AP004609.2			chr11:118790487-118793993|Promoter			
chr11:118925340-118930477|Promoter	chr11:118893875-118925608|-|BCL9L			chr11:118688940-118690362|Promoter			
chr11:119094771-119097452|Promoter	chr11:119093854-119095467|-|H2AFX		chr11:119321453-119323682|Enhancer	chr11:119195513-119197293|Promoter	chr11:119168564-119169553|Promoter		
chr11:119168564-119169553|Promoter	chr11:119168334-119184016|+|NLRX1	chr11:119321453-119323682|Enhancer		chr11:119195513-119197293|Promoter	chr11:119094771-119097452|Promoter		
chr11:119195513-119197293|Promoter	chr11:119189638-119196769|-|CCDC153		chr11:119321453-119323682|Enhancer	chr11:119094771-119097452|Promoter,chr11:119168564-119169553|Promoter			
chr11:120510983-120512301|Promoter	chr11:120511700-120988904|+|GRIK4	chr11:120801986-120805743|Enhancer,chr11:121111744-121112684|Enhancer	chr11:120684753-120685366|Enhancer			chr11:120801986-120805743|Enhancer	
chr11:121249295-121251142|Promoter	chr11:121250270-121250978|-|RPS4XP12	chr11:121589941-121591919|Enhancer	chr11:121318581-121324714|Enhancer,chr11:121429760-121430969|Enhancer,chr11:121419231-121421861|Enhancer,chr11:121482138-121483342|Enhancer,chr11:121379130-121379443|Enhancer		chr11:121446798-121454850|Promoter		chr11:121318581-121324714|Enhancer
chr11:121446798-121454850|Promoter	chr11:121452314-121633763|+|SORL1,chr11:121447331-121453013|-|AP000977.1	chr11:121589941-121591919|Enhancer,chr11:121482138-121483342|Enhancer	chr11:121379130-121379443|Enhancer,chr11:121318581-121324714|Enhancer,chr11:121429760-121430969|Enhancer,chr11:121419231-121421861|Enhancer		chr11:121249295-121251142|Promoter	chr11:121589941-121591919|Enhancer	chr11:121318581-121324714|Enhancer
chr11:123356836-123358986|Promoter	chr11:123358428-123627774|+|GRAMD1B	chr11:123300771-123305653|Enhancer	chr11:123473846-123480457|Enhancer,chr11:123434492-123434697|Enhancer,chr11:123404703-123410517|Enhancer		chr11:123380035-123382695|Promoter		chr11:123404703-123410517|Enhancer
chr11:123380035-123382695|Promoter	chr11:123381440-123381512|-|MIR4493	chr11:123300771-123305653|Enhancer	chr11:123473846-123480457|Enhancer,chr11:123434492-123434697|Enhancer,chr11:123404703-123410517|Enhancer		chr11:123356836-123358986|Promoter		chr11:123404703-123410517|Enhancer
chr11:124745934-124747399|Promoter	chr11:124744634-124746337|-|AP000866.5		chr11:124833778-124837620|Enhancer,chr11:124666861-124671398|Enhancer	chr11:124760799-124764145|Promoter			chr11:124833778-124837620|Enhancer
chr11:124760799-124764145|Promoter	chr11:124753126-124762290|-|ESAM	chr11:124833778-124837620|Enhancer	chr11:124666861-124671398|Enhancer	chr11:124745934-124747399|Promoter			
chr11:125163825-125165149|Promoter	chr11:125164751-125433389|+|PKNOX2,chr11:125158461-125164609|-|PKNOX2-AS1	chr11:125345818-125349470|Enhancer					
chr11:125939181-125942880|Promoter	chr11:125940496-125941193|-|AP000842.1	chr11:126193810-126194510|Enhancer					
chr11:126985870-126992099|Promoter	chr11:126988458-126988542|-|MIR3167	chr11:126713310-126717503|Enhancer,chr11:126874980-126875071|Enhancer				chr11:126874980-126875071|Enhancer	
chr11:128518461-128523590|Promoter	chr11:128522390-128522449|+|MIR6090	chr11:128288602-128292470|Enhancer,chr11:128551613-128558717|Enhancer,chr11:128628147-128633810|Enhancer	chr11:128604136-128605139|Enhancer,chr11:128757119-128758922|Enhancer,chr11:128468077-128473790|Enhancer,chr11:128483019-128484022|Enhancer,chr11:128859980-128860063|Enhancer,chr11:128321857-128324305|Enhancer,chr11:128830565-128833065|Enhancer,chr11:128156528-128159686|Enhancer,chr11:128719322-128720858|Enhancer		chr11:128691219-128696502|Promoter	chr11:128628147-128633810|Enhancer	chr11:128468077-128473790|Enhancer
chr11:128691219-128696502|Promoter	chr11:128691672-128696023|-|SENCR	chr11:128719322-128720858|Enhancer,chr11:128757119-128758922|Enhancer	chr11:128604136-128605139|Enhancer,chr11:128288602-128292470|Enhancer,chr11:128468077-128473790|Enhancer,chr11:128483019-128484022|Enhancer,chr11:128859980-128860063|Enhancer,chr11:128321857-128324305|Enhancer,chr11:128830565-128833065|Enhancer,chr11:128156528-128159686|Enhancer,chr11:128628147-128633810|Enhancer,chr11:128551613-128558717|Enhancer		chr11:128518461-128523590|Promoter	chr11:128757119-128758922|Enhancer	chr11:128628147-128633810|Enhancer
chr11:130001491-130005121|Promoter	chr11:129899706-130002835|-|PRDM10,chr11:130002938-130004356|+|LINC00167	chr11:130127994-130133888|Enhancer,chr11:129921785-129924778|Enhancer	chr11:130070262-130071109|Enhancer			chr11:129921785-129924778|Enhancer	
chr11:132401659-132404487|Promoter	chr11:132403360-132404060|-|AP000843.1	chr11:132356611-132359137|Enhancer,chr11:132277702-132280473|Enhancer				chr11:132277702-132280473|Enhancer	
chr11:13276939-13278634|Promoter	chr11:13277798-13387266|+|ARNTL	chr11:13333549-13336179|Enhancer	chr11:13343789-13344408|Enhancer,chr11:13209951-13211281|Enhancer,chr11:13250022-13250248|Enhancer				chr11:13209951-13211281|Enhancer
chr11:1389387-1390120|Promoter	chr11:1389899-1462689|+|BRSK2	chr11:1293776-1293817|Enhancer					
chr11:14904765-14908617|Promoter	chr11:14907518-14907986|+|CALCP,chr11:14904997-15082342|+|CALCB	chr11:14789819-14790489|Enhancer					
chr11:17077012-17079586|Promoter	chr11:17074388-17077667|-|RPS13	chr11:16945887-16947105|Enhancer					
chr11:17276145-17277247|Promoter	chr11:17276741-17332211|+|NUCB2	chr11:17229630-17231733|Enhancer	chr11:17503025-17507885|Enhancer		chr11:17381473-17390961|Promoter		
chr11:17381473-17390961|Promoter	chr11:17385859-17389331|-|KCNJ11	chr11:17503025-17507885|Enhancer,chr11:17229630-17231733|Enhancer			chr11:17276145-17277247|Promoter	chr11:17229630-17231733|Enhancer	
chr11:1837604-1839207|Promoter	chr11:1838981-1841680|+|TNNI2			chr11:2150397-2152428|Promoter,chr11:1853001-1856015|Promoter,chr11:1917780-1919494|Promoter			
chr11:1853001-1856015|Promoter	chr11:1852970-1892263|+|LSP1			chr11:1837604-1839207|Promoter	chr11:2150397-2152428|Promoter,chr11:1917780-1919494|Promoter		
chr11:1917780-1919494|Promoter	chr11:1919703-1938706|+|TNNT3			chr11:1837604-1839207|Promoter	chr11:2150397-2152428|Promoter,chr11:1853001-1856015|Promoter		
chr11:20670641-20672869|Promoter	chr11:20670425-20671297|-|AC090707.1	chr11:20648071-20648742|Enhancer	chr11:20872834-20873686|Enhancer				
chr11:2150397-2152428|Promoter	chr11:2129112-2149603|-|IGF2			chr11:1837604-1839207|Promoter	chr11:1853001-1856015|Promoter,chr11:1917780-1919494|Promoter		
chr11:2302040-2309122|Promoter	chr11:2295645-2302060|-|C11orf21			chr11:2417137-2424623|Promoter			
chr11:2417137-2424623|Promoter	chr11:2404515-2423045|-|TRPM5			chr11:2302040-2309122|Promoter			
chr11:314009-315673|Promoter	chr11:313506-315272|+|IFITM1	chr11:267935-269721|Enhancer					
chr11:32050176-32053046|Promoter	chr11:32052843-32053260|-|AL035078.3	chr11:32172166-32176597|Enhancer					
chr11:33541206-33544315|Promoter	chr11:33542275-33674102|+|KIAA1549L	chr11:33361113-33365176|Enhancer,chr11:33686217-33690156|Enhancer	chr11:33806848-33809234|Enhancer,chr11:33715925-33719309|Enhancer,chr11:33828081-33831492|Enhancer,chr11:33740640-33744696|Enhancer			chr11:33361113-33365176|Enhancer	chr11:33740640-33744696|Enhancer
chr11:34051629-34053628|Promoter	chr11:34051731-34102610|+|CAPRIN1	chr11:33995456-33998223|Enhancer					
