anchor	chrom	start	end	type	nearestDistanceToTSS	nearestGene	nearestGeneLoc
chr19:1794622-1796750|Enhancer	chr19	1794622	1796750	Enhancer	16590	ATP8B3	chr19:1782075-1812276|-|ATP8B3
chr19:1815929-1816063|Promoter	chr19	1815929	1816063	Promoter	242	MIR1909	chr19:1816159-1816238|-|MIR1909
chr19:1816192-1816329|Promoter	chr19	1816192	1816329	Promoter	0	MIR1909	chr19:1816159-1816238|-|MIR1909
chr19:1825686-1826460|Enhancer	chr19	1825686	1826460	Enhancer	3984	AC012615.6	chr19:1822089-1824542|+|AC012615.6
chr19:1837595-1837809|Enhancer	chr19	1837595	1837809	Enhancer	10781	REXO1	chr19:1815248-1848483|-|REXO1
chr19:1848871-1849401|Promoter	chr19	1848871	1849401	Promoter	653	REXO1	chr19:1815248-1848483|-|REXO1
chr19:1852924-1853301|Promoter	chr19	1852924	1853301	Promoter	730	AC012615.3	chr19:1852382-1853622|+|AC012615.3
chr19:1864836-1867272|Enhancer	chr19	1864836	1867272	Enhancer	2475	KLF16	chr19:1852399-1863579|-|KLF16
chr19:1875921-1875952|Promoter	chr19	1875921	1875952	Promoter	232	AC012615.1	chr19:1874871-1876169|-|AC012615.1
chr19:1897550-1897832|Enhancer	chr19	1897550	1897832	Enhancer	7708	SCAMP4	chr19:1905399-1926013|+|SCAMP4
chr19:1929535-1930699|Enhancer	chr19	1929535	1930699	Enhancer	11055	CSNK1G2	chr19:1941172-1981338|+|CSNK1G2
chr19:2017213-2020576|Enhancer	chr19	2017213	2020576	Enhancer	3170	BTBD2	chr19:1985438-2015724|-|BTBD2
chr19:2041510-2042381|Enhancer	chr19	2041510	2042381	Enhancer	9298	MKNK2	chr19:2037465-2051244|-|MKNK2
chr19:2049430-2051356|Promoter	chr19	2049430	2051356	Promoter	0	MKNK2	chr19:2037465-2051244|-|MKNK2
chr19:2062231-2062920|Enhancer	chr19	2062231	2062920	Enhancer	11331	MKNK2	chr19:2037465-2051244|-|MKNK2
chr19:2069059-2072025|Enhancer	chr19	2069059	2072025	Enhancer	19298	MKNK2	chr19:2037465-2051244|-|MKNK2
chr19:2095412-2097208|Promoter	chr19	2095412	2097208	Promoter	0	IZUMO4,MOB3A	chr19:2096869-2099590|+|IZUMO4,chr19:2071036-2096326|-|MOB3A
chr19:2130126-2130212|Enhancer	chr19	2130126	2130212	Enhancer	21397	AP3D1	chr19:2100988-2151566|-|AP3D1
chr19:2130246-2130392|Enhancer	chr19	2130246	2130392	Enhancer	21247	AP3D1	chr19:2100988-2151566|-|AP3D1
chr19:2155575-2157731|Enhancer	chr19	2155575	2157731	Enhancer	5087	AP3D1	chr19:2100988-2151566|-|AP3D1
chr19:2170884-2171872|Enhancer	chr19	2170884	2171872	Enhancer	7445	DOT1L	chr19:2163933-2232578|+|DOT1L
chr19:2174404-2174775|Enhancer	chr19	2174404	2174775	Enhancer	10656	DOT1L	chr19:2163933-2232578|+|DOT1L
chr19:2174795-2174830|Enhancer	chr19	2174795	2174830	Enhancer	10879	DOT1L	chr19:2163933-2232578|+|DOT1L
chr19:2196266-2200489|Enhancer	chr19	2196266	2200489	Enhancer	17187	AC004490.1	chr19:2212029-2215565|-|AC004490.1
chr19:2223760-2224088|Enhancer	chr19	2223760	2224088	Enhancer	8359	AC004490.1	chr19:2212029-2215565|-|AC004490.1
chr19:2224097-2224177|Enhancer	chr19	2224097	2224177	Enhancer	8572	AC004490.1	chr19:2212029-2215565|-|AC004490.1
chr19:2230676-2237034|Promoter	chr19	2230676	2237034	Promoter	0	SF3A2,MIR6789,MIR1227	chr19:2236824-2248655|+|SF3A2,chr19:2235829-2235926|-|MIR6789,chr19:2234062-2234149|-|MIR1227
chr19:2252225-2255582|Enhancer	chr19	2252225	2255582	Enhancer	2513	JSRP1	chr19:2252252-2256417|-|JSRP1
chr19:2260422-2262025|Enhancer	chr19	2260422	2262025	Enhancer	4806	JSRP1	chr19:2252252-2256417|-|JSRP1
chr19:2273036-2275819|Enhancer	chr19	2273036	2275819	Enhancer	4902	AC005258.1	chr19:2269525-2341172|+|AC005258.1
chr19:2313224-2316953|Enhancer	chr19	2313224	2316953	Enhancer	13522	LSM7	chr19:2321520-2328611|-|LSM7
chr19:2328276-2329248|Promoter	chr19	2328276	2329248	Promoter	0	SPPL2B,LSM7	chr19:2328684-2355095|+|SPPL2B,chr19:2321520-2328611|-|LSM7
chr19:2389707-2392553|Enhancer	chr19	2389707	2392553	Enhancer	30892	TMPRSS9	chr19:2360238-2426239|+|TMPRSS9
chr19:2467771-2467972|Enhancer	chr19	2467771	2467972	Enhancer	5686	LINC01775	chr19:2458935-2462185|-|LINC01775
chr19:2469186-2469585|Enhancer	chr19	2469186	2469585	Enhancer	6741	GADD45B	chr19:2476127-2478257|+|GADD45B
chr19:2473774-2477223|Promoter	chr19	2473774	2477223	Promoter	0	GADD45B	chr19:2476127-2478257|+|GADD45B
chr19:2489021-2489272|Enhancer	chr19	2489021	2489272	Enhancer	13019	GADD45B	chr19:2476127-2478257|+|GADD45B
chr19:2489280-2489588|Enhancer	chr19	2489280	2489588	Enhancer	13307	GADD45B	chr19:2476127-2478257|+|GADD45B
chr19:2577433-2579942|Enhancer	chr19	2577433	2579942	Enhancer	16603	RN7SL121P	chr19:2595019-2595291|-|RN7SL121P
chr19:2634923-2638740|Enhancer	chr19	2634923	2638740	Enhancer	4877	AC092068.1	chr19:2631954-2632849|+|AC092068.1
chr19:2647628-2650076|Enhancer	chr19	2647628	2650076	Enhancer	4999	AC092068.3	chr19:2641838-2643853|-|AC092068.3
chr19:2663383-2664143|Enhancer	chr19	2663383	2664143	Enhancer	19910	AC092068.3	chr19:2641838-2643853|-|AC092068.3
chr19:2669736-2669821|Enhancer	chr19	2669736	2669821	Enhancer	25925	AC092068.3	chr19:2641838-2643853|-|AC092068.3
chr19:2669873-2670099|Enhancer	chr19	2669873	2670099	Enhancer	26133	AC092068.3	chr19:2641838-2643853|-|AC092068.3
chr19:2683021-2683095|Enhancer	chr19	2683021	2683095	Enhancer	18208	AC006538.3	chr19:2700689-2701266|-|AC006538.3
chr19:2684128-2684132|Enhancer	chr19	2684128	2684132	Enhancer	17136	AC006538.3	chr19:2700689-2701266|-|AC006538.3
chr19:2749317-2749669|Enhancer	chr19	2749317	2749669	Enhancer	9445	AC006538.2	chr19:2717769-2740048|-|AC006538.2
chr19:2801943-2802025|Enhancer	chr19	2801943	2802025	Enhancer	16481	THOP1	chr19:2785503-2815807|+|THOP1
chr19:2802052-2802153|Enhancer	chr19	2802052	2802153	Enhancer	16599	THOP1	chr19:2785503-2815807|+|THOP1
chr19:2867573-2867705|Promoter	chr19	2867573	2867705	Promoter	304	ZNF556	chr19:2867335-2883445|+|ZNF556
chr19:2867732-2867931|Promoter	chr19	2867732	2867931	Promoter	496	ZNF556	chr19:2867335-2883445|+|ZNF556
chr19:2871281-2871677|Enhancer	chr19	2871281	2871677	Enhancer	4113	AC006130.2	chr19:2874950-2875592|-|AC006130.2
chr19:2961270-2963794|Enhancer	chr19	2961270	2963794	Enhancer	13497	AC006277.1	chr19:2949035-2950644|+|AC006277.1
chr19:2969067-2969767|Enhancer	chr19	2969067	2969767	Enhancer	8133	TLE6	chr19:2977550-2995179|+|TLE6
chr19:3047483-3048258|Promoter	chr19	3047483	3048258	Promoter	0	TLE2	chr19:2997639-3047635|-|TLE2
chr19:3061299-3061751|Promoter	chr19	3061299	3061751	Promoter	1582	AES	chr19:3052910-3063107|-|AES
chr19:3072010-3078385|Enhancer	chr19	3072010	3078385	Enhancer	12090	AES	chr19:3052910-3063107|-|AES
chr19:3102226-3106569|Enhancer	chr19	3102226	3106569	Enhancer	10035	GNA11	chr19:3094362-3123999|+|GNA11
chr19:3107715-3110327|Enhancer	chr19	3107715	3110327	Enhancer	10283	AC005262.2	chr19:3118665-3119304|-|AC005262.2
chr19:3124768-3129382|Enhancer	chr19	3124768	3129382	Enhancer	3642	AC005262.1	chr19:3130717-3131398|+|AC005262.1
chr19:3146498-3146528|Enhancer	chr19	3146498	3146528	Enhancer	8662	AC005264.1	chr19:3141576-3155175|-|AC005264.1
chr19:3160979-3161159|Enhancer	chr19	3160979	3161159	Enhancer	5894	AC005264.1	chr19:3141576-3155175|-|AC005264.1
chr19:3161566-3164233|Enhancer	chr19	3161566	3164233	Enhancer	7724	AC005264.1	chr19:3141576-3155175|-|AC005264.1
chr19:3186005-3186482|Promoter	chr19	3186005	3186482	Promoter	680	NCLN	chr19:3185563-3209575|+|NCLN
chr19:3193322-3194392|Enhancer	chr19	3193322	3194392	Enhancer	8294	NCLN	chr19:3185563-3209575|+|NCLN
chr19:3210873-3210936|Enhancer	chr19	3210873	3210936	Enhancer	13756	CELF5	chr19:3224661-3297076|+|CELF5
chr19:3224216-3224883|Promoter	chr19	3224216	3224883	Promoter	0	CELF5	chr19:3224661-3297076|+|CELF5
chr19:3250575-3250916|Enhancer	chr19	3250575	3250916	Enhancer	26084	CELF5	chr19:3224661-3297076|+|CELF5
chr19:3304659-3305854|Enhancer	chr19	3304659	3305854	Enhancer	2253	AC010649.1	chr19:3296765-3303003|-|AC010649.1
chr19:3321271-3321461|Enhancer	chr19	3321271	3321461	Enhancer	6963	NFIC	chr19:3314403-3469217|+|NFIC
chr19:3321525-3328577|Enhancer	chr19	3321525	3328577	Enhancer	10648	NFIC	chr19:3314403-3469217|+|NFIC
chr19:3328858-3328923|Enhancer	chr19	3328858	3328923	Enhancer	14487	NFIC	chr19:3314403-3469217|+|NFIC
chr19:3339795-3344359|Enhancer	chr19	3339795	3344359	Enhancer	13878	AC007792.1	chr19:3355554-3355955|-|AC007792.1
chr19:3428477-3430143|Enhancer	chr19	3428477	3430143	Enhancer	51232	SMIM24	chr19:3473986-3480542|-|SMIM24
chr19:3440208-3441246|Enhancer	chr19	3440208	3441246	Enhancer	39815	SMIM24	chr19:3473986-3480542|-|SMIM24
chr19:3470811-3475858|Enhancer	chr19	3470811	3475858	Enhancer	7207	SMIM24	chr19:3473986-3480542|-|SMIM24
chr19:3483881-3485492|Promoter	chr19	3483881	3485492	Promoter	1240	AC005551.1	chr19:3482804-3483446|-|AC005551.1
chr19:3505778-3506766|Promoter	chr19	3505778	3506766	Promoter	0	FZR1	chr19:3506273-3538330|+|FZR1
chr19:3518895-3520906|Enhancer	chr19	3518895	3520906	Enhancer	13627	FZR1	chr19:3506273-3538330|+|FZR1
chr19:3542961-3545446|Promoter	chr19	3542961	3545446	Promoter	0	AC005786.3	chr19:3544199-3557569|+|AC005786.3
chr19:3556879-3558391|Promoter	chr19	3556879	3558391	Promoter	0	AC005786.2,MFSD12	chr19:3558015-3558486|+|AC005786.2,chr19:3539354-3557586|-|MFSD12
chr19:3573494-3574593|Promoter	chr19	3573494	3574593	Promoter	1099	HMG20B	chr19:3572944-3579083|+|HMG20B
chr19:3586168-3586445|Promoter	chr19	3586168	3586445	Promoter	828	GIPC3	chr19:3585478-3593541|+|GIPC3
chr19:3618012-3621355|Enhancer	chr19	3618012	3621355	Enhancer	7131	CACTIN	chr19:3610645-3626815|-|CACTIN
chr19:3663689-3667975|Enhancer	chr19	3663689	3667975	Enhancer	6750	AC004637.1	chr19:3672582-3674295|+|AC004637.1
chr19:3683816-3684386|Enhancer	chr19	3683816	3684386	Enhancer	11519	AC004637.1	chr19:3672582-3674295|+|AC004637.1
chr19:3692557-3693335|Enhancer	chr19	3692557	3693335	Enhancer	7533	PIP5K1C	chr19:3630183-3700479|-|PIP5K1C
chr19:3697867-3701227|Promoter	chr19	3697867	3701227	Promoter	0	PIP5K1C	chr19:3630183-3700479|-|PIP5K1C
chr19:3702974-3707125|Enhancer	chr19	3702974	3707125	Enhancer	3334	TJP3	chr19:3708384-3750813|+|TJP3
chr19:3710457-3710665|Enhancer	chr19	3710457	3710665	Enhancer	2177	TJP3	chr19:3708384-3750813|+|TJP3
chr19:3710757-3710913|Enhancer	chr19	3710757	3710913	Enhancer	2451	TJP3	chr19:3708384-3750813|+|TJP3
chr19:3719154-3720108|Enhancer	chr19	3719154	3720108	Enhancer	11247	TJP3	chr19:3708384-3750813|+|TJP3
chr19:3726088-3726516|Enhancer	chr19	3726088	3726516	Enhancer	17918	TJP3	chr19:3708384-3750813|+|TJP3
chr19:3726715-3726893|Enhancer	chr19	3726715	3726893	Enhancer	18420	TJP3	chr19:3708384-3750813|+|TJP3
chr19:3760650-3763083|Promoter	chr19	3760650	3763083	Promoter	0	APBA3,MRPL54	chr19:3750772-3761692|-|APBA3,chr19:3762682-3767565|+|MRPL54
chr19:3783334-3784993|Enhancer	chr19	3783334	3784993	Enhancer	7981	AC005777.1	chr19:3775996-3776182|-|AC005777.1
chr19:3818799-3819134|Enhancer	chr19	3818799	3819134	Enhancer	17154	MATK	chr19:3777970-3801812|-|MATK
chr19:3821920-3823747|Enhancer	chr19	3821920	3823747	Enhancer	21021	MATK	chr19:3777970-3801812|-|MATK
chr19:3852802-3852945|Enhancer	chr19	3852802	3852945	Enhancer	16164	ZFR2	chr19:3804024-3869038|-|ZFR2
chr19:3985958-3988081|Promoter	chr19	3985958	3988081	Promoter	1556	EEF2	chr19:3976056-3985463|-|EEF2
chr19:3989994-3990088|Enhancer	chr19	3989994	3990088	Enhancer	4578	EEF2	chr19:3976056-3985463|-|EEF2
chr19:3990156-3990381|Enhancer	chr19	3990156	3990381	Enhancer	4805	EEF2	chr19:3976056-3985463|-|EEF2
chr19:4123098-4124866|Promoter	chr19	4123098	4124866	Promoter	0	MAP2K2	chr19:4090321-4124129|-|MAP2K2
chr19:4139737-4140759|Enhancer	chr19	4139737	4140759	Enhancer	13383	CREB3L3	chr19:4153631-4173054|+|CREB3L3
chr19:4166604-4168394|Enhancer	chr19	4166604	4168394	Enhancer	13868	CREB3L3	chr19:4153631-4173054|+|CREB3L3
chr19:4185651-4188022|Enhancer	chr19	4185651	4188022	Enhancer	3482	ANKRD24	chr19:4183354-4224814|+|ANKRD24
chr19:4204103-4205288|Enhancer	chr19	4204103	4205288	Enhancer	21341	ANKRD24	chr19:4183354-4224814|+|ANKRD24
chr19:4207324-4208067|Enhancer	chr19	4207324	4208067	Enhancer	21827	EBI3	chr19:4229523-4237528|+|EBI3
chr19:4210257-4210464|Enhancer	chr19	4210257	4210464	Enhancer	19162	EBI3	chr19:4229523-4237528|+|EBI3
chr19:4210491-4210638|Enhancer	chr19	4210491	4210638	Enhancer	18958	EBI3	chr19:4229523-4237528|+|EBI3
chr19:4228396-4229877|Promoter	chr19	4228396	4229877	Promoter	0	EBI3	chr19:4229523-4237528|+|EBI3
chr19:4233090-4233526|Enhancer	chr19	4233090	4233526	Enhancer	3785	EBI3	chr19:4229523-4237528|+|EBI3
chr19:4246507-4247768|Promoter	chr19	4246507	4247768	Promoter	0	YJU2,AC005578.1	chr19:4247080-4269088|+|YJU2,chr19:4246339-4247358|-|AC005578.1
chr19:4265369-4265428|Enhancer	chr19	4265369	4265428	Enhancer	13202	SHD	chr19:4278601-4290724|+|SHD
chr19:4266128-4268694|Enhancer	chr19	4266128	4268694	Enhancer	11190	SHD	chr19:4278601-4290724|+|SHD
chr19:4311408-4311444|Enhancer	chr19	4311408	4311444	Enhancer	6828	FSD1	chr19:4304598-4323836|+|FSD1
chr19:4311517-4311734|Enhancer	chr19	4311517	4311734	Enhancer	7027	FSD1	chr19:4304598-4323836|+|FSD1
chr19:4351887-4355357|Promoter	chr19	4351887	4355357	Promoter	0	AC007292.3	chr19:4347244-4354057|-|AC007292.3
chr19:4369187-4369531|Enhancer	chr19	4369187	4369531	Enhancer	5570	AC007292.1	chr19:4363789-4364640|+|AC007292.1
chr19:4374697-4376003|Enhancer	chr19	4374697	4376003	Enhancer	11561	AC007292.1	chr19:4363789-4364640|+|AC007292.1
chr19:4399213-4401171|Promoter	chr19	4399213	4401171	Promoter	0	SH3GL1	chr19:4360370-4400547|-|SH3GL1
chr19:4406902-4407455|Enhancer	chr19	4406902	4407455	Enhancer	4538	CHAF1A	chr19:4402640-4443397|+|CHAF1A
chr19:4407711-4407942|Enhancer	chr19	4407711	4407942	Enhancer	5186	CHAF1A	chr19:4402640-4443397|+|CHAF1A
chr19:4523282-4525587|Enhancer	chr19	4523282	4525587	Enhancer	5969	PLIN4	chr19:4502180-4518465|-|PLIN4
chr19:4564020-4564302|Enhancer	chr19	4564020	4564302	Enhancer	4477	SEMA6B	chr19:4542593-4559684|-|SEMA6B
chr19:4564437-4564549|Enhancer	chr19	4564437	4564549	Enhancer	4809	SEMA6B	chr19:4542593-4559684|-|SEMA6B
chr19:4574181-4577992|Enhancer	chr19	4574181	4577992	Enhancer	16402	SEMA6B	chr19:4542593-4559684|-|SEMA6B
chr19:4580119-4580322|Enhancer	chr19	4580119	4580322	Enhancer	20536	SEMA6B	chr19:4542593-4559684|-|SEMA6B
chr19:4580377-4580851|Enhancer	chr19	4580377	4580851	Enhancer	20930	SEMA6B	chr19:4542593-4559684|-|SEMA6B
chr19:4632619-4633663|Enhancer	chr19	4632619	4633663	Enhancer	6375	TNFAIP8L1	chr19:4639516-4655568|+|TNFAIP8L1
chr19:4635029-4637911|Enhancer	chr19	4635029	4637911	Enhancer	3046	TNFAIP8L1	chr19:4639516-4655568|+|TNFAIP8L1
chr19:4660563-4660950|Enhancer	chr19	4660563	4660950	Enhancer	5232	AC005339.1	chr19:4654964-4655524|-|AC005339.1
chr19:4728460-4734218|Enhancer	chr19	4728460	4734218	Enhancer	7476	DPP9	chr19:4675224-4723863|-|DPP9
chr19:4790497-4791625|Promoter	chr19	4790497	4791625	Promoter	0	AC005523.1	chr19:4785120-4791207|-|AC005523.1
chr19:4803574-4806675|Enhancer	chr19	4803574	4806675	Enhancer	9569	AC005523.2	chr19:4791745-4795555|-|AC005523.2
chr19:4807458-4811937|Enhancer	chr19	4807458	4811937	Enhancer	14142	AC005523.2	chr19:4791745-4795555|-|AC005523.2
chr19:4909753-4913378|Enhancer	chr19	4909753	4913378	Enhancer	8485	UHRF1	chr19:4903080-4962154|+|UHRF1
chr19:5028356-5033330|Enhancer	chr19	5028356	5033330	Enhancer	61730	KDM4B	chr19:4969113-5153598|+|KDM4B
chr19:5047033-5052678|Enhancer	chr19	5047033	5052678	Enhancer	80742	KDM4B	chr19:4969113-5153598|+|KDM4B
chr19:5097752-5097888|Enhancer	chr19	5097752	5097888	Enhancer	80299	AC022517.1	chr19:5178119-5178464|+|AC022517.1
chr19:5097905-5098169|Enhancer	chr19	5097905	5098169	Enhancer	80082	AC022517.1	chr19:5178119-5178464|+|AC022517.1
chr19:5126358-5126544|Enhancer	chr19	5126358	5126544	Enhancer	51668	AC022517.1	chr19:5178119-5178464|+|AC022517.1
chr19:5126625-5126739|Enhancer	chr19	5126625	5126739	Enhancer	51437	AC022517.1	chr19:5178119-5178464|+|AC022517.1
chr19:5153355-5156576|Enhancer	chr19	5153355	5156576	Enhancer	23153	AC022517.1	chr19:5178119-5178464|+|AC022517.1
